	P37288	Q13255	P25101	P43115	P11229	P35367	P41145	P08913	P21917	P13945	P0DMS8	P32745	O15303	P21731	P28221	Q13258	P34995	P08100	Q13639	P41143	Q96G91	Q99677	P25021	P47900	P25100	P50406	P28335	Q5T6X5	Q15722	P35372	P35346	P30542	P51681	P41231	Q8NFJ5	P08588	P24530	Q15077	P30939	Q9Y271	P43119	P25105	P28222	P43088	P35368	O60883	O95665	P20309	Q8TDS4	Q9UBS5	P21554	P41594	Q9NS75	Q14832	Q14416	P43116	P30556	P30518	P34969	P08912	P21728	P34981	P41595	P07550	P29275	P30874	P32238	P43657	P30872	P14416	Q9H244	P18825	Q9H3N8	Q15391	P51582	P18089	P47898	P32239	P28566	Q9Y5N1	Q14831	P08173	O00222	P25024	P28223	P35348	P08908	Q14833	P48039	P08172	P21918	P29274	P35462	Q9NPC1
P37288	0.9999994039535522	-0.7041650414466858	-0.4732852876186371	0.7146739959716797	0.13261188566684723	-0.6453920006752014	-0.5554674863815308	0.3160076141357422	0.1016756147146225	0.516704261302948	0.3152621388435364	-0.3996313512325287	-0.7048865556716919	0.03668823465704918	0.4758686125278473	0.3499460220336914	0.2849246859550476	0.1901823878288269	0.2938035726547241	-0.4832199215888977	0.6060183644294739	-0.4803841710090637	0.4259929955005646	-0.44072046875953674	-0.6133063435554504	0.392264723777771	0.580149233341217	-0.6924780011177063	0.5166876316070557	-0.501803994178772	0.08123030513525009	0.2286887913942337	0.3718012273311615	-0.38010451197624207	-0.3894738554954529	-0.37086349725723267	-0.5018103122711182	0.637602686882019	0.3065226674079895	0.5755552053451538	0.21942612528800964	0.4297785460948944	0.4371749460697174	0.1523907333612442	-0.6149026155471802	0.4791725277900696	0.7030434608459473	-0.57366544008255	0.39315372705459595	-0.7242166996002197	-0.46052807569503784	-0.6484739780426025	-0.3896139860153198	-0.7182624936103821	-0.6811202764511108	0.45595836639404297	0.2460825890302658	0.7021481990814209	-0.6184391975402832	-0.5425583124160767	0.5443259477615356	0.06432870030403137	0.4858502447605133	0.27687621116638184	0.06694120913743973	0.2880915105342865	0.44930315017700195	0.3563942313194275	-0.4905654489994049	-0.09849745035171509	0.5927071571350098	-0.07062490284442902	0.3339333236217499	0.3943079113960266	-0.4407987892627716	0.049097299575805664	0.532164454460144	0.5417230129241943	0.24911002814769745	0.2539122998714447	-0.7233844995498657	0.15213605761528015	-0.7291463613510132	-0.4350396692752838	0.48579052090644836	-0.5368764400482178	0.7249096632003784	-0.7072395086288452	0.6061305403709412	-0.01899356208741665	0.6577818393707275	0.23278363049030304	-0.22655215859413147	0.5287796854972839	
Q13255	-0.7041650414466858	0.9999997615814209	0.4494237005710602	-0.6548447608947754	-0.43760228157043457	0.8805890083312988	0.5689553022384644	-0.17606349289417267	-0.30605873465538025	-0.5073825716972351	-0.4587755799293518	0.4791576564311981	0.9938957095146179	-0.4228368103504181	-0.6698651909828186	-0.5535033941268921	-0.5489763617515564	-0.31224384903907776	-0.20513677597045898	0.4951142370700836	-0.5367614030838013	0.5451845526695251	-0.44842126965522766	0.45031532645225525	0.9182771444320679	-0.2940613925457001	-0.5921696424484253	0.9948786497116089	-0.5092494487762451	0.49709394574165344	0.006556157022714615	-0.5411178469657898	-0.32619020342826843	0.4035772681236267	0.4836336076259613	0.6130604147911072	0.5063214898109436	-0.5076150298118591	-0.5049068927764893	-0.6225523352622986	-0.5242460370063782	-0.6006896495819092	-0.6660512089729309	-0.5077118873596191	0.9299085140228271	-0.33676695823669434	-0.6216195225715637	0.8713188171386719	-0.5688073039054871	0.9863842725753784	0.41934236884117126	0.9693027138710022	0.49935248494148254	0.990614116191864	0.9872983694076538	-0.6313837170600891	-0.5023905038833618	-0.516394317150116	0.7044501304626465	0.8389000296592712	-0.4878033995628357	0.17592160403728485	-0.5908797383308411	-0.021293126046657562	-0.35870614647865295	-0.22216442227363586	-0.4862523078918457	-0.5629221796989441	0.5512430667877197	0.28827372193336487	-0.6618987917900085	0.2621401846408844	-0.2525976002216339	-0.5521543025970459	0.39452072978019714	-0.37098172307014465	-0.6694096922874451	-0.6344315409660339	-0.5388065576553345	-0.12427904456853867	0.9815027117729187	-0.5200783014297485	0.9586904048919678	0.5297121405601501	-0.5698795318603516	0.7299380898475647	-0.6648864150047302	0.9941113591194153	-0.6859562993049622	-0.3317458927631378	-0.6446402072906494	-0.27212297916412354	0.4359663128852844	-0.6345729231834412	
P25101	-0.4732852876186371	0.4494237005710602	1.0000001192092896	-0.21603122353553772	-0.5197144150733948	0.6960726380348206	0.9846596717834473	0.17076686024665833	-0.33751994371414185	-0.5406444668769836	-0.6958840489387512	0.9151973128318787	0.4707043766975403	-0.31063514947891235	-0.5923705697059631	-0.6900503635406494	-0.3962334394454956	-0.3255924880504608	-0.4914829134941101	0.9907329678535461	-0.6508291363716125	0.961919903755188	-0.6503903269767761	0.988709032535553	0.16162823140621185	-0.2588648796081543	-0.5185121893882751	0.42529699206352234	-0.6286508440971375	0.9938709139823914	0.5267336368560791	-0.4991614818572998	-0.08872084319591522	0.9748468995094299	0.8867169618606567	0.6017923951148987	0.9954739809036255	-0.5233981013298035	-0.6646623015403748	-0.49901971220970154	-0.5552194714546204	-0.6368100047111511	-0.4561046361923218	-0.26223087310791016	0.18456365168094635	-0.046492207795381546	-0.6569557785987854	0.07903144508600235	-0.3892894685268402	0.5548856854438782	0.9947189688682556	0.2667461931705475	0.9059942960739136	0.5230758190155029	0.3629593253135681	-0.5350998044013977	-0.4601525366306305	-0.40756794810295105	0.9368976950645447	0.018796244636178017	-0.6014975309371948	0.3561989963054657	-0.42213401198387146	-0.17249751091003418	-0.5210762023925781	-0.015544218942523003	-0.44859686493873596	-0.4445270895957947	0.9597594738006592	0.05858251452445984	-0.509665310382843	0.25122305750846863	-0.6667371392250061	-0.4865247905254364	0.9920133352279663	-0.15457957983016968	-0.707006573677063	-0.38550421595573425	-0.5855885744094849	-0.17530742287635803	0.5732225179672241	-0.44370904564857483	0.6518349647521973	0.8846350908279419	-0.5088644027709961	0.7301080226898193	-0.6458790898323059	0.4789047837257385	-0.5655802488327026	-0.36103731393814087	-0.6608781218528748	-0.5725923180580139	0.22924306988716125	-0.640407919883728	
P43115	0.7146739959716797	-0.6548447608947754	-0.21603122353553772	1.000000238418579	0.11264891177415848	-0.5185695290565491	-0.307969331741333	0.25282350182533264	0.07338148355484009	0.44670525193214417	0.18306277692317963	-0.1946723908185959	-0.6392802000045776	0.08307231217622757	0.3483370542526245	0.21300412714481354	0.31195518374443054	-0.013074031099677086	0.0649760514497757	-0.24592338502407074	0.3812576234340668	-0.22338852286338806	0.18721038103103638	-0.19973327219486237	-0.6624373197555542	0.14975418150424957	0.5030258893966675	-0.6476578116416931	0.24442018568515778	-0.25369492173194885	0.13728682696819305	0.33228686451911926	0.18413200974464417	-0.14043891429901123	-0.22602418065071106	-0.3573199212551117	-0.2473488450050354	0.392509788274765	0.19090120494365692	0.4201487600803375	0.13909590244293213	0.28491607308387756	0.421827107667923	0.2171936333179474	-0.6590569019317627	0.4106484651565552	0.5052582025527954	-0.6544716954231262	0.5302717089653015	-0.6405295133590698	-0.2073535919189453	-0.674873411655426	-0.18441417813301086	-0.6303638815879822	-0.6644871830940247	0.42191699147224426	0.284012109041214	0.42888015508651733	-0.39462363719940186	-0.6441218256950378	0.3085957467556	0.004258172586560249	0.3883717954158783	0.038980595767498016	0.07208465784788132	0.15585018694400787	0.3373771905899048	0.28510820865631104	-0.26975399255752563	-0.2466440051794052	0.47499364614486694	-0.13270458579063416	-0.008596447296440601	0.2694007158279419	-0.18598122894763947	0.1783856302499771	0.417376309633255	0.5350617170333862	0.16215208172798157	0.07797127217054367	-0.6128191947937012	0.18859322369098663	-0.595463216304779	-0.2891891896724701	0.4041462540626526	-0.4211837947368622	0.5151453614234924	-0.6340748071670532	0.4420359134674072	0.04672429710626602	0.4782387316226959	0.08440504968166351	-0.2582111358642578	0.4482586681842804	
P11229	0.13261188566684723	-0.43760228157043457	-0.5197144150733948	0.11264891177415848	1.000000238418579	-0.5260640978813171	-0.5270586609840393	-0.14504756033420563	0.5097084641456604	0.4741070866584778	0.3573172986507416	-0.5456751585006714	-0.44816431403160095	0.5037226676940918	0.5062981247901917	0.5382835268974304	0.4900069534778595	0.024303751066327095	0.2282838225364685	-0.5350503921508789	0.19606180489063263	-0.571831464767456	0.31615570187568665	-0.5560501217842102	-0.29441699385643005	0.040054887533187866	0.26482105255126953	-0.44518837332725525	0.18386371433734894	-0.5223242044448853	-0.44402554631233215	0.514461100101471	-0.28879106044769287	-0.5586032271385193	-0.596737802028656	-0.4775250554084778	-0.5290791392326355	-0.0037855925038456917	0.5914361476898193	0.050592076033353806	0.5772113800048828	0.35146385431289673	0.5141183733940125	0.30127498507499695	-0.3264659643173218	-0.1597844660282135	0.26747384667396545	-0.25822731852531433	0.3627234101295471	-0.47013765573501587	-0.4956222176551819	-0.36549365520477295	-0.619538426399231	-0.46778199076652527	-0.4177437424659729	0.3354976177215576	0.5234652757644653	0.10691069066524506	-0.5391977429389954	-0.2301410287618637	0.27345046401023865	-0.5579736828804016	0.1991632580757141	-0.16265541315078735	0.6503820419311523	-0.2396489977836609	0.1182313859462738	0.2945362329483032	-0.566161036491394	-0.18497756123542786	0.11037307232618332	-0.2574733793735504	0.11247389018535614	0.10508877038955688	-0.5001124739646912	0.40530264377593994	0.5802306532859802	0.3158145844936371	0.6018344759941101	-0.042613375931978226	-0.4742986261844635	0.7947663068771362	-0.4939754009246826	-0.6325504183769226	0.21158984303474426	-0.5274507403373718	0.37888991832733154	-0.4516029953956604	0.17344406247138977	0.7073726058006287	0.46312740445137024	0.4608207643032074	-0.27929750084877014	0.4991970360279083	
P35367	-0.6453920006752014	0.8805890083312988	0.6960726380348206	-0.5185695290565491	-0.5260640978813171	1.0000004768371582	0.781504213809967	0.04318207502365112	-0.4583885669708252	-0.5575644373893738	-0.516065776348114	0.7656806707382202	0.8752373456954956	-0.554517924785614	-0.7311705946922302	-0.6791461110115051	-0.6713563799858093	-0.46493878960609436	-0.1838153898715973	0.7477958798408508	-0.6634268760681152	0.8002094030380249	-0.4898416996002197	0.7082969546318054	0.7017031908035278	-0.1794949322938919	-0.564259946346283	0.8723194599151611	-0.570796012878418	0.7316653728485107	0.2691076099872589	-0.6329759955406189	-0.24590276181697845	0.6671192049980164	0.735775887966156	0.81661456823349	0.750157356262207	-0.5657700300216675	-0.5565382838249207	-0.6741037368774414	-0.6772801280021667	-0.6884088516235352	-0.7111840844154358	-0.5458823442459106	0.717448353767395	-0.17878955602645874	-0.7139951586723328	0.6524503827095032	-0.5629055500030518	0.8985356688499451	0.6577559113502502	0.7912209033966064	0.7885518670082092	0.898898184299469	0.8301752805709839	-0.760689377784729	-0.5281128883361816	-0.46814608573913574	0.8851442337036133	0.6128005981445312	-0.4541667699813843	0.4296884834766388	-0.614736795425415	0.1222841665148735	-0.44892770051956177	-0.06956881284713745	-0.5933111310005188	-0.6191577315330505	0.8106926083564758	0.393285870552063	-0.712485671043396	0.4134739935398102	-0.3481396436691284	-0.646452784538269	0.6300394535064697	-0.4333234131336212	-0.7173023819923401	-0.6826077699661255	-0.6086893677711487	-0.058071915060281754	0.9071704745292664	-0.5942076444625854	0.9222514629364014	0.799333393573761	-0.6105719208717346	0.924774169921875	-0.6377065777778625	0.8808131814002991	-0.7604479193687439	-0.40527740120887756	-0.6602426171302795	-0.324284166097641	0.6009758710861206	-0.7420259714126587	
P41145	-0.5554674863815308	0.5689553022384644	0.9846596717834473	-0.307969331741333	-0.5270586609840393	0.781504213809967	0.9999998211860657	0.11239740252494812	-0.36447030305862427	-0.5843702554702759	-0.7099447846412659	0.9075347781181335	0.5831694602966309	-0.3402648866176605	-0.6310442090034485	-0.7115793824195862	-0.44347041845321655	-0.35776570439338684	-0.4980944097042084	0.9897246956825256	-0.7035267949104309	0.9655739068984985	-0.6770666837692261	0.9724786281585693	0.28032001852989197	-0.30622655153274536	-0.5559864044189453	0.5439882278442383	-0.6800655126571655	0.9942504167556763	0.4575102925300598	-0.5356367826461792	-0.15847598016262054	0.9525117874145508	0.8786649107933044	0.6323376893997192	0.9906591176986694	-0.5910770893096924	-0.6671855449676514	-0.561177134513855	-0.5872053503990173	-0.6667738556861877	-0.5070480108261108	-0.2966996431350708	0.304435670375824	-0.12874703109264374	-0.7159775495529175	0.19949834048748016	-0.4287533462047577	0.6662288904190063	0.9789337515830994	0.39006227254867554	0.8994920253753662	0.6344600915908813	0.4803445339202881	-0.5795126557350159	-0.4735138416290283	-0.47708842158317566	0.9758606553077698	0.13681620359420776	-0.6317992806434631	0.3370920717716217	-0.4662870764732361	-0.17944563925266266	-0.5244521498680115	-0.07072119414806366	-0.4797011911869049	-0.4787234961986542	0.9668353199958801	0.09330934286117554	-0.5670992136001587	0.24736063182353973	-0.6659931540489197	-0.5212610363960266	0.9688853025436401	-0.1862889528274536	-0.7495749592781067	-0.45194101333618164	-0.5974697470664978	-0.20740073919296265	0.6798741817474365	-0.4614061713218689	0.7505961060523987	0.8841333985328674	-0.5467641353607178	0.7843234539031982	-0.6989609003067017	0.5918611288070679	-0.6330453753471375	-0.3561658561229706	-0.7051088213920593	-0.5747734308242798	0.2673693001270294	-0.695604681968689	
P08913	0.3160076141357422	-0.17606349289417267	0.17076686024665833	0.25282350182533264	-0.14504756033420563	0.04318207502365112	0.11239740252494812	1.0000001192092896	0.04568332061171532	0.07912567257881165	-0.1677095890045166	0.3227749466896057	-0.19122314453125	-0.17408707737922668	-0.0588519424200058	-0.21612988412380219	-0.054643936455249786	-0.15750262141227722	0.18556387722492218	0.18849393725395203	0.09105861186981201	0.14114686846733093	0.1255054622888565	0.18775802850723267	-0.2386288046836853	0.6129637956619263	-0.1112559586763382	-0.2083417922258377	0.14141303300857544	0.15092138946056366	0.5741677284240723	-0.15369781851768494	0.3363761901855469	0.22495883703231812	0.37396252155303955	0.39091506600379944	0.18004977703094482	0.23794379830360413	-0.16614104807376862	-0.11780814081430435	-0.19537456333637238	-0.3401877284049988	-0.0033282828517258167	-0.3026651442050934	-0.24822773039340973	0.7050209045410156	0.039266567677259445	-0.25052666664123535	-0.24953261017799377	-0.1436566859483719	0.1728411614894867	-0.2042907476425171	0.250387966632843	-0.18675199151039124	-0.2166842818260193	-0.1572117656469345	-0.3562016785144806	0.547410786151886	0.11207505315542221	-0.24829398095607758	0.22961966693401337	0.4509417712688446	-0.1880912035703659	0.4651941657066345	-0.1795872300863266	0.46339845657348633	-0.18214237689971924	-0.30582940578460693	0.23064734041690826	0.5234827399253845	-0.17162573337554932	0.7529215812683105	0.09167623519897461	-0.3163750469684601	0.1456231027841568	0.019108688458800316	0.0659492090344429	-0.019518593326210976	-0.19424530863761902	0.699981689453125	-0.1645742505788803	-0.162716343998909	-0.12957465648651123	0.2778990566730499	-0.28374141454696655	0.24858570098876953	0.39142754673957825	-0.19934159517288208	0.08073427528142929	-0.3148893415927887	0.047898124903440475	0.09661205112934113	0.4945180416107178	-0.022021543234586716	
P21917	0.1016756147146225	-0.30605873465538025	-0.33751994371414185	0.07338148355484009	0.5097084641456604	-0.4583885669708252	-0.36447030305862427	0.04568332061171532	1.0000004768371582	0.512179434299469	0.1015397384762764	-0.3556623160839081	-0.29844802618026733	0.5184671878814697	0.18163031339645386	0.35355791449546814	0.6717029809951782	0.10471658408641815	0.09809950739145279	-0.36634761095046997	0.3854573965072632	-0.44444769620895386	0.2473461925983429	-0.38228651881217957	-0.15774139761924744	0.22685128450393677	-0.08310527354478836	-0.33289390802383423	0.24253985285758972	-0.3514126241207123	-0.1484139859676361	0.4556090831756592	-0.1500154733657837	-0.3739069104194641	-0.3465782701969147	-0.2894692122936249	-0.34885939955711365	0.20666271448135376	0.08494509756565094	-0.04003391042351723	0.583354651927948	0.11560151726007462	0.2984101176261902	0.09768413752317429	-0.18610355257987976	0.0616682767868042	0.34292739629745483	-0.1816595494747162	0.18959887325763702	-0.31086966395378113	-0.30805400013923645	-0.24274003505706787	-0.5096580386161804	-0.34089767932891846	-0.2804051637649536	0.30005553364753723	0.09945996850728989	0.27545884251594543	-0.3790387511253357	-0.1631283164024353	0.08743715286254883	-0.4974147081375122	-0.08066681772470474	-0.1793210357427597	0.47732293605804443	-0.1229308620095253	-0.010691077448427677	0.09714680165052414	-0.39739370346069336	-0.09485244005918503	-0.00040936219738796353	0.054750971496105194	0.07502011209726334	-0.04325004667043686	-0.3015516400337219	0.31036898493766785	0.42154064774513245	0.30524885654449463	0.07587480545043945	0.27637743949890137	-0.32949894666671753	0.3206794261932373	-0.34368011355400085	-0.47533297538757324	-0.10715825855731964	-0.40311452746391296	0.230348601937294	-0.31379079818725586	0.24586284160614014	0.14225547015666962	0.3187081813812256	0.4263448715209961	-0.1413261443376541	0.5910064578056335	
P13945	0.516704261302948	-0.5073825716972351	-0.5406444668769836	0.44670525193214417	0.4741070866584778	-0.5575644373893738	-0.5843702554702759	0.07912567257881165	0.512179434299469	0.9999999403953552	0.26816847920417786	-0.46179065108299255	-0.48842868208885193	0.26217493414878845	0.34223809838294983	0.48265427350997925	0.5256054401397705	-0.07894640415906906	0.36499303579330444	-0.5575819611549377	0.635030210018158	-0.5525996685028076	0.3516823649406433	-0.5507590174674988	-0.3454422354698181	0.3538967967033386	0.4589811861515045	-0.5000739693641663	0.5469679236412048	-0.5717719793319702	-0.14943015575408936	0.3871379792690277	-0.09061175584793091	-0.5209469795227051	-0.5391861200332642	-0.284553200006485	-0.5411491990089417	0.47940710186958313	0.27977097034454346	0.21415165066719055	0.4581480920314789	0.26316893100738525	0.31268495321273804	-0.03815203532576561	-0.3687060475349426	0.28612032532691956	0.7704389691352844	-0.38966867327690125	0.34866127371788025	-0.5422386527061462	-0.5415781736373901	-0.4401562809944153	-0.5248092412948608	-0.5262007117271423	-0.4737282395362854	0.3618238568305969	0.18356528878211975	0.536421000957489	-0.5852053165435791	-0.34699803590774536	0.32941004633903503	-0.3669237494468689	0.30588167905807495	0.1060832291841507	0.36530381441116333	-0.10195090621709824	0.27783310413360596	0.07807107269763947	-0.552564263343811	-0.2583807110786438	0.22153857350349426	-0.05142473056912422	0.22042548656463623	0.10514222830533981	-0.5240274667739868	0.22012409567832947	0.5704267621040344	0.5796753168106079	0.21246224641799927	0.18772129714488983	-0.5287019610404968	0.24653732776641846	-0.5542839765548706	-0.564993143081665	0.3205825686454773	-0.5462849140167236	0.4587494432926178	-0.49889302253723145	0.2851814329624176	0.04492191597819328	0.657618522644043	0.4787011742591858	-0.2100009322166443	0.8052138090133667	
