	P35348	P21917	P35462	P25100	P51582	P25105	P30939	P18089	P41595	P25021	P51681	Q13255	P28566	Q9Y271	P30872	Q14416	P47898	P08588	P47900	Q5T6X5	P18825	O95665	Q9H244	P21728	P48039	Q9UBS5	P34969	P35346	P21731	Q9NS75	P14416	Q15722	P28222	P50406	Q13258	P21554	Q9NPC1	P29275	O00222	P35368	P08913	P28223	P30518	Q96G91	P30542	P0DMS8	P28335	P29274	Q99677	P08172	P13945	P30556	P35367	P24530	Q14833	P32745	P37288	P07550	Q14832	P20309	P08908	P08912	P25101	P41594	P43657	P11229	O60883	Q13639	P43115	Q14831	P41145	P43088	Q8NFJ5	P08100	Q15077	P43119	P30874	Q15391	P28221	P35372	P21918	Q8TDS4	Q9Y5N1	O15303	P41231	P41143	P43116	P34981	P08173	P34995	P32239	Q9H3N8	P32238	P25024
P35348	0.0	10.783216845812719	8.481376449601347	6.09804675424916	9.006842430770945	9.71997657540872	7.111106814160003	6.835666177095852	9.278959346694785	8.641699892272758	8.242060324010948	8.056455952513046	7.866025561599946	8.94598565820189	8.543353979034702	7.759139034009797	8.301225392127291	7.391274898638292	8.982619080230945	10.421893807259455	7.498732753891318	8.438139491587837	9.215154648973769	7.406151483541787	8.238587300227604	7.851310068835725	7.722661490771895	8.635191603920587	6.733013354528743	9.200645986906611	8.168893335257515	8.563463154780399	8.028917984704528	9.511598302171253	8.183939807255596	8.466036822877442	9.97347481276043	8.215214490638829	9.930706565685817	5.204849957031485	7.106017619183545	8.066934978227884	8.668718249491778	10.73478400033734	8.165666955814126	12.153538965942074	7.545682332626246	8.612424007784279	10.292168110364772	6.745544529797899	7.016934011377061	7.514201049159758	8.294335321033488	8.214936431123883	8.616040351793611	8.880785246981587	8.704587996458432	6.728500427758214	7.917342369404654	8.147222994701524	8.165087536993722	8.637469212899905	8.151706955109006	7.901106745348901	8.662518491917995	7.375456532408229	9.063599495919687	9.439074231824973	8.21307806923245	8.366906851261463	7.872122011614093	9.161652904802867	10.731971431418517	7.862660704112517	9.01078000115485	8.029312711934788	8.120914524119005	8.610204981062108	8.05953048951373	8.54574372597053	8.710064733303748	9.825389338652359	7.825373098223078	9.032570726481003	8.27778427454882	7.839760801090474	8.782371057725516	7.6708803306047715	9.177611334978986	7.829633041419327	8.110177280591854	9.895188914219384	8.747025809412836	8.588507377410407	
P21917	10.783216845812719	0.0	10.354871030946288	10.66076564280164	10.712369270801286	11.358664318378143	9.368717540646543	10.64321252537345	11.214237517684618	10.477321321532246	10.420248635960606	9.918479403574057	9.849874179442105	11.009563984899874	10.54043899228174	10.075109494135777	9.856915879133876	10.799812095501677	10.899260571303914	12.091273098594845	11.095709517434415	10.275455734706865	10.792086974112914	9.559246505776564	10.83670682718051	9.75705810320984	10.452958678242354	10.553324899930955	9.751915625583297	11.206069000216962	10.072967969264832	10.422058434122677	10.061026128508825	10.99941406924598	10.080074875780614	10.42962358909416	11.781931135904912	10.153569103235482	11.351185725395036	10.226654732015941	10.775679579485185	10.334213362153253	10.41719899142882	9.887417948187945	10.521519200695948	10.764560509060512	10.18560777229786	10.61197037881213	12.566897707917185	9.315601830589825	10.891347606399204	10.137183725515639	10.215980924682306	10.394300716843377	10.221570420363769	10.559324858671967	11.026885720286728	9.778889083407373	10.245610511916304	10.06834034323752	10.121490922541328	10.597086098484136	10.477193215043052	9.74261302574115	10.619364443249392	9.263123385900718	11.403066021828483	11.273340965832386	10.264539828482267	10.085507674841	10.026262545665347	10.931353887999364	11.951216926781521	9.917269521982602	10.913396870564684	10.237511959840385	10.043741161283856	10.323669168161016	10.236260332960212	10.290649131586102	10.351004104232615	11.260475365210935	9.280206534466382	10.535727368217984	10.614999724633718	10.350190946054296	10.282398335538225	10.21087298150168	10.25924820002305	10.10205572791823	10.210262200047744	11.511843212160468	10.687826008456854	10.536163676634345	
P35462	8.481376449601347	10.354871030946288	0.0	7.967313367462311	9.047579205838074	10.253114741224895	6.836004455457898	8.353696834859607	9.337768381186482	8.04684721147475	8.340947867050378	7.348142915722751	7.423273412695258	9.157368256754095	8.193666359896822	7.028914125636615	7.2007888244077565	8.732735605835902	9.037828936290294	10.125900850544467	8.372910126486723	7.874345716806424	8.897582698244582	5.248545454157521	8.225786026774784	6.896746432586578	7.318627129829571	7.7430791830614485	7.01953823328555	9.891130311998548	6.148157849545534	8.510489879092216	7.145327077805844	8.847714244636258	8.179829001886239	7.674656828412535	10.363974004435713	7.66802279467576	8.125508253367215	7.513443013220931	7.83958828912345	7.783728515297355	8.191604927914659	10.707790806505948	8.36828980378632	11.932914202576404	7.875659944038686	8.185361353474525	10.963583415051103	6.323685611280886	8.53199894273529	7.590873188817377	8.447188662403969	8.096151270078822	7.812043318454644	8.359241609830432	9.31477482550758	7.2414657876745006	7.746625084627109	7.914493713558437	7.4938332741903295	8.572066275665199	8.439224990889466	6.895052809564482	9.154349805791487	6.845811975473317	8.799012474952065	9.413293745463719	7.676940848398162	7.391032869917601	7.09217615295696	9.265403234013366	10.808202022104116	7.414889420484778	9.49681036675629	7.732866259759765	7.128503316448584	8.628651400941962	7.435149784827092	7.334064402423741	5.817566908790807	9.564165880143085	6.981303414501593	8.431892948675278	8.696570757404983	7.186921717111168	8.487905536432054	7.889657337758689	8.132244516013795	8.181580533478629	7.553672904759175	9.71739302771407	8.59435750089217	8.416092165327333	
P25100	6.09804675424916	10.66076564280164	7.967313367462311	0.0	8.965149809352805	10.075893467542274	6.832812022514537	7.1674527261610805	9.30670112486076	8.314249348123052	8.23166701134358	7.923909905260916	7.600855459069354	8.561022286885803	8.439140408889596	7.676830074891075	7.917707252688005	8.16438921951023	8.391988594200441	9.877087053955062	7.5937280827906095	7.743273576814926	9.101947265948992	7.182763340421367	8.114212190637756	7.662409087631112	7.776637240037576	8.114879727688487	6.53152719391335	9.013945633979658	7.222784878594861	8.329718004852097	7.824846867322758	9.235584857197326	7.81366788350844	8.175245744001206	10.17385902909461	7.916537748602918	9.583866726774222	5.386972831803949	7.3646310939372865	8.369855015001049	8.185684055733311	10.620465557991425	7.992140500854574	12.090401266194744	8.535515631538347	8.301930489813543	10.58320154345914	6.420601622466545	7.805771682789896	7.141242657876547	8.142577634110337	7.344969932960393	8.395866894375462	8.419783671933025	9.05213335884998	6.523464564328116	8.716386608358075	7.75355385298602	8.428141108671076	8.246102160669881	7.890768127247284	7.209674500932388	8.725510193759682	6.942011989873386	9.134312489015011	9.426146953206358	7.9483684307234865	7.903709660311408	7.585817209710666	9.13987028463088	10.447095823834276	7.297193305771708	8.914200921038761	7.189188165416757	7.774414155477258	8.359174334101157	7.701959987376408	7.520808114875454	8.465408337459909	9.418394131589402	7.522934051023567	8.740611256355182	8.198245297629002	7.432674494109506	8.318291690956835	7.637152037956392	8.436950451896859	7.670260238953039	7.776431738446306	10.015998823781988	8.53460112474302	8.319278871032193	
P51582	9.006842430770945	10.712369270801286	9.047579205838074	8.965149809352805	0.0	9.02808068523616	7.228305122736691	9.236300238221963	9.755369362874246	8.091278310440037	7.708838757957852	8.078329943579089	8.178527514885854	8.43799656624929	9.315451466577867	8.081320096740058	8.052314343502603	9.406767811820389	8.235620481365354	10.26047456523952	9.717468124573854	8.540301092466715	7.599655604785296	8.189946739602023	8.106416365518937	7.9142494824732355	8.564777893111954	9.167362021787019	7.22451215665369	10.136350873258841	8.692041668302993	8.1517597502814	8.73053201621958	9.878468051551469	7.855729720275527	8.644762164379165	10.305370016963517	7.703163352145864	9.39476913074849	8.3558722717507	9.118252317548835	9.439128736549913	8.281801669733468	10.220741899004922	8.270028036534221	11.149504274378693	8.945634589447451	8.683147876180104	9.52255987825085	6.860325965664372	8.687952199351713	7.919843805931209	8.843882172121093	8.30642411269787	8.341522191182795	9.16717780312371	9.18608197464607	7.828965931545976	8.280865647667563	8.453221683501459	8.97158494960372	8.896358445059034	8.680944063752106	8.137575087061723	8.747550930755741	7.818011787460171	8.634322123421956	10.719523676453242	7.884127184559699	8.057091340407453	8.376504024932384	9.496320483265995	10.035586915089171	7.711691302463698	7.160733480639657	7.5833961763618545	8.401574971692492	7.166691799425509	9.04405696741241	8.296273956156261	9.266519994143435	9.08470763985118	7.863063534174951	8.52770028093845	5.896207758298646	7.726026501894365	8.314716828326294	7.600431638612603	9.077687839748728	7.8972122527036825	8.099336716967708	9.533675279704774	8.343957933345774	7.428996806552341	
P25105	9.71997657540872	11.358664318378143	10.253114741224895	10.075893467542274	9.02808068523616	0.0	8.298909481594258	9.895846309109293	10.666620196516975	9.172910838872076	8.029567682871866	8.818992863907871	9.384916128546228	8.791740363646575	10.013248536485884	8.884093354477635	9.69818705958591	9.893222592573045	8.949054178450307	11.313211424919473	10.333662427299682	9.366347863750907	9.35257638682408	8.910824429062222	9.332321474035366	8.413778249825743	8.75299131828756	9.834629801646082	7.6930577180577995	9.639827572794559	9.838692670434755	8.603362012830567	9.440883344995397	10.429117989352243	8.401663412831672	8.60659298200961	10.277799433846896	8.833040022338722	10.414396200939347	9.150832186716581	10.093588727237332	9.559212432723198	9.402474460886044	11.238745234722401	9.79685705134574	12.364795955404354	9.36094165544732	9.640201668666014	10.195926251516614	7.95624966273079	10.264700856450085	8.636281619074403	9.170154107490092	8.839619143220418	9.689353278504608	10.12588486728224	9.648291659576207	8.68774789687237	9.117492568338598	8.9979715098465	10.139189602900752	9.531661128596694	9.24545471492531	9.079085259092867	9.317937653023403	8.433928236676865	9.84266681624726	10.973760042813549	9.143623510772125	9.043448256419502	8.918018196403594	9.593741818341792	10.511282667325299	8.397346162647532	8.669630098488872	8.176565475961958	9.261374875306805	8.660645122959156	9.954472792635569	9.620002716862167	9.920438741855957	10.206228874056734	8.725482391752703	9.737403574959105	8.489626257018484	8.889715796181756	9.208331409688803	8.79615909434899	10.167643133985061	8.813206699605841	8.854615127398619	10.8561299871129	9.574342486198546	8.19576072514068	
P30939	7.111106814160003	9.368717540646543	6.836004455457898	6.832812022514537	7.228305122736691	8.298909481594258	0.0	7.530912951629049	7.9461748603271785	6.7727211189605825	6.517832900905748	6.215537970915118	5.761149026760308	7.518501350989428	6.9007904932522	5.862066324845002	5.8571603666979115	7.530595713954628	7.431617403964318	9.030457650338995	7.850964646509369	6.582269625542313	7.651613047418327	5.7910166970185415	6.580023218152674	5.304282774598875	6.296002243394043	6.816702192058264	4.7979791898599755	8.267173191576575	6.3559034668078835	6.658189355286833	6.26498965760848	7.339170206060059	6.060097711297448	6.555005615897497	8.697840848576009	6.346682080855422	7.939243372975996	6.218627378226852	7.266837951519701	7.180239376965722	6.92065920775225	9.509244997522527	6.646592028706369	10.955687632919958	6.504944466588875	7.090428787441845	9.21661754894819	4.025962336096109	7.550194488712064	6.464695017468753	7.099246253099697	6.720599577187209	6.701535510378356	6.795505678977759	7.663823534715934	5.826918110086269	6.422624407792016	6.379231892504198	6.877615061120131	7.126813686755976	6.976599548897186	5.863476276060949	7.2059515338016	5.366539745362544	7.306712278431286	8.784442624793819	6.326634309543047	5.775713496456885	5.954464370745328	7.63333018801255	8.698940016798186	5.87653634204902	7.790984290625967	6.082763167753083	6.179851946251543	6.592641020954899	5.856026704132624	6.422427114747706	7.225257464248226	7.80883293161113	5.160938388684323	6.987253316557933	6.866211503677142	5.863272785098545	6.384203455880157	5.910561509232054	7.294173173394119	6.419627001279221	6.2547523693657165	8.353353883347292	6.95436313287705	6.594567168618181	
P18089	6.835666177095852	10.64321252537345	8.353696834859607	7.1674527261610805	9.236300238221963	9.895846309109293	7.530912951629049	0.0	9.43830913576907	8.796036626053485	8.678394800645755	8.683235321569995	7.988255937201934	9.599721217612412	8.821194145885562	7.935459268166481	8.577691496065862	7.413164355638976	9.254396125901566	10.573076586407051	5.698601370339056	8.664521530352483	9.107908394139852	7.609640135925257	8.696279391185396	7.752478086283604	7.984909728405696	8.611476043571914	7.42370976681053	10.180943850963997	8.086088539397505	9.047989408467556	7.814248525165855	9.685447802186097	8.50279463783499	8.416450895721843	10.709338197749684	8.288285675597773	10.132693645845977	6.024926343951089	5.806018008561648	8.596720300227508	8.858361242441543	10.918356060178326	8.24695940301993	12.109356678290206	8.654003625061526	8.414706218483838	11.052666832880082	7.14817571500341	7.1174969061963695	7.9091394250531915	8.992981130425733	8.809153212253307	8.709870342611397	9.308729386200657	9.606252807485394	6.716729856453842	8.364972670898958	8.877487990551579	8.317374630279607	9.617165910207927	8.841076927713459	8.075166563404686	9.246172544199503	7.861713460538274	9.734478623863614	9.086039952747646	8.007477289448316	8.448162120559722	7.86360154451017	9.444542467766407	10.507389962558744	8.506021192408186	9.610440616973356	8.321334416586723	8.374366619481707	9.003793293380452	7.926477136095157	8.323133858784537	8.596945996811032	9.697176420917327	7.697212053025607	9.292577669844565	8.849778165434815	7.776516355482235	8.985957218541422	8.606469644902157	9.292154312443719	8.457907861421663	8.550227086556418	9.912946457905118	9.628090902231968	8.902877213802148	
P41595	9.278959346694785	11.214237517684618	9.337768381186482	9.30670112486076	9.755369362874246	10.666620196516975	7.9461748603271785	9.43830913576907	0.0	9.283055124197354	9.805211975015498	8.984658555959419	8.65458402325692	9.881390492069627	9.827144228635715	8.90399796713554	8.9532413992501	9.351523102623991	9.695925906756598	10.981990913296592	10.055112176590429	9.27857971859683	10.33022984986638	8.66719984558076	9.278293110057822	8.884717307435816	9.18928630325612	9.720850952614489	8.134095132399416	10.38376999488665	9.191308538847348	9.480724583166445	8.883312443085817	9.969192577745218	8.925370437465642	9.16258778217573	10.837771177352751	9.351802602710563	10.259315851831769	8.679914309388995	9.737811898890264	9.32174597274627	9.181929223333462	11.537237291895098	9.937328002399711	12.553941881099743	8.928144633471385	10.133626061910345	11.331462827291617	8.023379529154685	9.751279802234182	9.068259980818508	8.88582069389608	9.45527260219891	9.406380657606942	9.697306879693624	9.937371317091008	8.48179452406155	9.267325387525378	8.849155143198658	9.214629387101622	9.493048722943684	9.500256346334654	8.730402122975793	9.515256900909668	8.421256684558404	10.65209889513732	10.029235990611255	9.289429036277634	9.000373218133483	8.687774719607104	9.948443120995101	11.241171015756732	9.276185252312033	9.9930078020619	9.176722732058122	9.011356710532109	9.77501069135634	8.819529461314396	8.63348063398069	9.629495617898712	10.699617801782257	8.46131935768827	9.842227655956462	9.317028718333306	8.181248614254756	9.17453123482516	8.69793971477931	9.7894611287718	8.832305746484316	8.758464937982778	10.44247334073761	9.056419999631723	9.646240005337088	
P25021	8.641699892272758	10.477321321532246	8.04684721147475	8.314249348123052	8.091278310440037	9.172910838872076	6.7727211189605825	8.796036626053485	9.283055124197354	0.0	7.629213936765952	7.674689005348767	7.9315598607153515	7.901676397183512	8.533507396692677	7.964751562194591	7.852206604929063	8.36990647988926	8.718897826409055	9.716755690261028	9.47737691857028	7.979478811964428	8.404705753131354	7.027803952306493	7.847695275109693	7.322605889030985	7.638619333826937	8.25450862022714	6.647454831603797	9.152404038682851	7.955196934933154	7.818329314812589	8.013335826726674	8.546586185404301	6.939333680497344	8.104424488021332	9.671019593474833	7.126253367824298	9.714312924192942	7.804263260628317	8.77527181036557	8.428531896550599	7.555028663932976	10.627230547241616	8.109441212063015	12.237107726011894	8.211290318264986	7.818754501236442	9.735411487053026	6.497548714979926	8.119888164532707	7.521626581247138	7.949203130801916	8.062783742638437	8.636532177646117	8.830962079674466	8.985809482902134	6.7976224789648825	8.245338064523313	7.497864738004563	8.700931241735539	8.238511152430267	8.415762801658177	7.5667781833395615	8.580247478965575	6.7680037820122765	9.143467165781198	8.793610858921605	8.169120898138251	8.193779288336625	7.457769814589405	8.753048623726487	10.579342746038035	7.375344360156896	8.619632547776407	7.18715202196709	7.871549664909055	7.954369254791199	8.184219280670229	7.850310661874616	8.046265706712324	8.830029059808263	7.051705760548743	8.884927195508444	7.812593774476237	7.424522825846055	7.563518847285654	7.2902186523920856	8.63498975530986	7.840989000494222	7.444825538119209	9.291594409214756	8.260437959382237	7.6048025848593666	
