	Q14833	P30556	P08173	O60883	P30874	Q15077	P21731	Q8TDS4	P41231	Q9Y271	P43116	P25024	P35372	P28335	P08588	P43088	P35346	P51582	P30872	Q8NFJ5	Q9UBS5	Q99677	P08100	P41143	P41145	P47898	O95665	Q9Y5N1	Q9NS75	Q9H3N8	P28222	P35367	P08908	P47900	P48039	P29275	Q9NPC1	P35368	P25105	Q14416	P37288	P30939	Q14832	P14416	P28566	P21918	P32238	P25100	P41594	P32745	P34981	P32239	P43115	Q15391	Q13255	P50406	O00222	P25021	P11229	P08172	P51681	P43657	P34995	P21554	Q15722	P35462	P28221	Q13258	P20309	P43119	P35348	P0DMS8	P07550	P30542	P41595	P18825	Q9H244	Q96G91	P13945	Q5T6X5	P34969	Q13639	P18089	P21917	P30518	P29274	P28223	P08913	P24530	Q14831	P25101	O15303	P08912	P21728
Q14833	1.0	0.15625	0.16666666666666666	0.15217391304347827	0.2702702702702703	0.09803921568627451	0.13333333333333333	0.1	0.12195121951219512	0.1320754716981132	0.1111111111111111	0.14285714285714285	0.23529411764705882	0.2631578947368421	0.1590909090909091	0.1320754716981132	0.19148936170212766	0.1590909090909091	0.23076923076923078	0.11290322580645161	0.3333333333333333	0.14285714285714285	0.2	0.21052631578947367	0.2571428571428571	0.3333333333333333	0.3142857142857143	0.38461538461538464	0.13333333333333333	0.09722222222222222	0.20408163265306123	0.15789473684210525	0.3939393939393939	0.12	0.15555555555555556	0.13953488372093023	0.09230769230769231	0.16666666666666666	0.17857142857142858	0.43333333333333335	0.18867924528301888	0.22580645161290322	0.3611111111111111	0.27586206896551724	0.3333333333333333	0.1956521739130435	0.125	0.17073170731707318	0.4444444444444444	0.18	0.21052631578947367	0.2571428571428571	0.15789473684210525	0.1111111111111111	0.36666666666666664	0.15254237288135594	0.21568627450980393	0.12962962962962962	0.2857142857142857	0.18518518518518517	0.13513513513513514	0.14583333333333334	0.075	0.2777777777777778	0.14285714285714285	0.19047619047619047	0.16666666666666666	0.17647058823529413	0.1875	0.1388888888888889	0.10344827586206896	0.10144927536231885	0.1875	0.13333333333333333	0.18333333333333332	0.2037037037037037	0.17647058823529413	0.14285714285714285	0.14	0.125	0.1794871794871795	0.18032786885245902	0.22916666666666666	0.23214285714285715	0.13157894736842105	0.1509433962264151	0.25	0.18	0.15384615384615385	0.3333333333333333	0.13636363636363635	0.2222222222222222	0.15384615384615385	0.3125	
P30556	0.15625	1.0	0.15555555555555556	0.16666666666666666	0.2	0.15384615384615385	0.35294117647058826	0.1282051282051282	0.16666666666666666	0.13953488372093023	0.21875	0.20833333333333334	0.24	0.1935483870967742	0.17647058823529413	0.1951219512195122	0.18421052631578946	0.14285714285714285	0.20454545454545456	0.11538461538461539	0.3181818181818182	0.1276595744680851	0.35714285714285715	0.25	0.17857142857142858	0.20833333333333334	0.20689655172413793	0.25	0.14	0.13333333333333333	0.11627906976744186	0.14583333333333334	0.20689655172413793	0.18421052631578946	0.24242424242424243	0.22580645161290322	0.17647058823529413	0.24	0.12244897959183673	0.18518518518518517	0.13043478260869565	0.22727272727272727	0.15151515151515152	0.23809523809523808	0.23333333333333334	0.1282051282051282	0.15555555555555556	0.23333333333333334	0.21739130434782608	0.2	0.25	0.17857142857142858	0.32	0.11363636363636363	0.2	0.16326530612244897	0.0851063829787234	0.19047619047619047	0.19047619047619047	0.16666666666666666	0.14814814814814814	0.2222222222222222	0.23076923076923078	0.20689655172413793	0.1935483870967742	0.18181818181818182	0.18181818181818182	0.2608695652173913	0.1794871794871795	0.2	0.17777777777777778	0.1016949152542373	0.35	0.17647058823529413	0.15384615384615385	0.125	0.11363636363636363	0.15384615384615385	0.21052631578947367	0.17307692307692307	0.16666666666666666	0.1509433962264151	0.14285714285714285	0.11538461538461539	0.14285714285714285	0.13636363636363635	0.11363636363636363	0.17073170731707318	0.1724137931034483	0.13793103448275862	0.18181818181818182	0.1282051282051282	0.16666666666666666	0.19230769230769232	
P08173	0.16666666666666666	0.15555555555555556	1.0	0.19298245614035087	0.19230769230769232	0.12698412698412698	0.08888888888888889	0.14754098360655737	0.12962962962962962	0.13636363636363635	0.14035087719298245	0.12244897959183673	0.16326530612244897	0.16666666666666666	0.15789473684210525	0.11940298507462686	0.22413793103448276	0.15789473684210525	0.1791044776119403	0.09090909090909091	0.25	0.12857142857142856	0.125	0.17307692307692307	0.20408163265306123	0.1956521739130435	0.1509433962264151	0.21428571428571427	0.136986301369863	0.16049382716049382	0.21311475409836064	0.208955223880597	0.22	0.16393442622950818	0.21818181818181817	0.16363636363636364	0.10256410256410256	0.14	0.17391304347826086	0.20833333333333334	0.13043478260869565	0.1276595744680851	0.18518518518518517	0.18181818181818182	0.26	0.22807017543859648	0.14705882352941177	0.21153846153846154	0.17391304347826086	0.21311475409836064	0.17307692307692307	0.18	0.20408163265306123	0.10294117647058823	0.16666666666666666	0.12162162162162163	0.203125	0.13432835820895522	0.1590909090909091	0.14634146341463414	0.09615384615384616	0.09375	0.07407407407407407	0.19607843137254902	0.10526315789473684	0.25	0.2	0.1702127659574468	0.2413793103448276	0.21739130434782608	0.16176470588235295	0.10975609756097561	0.17777777777777778	0.15789473684210525	0.16216216216216217	0.17647058823529413	0.13636363636363635	0.109375	0.14285714285714285	0.14473684210526316	0.12962962962962962	0.20833333333333334	0.15625	0.16666666666666666	0.11538461538461539	0.1875	0.171875	0.15625	0.09090909090909091	0.18	0.1016949152542373	0.14754098360655737	0.29310344827586204	0.1875	
O60883	0.15217391304347827	0.16666666666666666	0.19298245614035087	1.0	0.15555555555555556	0.17307692307692307	0.14705882352941177	0.1320754716981132	0.1590909090909091	0.1206896551724138	0.1702127659574468	0.15384615384615385	0.175	0.23255813953488372	0.14285714285714285	0.14035087719298245	0.22	0.21739130434782608	0.21052631578947367	0.15625	0.25	0.21052631578947367	0.12903225806451613	0.18604651162790697	0.13953488372093023	0.18421052631578946	0.24390243902439024	0.24242424242424243	0.15873015873015872	0.13513513513513514	0.23076923076923078	0.18333333333333332	0.21428571428571427	0.17307692307692307	0.1875	0.17391304347826086	0.1875	0.175	0.18333333333333332	0.2	0.15254237288135594	0.22857142857142856	0.2558139534883721	0.16666666666666666	0.23255813953488372	0.17647058823529413	0.1724137931034483	0.20454545454545456	0.2222222222222222	0.16363636363636364	0.275	0.225	0.1951219512195122	0.16071428571428573	0.24324324324324326	0.15873015873015872	0.17543859649122806	0.15789473684210525	0.17142857142857143	0.15625	0.23684210526315788	0.17647058823529413	0.11627906976744186	0.1590909090909091	0.17777777777777778	0.1956521739130435	0.1724137931034483	0.18421052631578946	0.19230769230769232	0.21052631578947367	0.1896551724137931	0.125	0.10256410256410256	0.16666666666666666	0.11764705882352941	0.16666666666666666	0.2037037037037037	0.19607843137254902	0.14814814814814814	0.16666666666666666	0.1590909090909091	0.16666666666666666	0.14285714285714285	0.13846153846153847	0.11627906976744186	0.24528301886792453	0.2037037037037037	0.18518518518518517	0.19047619047619047	0.1951219512195122	0.1702127659574468	0.2	0.22641509433962265	0.20512820512820512	
P30874	0.2702702702702703	0.2	0.19230769230769232	0.15555555555555556	1.0	0.1	0.13793103448275862	0.17391304347826086	0.125	0.1568627450980392	0.13953488372093023	0.21875	0.24242424242424243	0.175	0.13636363636363635	0.18	0.375	0.13636363636363635	0.3404255319148936	0.0967741935483871	0.3448275862068966	0.125	0.20833333333333334	0.21621621621621623	0.22857142857142856	0.25806451612903225	0.21621621621621623	0.2962962962962963	0.11666666666666667	0.14705882352941177	0.20833333333333334	0.16071428571428573	0.21621621621621623	0.1	0.21428571428571427	0.14285714285714285	0.07692307692307693	0.17142857142857143	0.1206896551724138	0.2727272727272727	0.12727272727272726	0.1935483870967742	0.2972972972972973	0.3333333333333333	0.23684210526315788	0.17391304347826086	0.14814814814814814	0.20512820512820512	0.3103448275862069	0.28888888888888886	0.21621621621621623	0.22857142857142856	0.22857142857142856	0.1346153846153846	0.2903225806451613	0.17543859649122806	0.19607843137254902	0.1320754716981132	0.20689655172413793	0.14814814814814814	0.1388888888888889	0.10204081632653061	0.07692307692307693	0.21621621621621623	0.14634146341463414	0.2564102564102564	0.14814814814814814	0.21875	0.14285714285714285	0.17647058823529413	0.16666666666666666	0.10294117647058823	0.15625	0.13636363636363635	0.14754098360655737	0.14285714285714285	0.09259259259259259	0.1	0.19148936170212766	0.14516129032258066	0.15384615384615385	0.18333333333333332	0.1836734693877551	0.1724137931034483	0.16666666666666666	0.17647058823529413	0.20408163265306123	0.20833333333333334	0.1282051282051282	0.2647058823529412	0.13953488372093023	0.2	0.11320754716981132	0.28125	
Q15077	0.09803921568627451	0.15384615384615385	0.12698412698412698	0.17307692307692307	0.1	1.0	0.2	0.16666666666666666	0.35	0.1724137931034483	0.20833333333333334	0.2	0.19047619047619047	0.14285714285714285	0.1568627450980392	0.19298245614035087	0.20754716981132076	0.22916666666666666	0.14285714285714285	0.16666666666666666	0.17073170731707318	0.2413793103448276	0.11764705882352941	0.2	0.18181818181818182	0.14285714285714285	0.2	0.1282051282051282	0.22580645161290322	0.16	0.17543859649122806	0.23333333333333334	0.125	0.28	0.17647058823529413	0.2391304347826087	0.19696969696969696	0.13636363636363635	0.27586206896551724	0.18604651162790697	0.22413793103448276	0.21052631578947367	0.14	0.125	0.14285714285714285	0.10526315789473684	0.2033898305084746	0.19148936170212766	0.11904761904761904	0.17543859649122806	0.22727272727272727	0.18181818181818182	0.20930232558139536	0.2830188679245283	0.13953488372093023	0.13432835820895522	0.12903225806451613	0.21052631578947367	0.1282051282051282	0.08108108108108109	0.21951219512195122	0.23529411764705882	0.1590909090909091	0.14893617021276595	0.24444444444444444	0.16	0.22413793103448276	0.23076923076923078	0.18181818181818182	0.13953488372093023	0.16129032258064516	0.1506849315068493	0.15	0.1346153846153846	0.2153846153846154	0.15873015873015872	0.25925925925925924	0.16363636363636364	0.14035087719298245	0.23076923076923078	0.14893617021276595	0.15942028985507245	0.13559322033898305	0.14925373134328357	0.13333333333333333	0.21052631578947367	0.13333333333333333	0.17543859649122806	0.1276595744680851	0.15555555555555556	0.13725490196078433	0.125	0.23636363636363636	0.13636363636363635	
P21731	0.13333333333333333	0.35294117647058826	0.08888888888888889	0.14705882352941177	0.13793103448275862	0.2	1.0	0.17142857142857143	0.28	0.21052631578947367	0.2	0.23809523809523808	0.2727272727272727	0.25925925925925924	0.23333333333333334	0.1794871794871795	0.16666666666666666	0.1935483870967742	0.16279069767441862	0.0784313725490196	0.18181818181818182	0.19047619047619047	0.3333333333333333	0.28	0.2	0.23809523809523808	0.23076923076923078	0.2222222222222222	0.14893617021276595	0.1206896551724138	0.125	0.15555555555555556	0.14285714285714285	0.2	0.1875	0.25	0.16326530612244897	0.4	0.15555555555555556	0.16	0.16666666666666666	0.3333333333333333	0.12903225806451613	0.21052631578947367	0.1724137931034483	0.1388888888888889	0.1951219512195122	0.36	0.19047619047619047	0.15384615384615385	0.28	0.25	0.25	0.15	0.22727272727272727	0.14893617021276595	0.11627906976744186	0.175	0.29411764705882354	0.2	0.21739130434782608	0.24242424242424243	0.2608695652173913	0.18518518518518517	0.25925925925925924	0.2	0.11363636363636363	0.3	0.2647058823529412	0.22727272727272727	0.21951219512195122	0.10714285714285714	0.4117647058823529	0.1935483870967742	0.14	0.18604651162790697	0.12195121951219512	0.16666666666666666	0.19444444444444445	0.16	0.23076923076923078	0.13725490196078433	0.18421052631578946	0.1	0.20833333333333334	0.14634146341463414	0.1794871794871795	0.21621621621621623	0.24	0.2	0.2413793103448276	0.1388888888888889	0.21052631578947367	0.16666666666666666	
Q8TDS4	0.1	0.1282051282051282	0.14754098360655737	0.1320754716981132	0.17391304347826086	0.16666666666666666	0.17142857142857143	1.0	0.17777777777777778	0.24074074074074073	0.1875	0.11904761904761904	0.16666666666666666	0.1	0.13725490196078433	0.15517241379310345	0.23529411764705882	0.23404255319148937	0.16393442622950818	0.13432835820895522	0.11904761904761904	0.16393442622950818	0.12121212121212122	0.15217391304347827	0.13333333333333333	0.14634146341463414	0.17777777777777778	0.13157894736842105	0.13636363636363635	0.1780821917808219	0.2	0.12307692307692308	0.08163265306122448	0.125	0.22916666666666666	0.14285714285714285	0.11428571428571428	0.13953488372093023	0.15873015873015872	0.1111111111111111	0.09375	0.18421052631578946	0.16666666666666666	0.1282051282051282	0.1956521739130435	0.14814814814814814	0.12903225806451613	0.1702127659574468	0.12195121951219512	0.24528301886792453	0.15217391304347827	0.18604651162790697	0.1590909090909091	0.15517241379310345	0.14285714285714285	0.11940298507462686	0.1896551724137931	0.13333333333333333	0.13157894736842105	0.14705882352941177	0.13953488372093023	0.08771929824561403	0.13636363636363635	0.15217391304347827	0.14583333333333334	0.1875	0.16666666666666666	0.20512820512820512	0.12280701754385964	0.17073170731707318	0.18333333333333332	0.12162162162162163	0.15384615384615385	0.11538461538461539	0.11428571428571428	0.1076923076923077	0.15517241379310345	0.08620689655172414	0.16363636363636364	0.11267605633802817	0.1276595744680851	0.16176470588235295	0.1	0.11764705882352941	0.1111111111111111	0.11475409836065574	0.13559322033898305	0.13793103448275862	0.13043478260869565	0.1590909090909091	0.14	0.16981132075471697	0.13559322033898305	0.11363636363636363	
P41231	0.12195121951219512	0.16666666666666666	0.12962962962962962	0.1590909090909091	0.125	0.35	0.28	0.17777777777777778	1.0	0.2608695652173913	0.23076923076923078	0.3103448275862069	0.21212121212121213	0.1794871794871795	0.1951219512195122	0.16	0.17391304347826086	0.4	0.14814814814814814	0.11666666666666667	0.1875	0.24	0.16666666666666666	0.2571428571428571	0.16666666666666666	0.1875	0.1891891891891892	0.1724137931034483	0.2222222222222222	0.16666666666666666	0.16326530612244897	0.20754716981132076	0.1282051282051282	0.22727272727272727	0.19047619047619047	0.2702702702702703	0.1694915254237288	0.17647058823529413	0.28	0.28125	0.22	0.2413793103448276	0.14634146341463414	0.12903225806451613	0.15	0.1276595744680851	0.22	0.21052631578947367	0.15625	0.14	0.2222222222222222	0.23529411764705882	0.2	0.20833333333333334	0.18181818181818182	0.15789473684210525	0.15384615384615385	0.2553191489361702	0.1724137931034483	0.1111111111111111	0.21212121212121213	0.17777777777777778	0.24242424242424243	0.1891891891891892	0.24324324324324326	0.17073170731707318	0.1509433962264151	0.26666666666666666	0.2222222222222222	0.14705882352941177	0.21568627450980393	0.1044776119402985	0.2	0.13953488372093023	0.15	0.16666666666666666	0.1836734693877551	0.14893617021276595	0.1702127659574468	0.16666666666666666	0.1891891891891892	0.12903225806451613	0.14	0.09836065573770492	0.24242424242424243	0.1568627450980392	0.13725490196078433	0.16326530612244897	0.19444444444444445	0.2	0.14285714285714285	0.15217391304347827	0.23404255319148937	0.17647058823529413	
Q9Y271	0.1320754716981132	0.13953488372093023	0.13636363636363635	0.1206896551724138	0.1568627450980392	0.1724137931034483	0.21052631578947367	0.24074074074074073	0.2608695652173913	1.0	0.16981132075471697	0.20930232558139536	0.2	0.17647058823529413	0.18867924528301888	0.2	0.19298245614035087	0.21153846153846154	0.20634920634920634	0.14084507042253522	0.18181818181818182	0.22580645161290322	0.10526315789473684	0.20833333333333334	0.16666666666666666	0.18181818181818182	0.16	0.17073170731707318	0.21212121212121213	0.21333333333333335	0.14516129032258066	0.2	0.11538461538461539	0.1724137931034483	0.20754716981132076	0.19607843137254902	0.2028985507246377	0.14893617021276595	0.2	0.1702127659574468	0.171875	0.16279069767441862	0.17307692307692307	0.11363636363636363	0.17647058823529413	0.17543859649122806	0.22950819672131148	0.17647058823529413	0.13333333333333333	0.18333333333333332	0.23404255319148937	0.24444444444444444	0.16666666666666666	0.2	0.17777777777777778	0.15942028985507245	0.15625	0.19672131147540983	0.14285714285714285	0.1282051282051282	0.14893617021276595	0.19642857142857142	0.1702127659574468	0.1836734693877551	0.25	0.16981132075471697	0.15384615384615385	0.20930232558139536	0.1896551724137931	0.1276595744680851	0.15151515151515152	0.14285714285714285	0.21951219512195122	0.14545454545454545	0.1527777777777778	0.16666666666666666	0.14285714285714285	0.13333333333333333	0.15	0.16666666666666666	0.16	0.18309859154929578	0.16393442622950818	0.1095890410958904	0.1956521739130435	0.1774193548387097	0.2	0.14516129032258066	0.14	0.14285714285714285	0.19230769230769232	0.17543859649122806	0.2	0.14893617021276595	
