	P30556	O15303	P35368	P08912	P21918	P18825	P51582	Q5T6X5	P35372	P47898	P32239	P25021	P14416	P32238	Q8TDS4	P21731	Q14831	Q9H244	P0DMS8	P35462	Q15077	P21917	Q15391	Q13258	P47900	Q9NPC1	Q99677	P34969	P37288	P28221	P43657	Q8NFJ5	O95665	P41595	P41231	P08588	Q96G91	P43088	P29274	P13945	P28223	P35346	P51681	P48039	P08100	P08913	Q15722	P30518	P18089	P50406	P28222	P32745	P30939	P28566	Q9UBS5	O00222	Q9NS75	P07550	P35367	P35348	Q14832	P41594	P30874	P29275	Q9Y271	P21728	P30872	Q13255	P34981	P25024	Q14416	P43116	P43119	P08908	P21554	Q13639	P30542	P24530	P11229	P28335	P43115	Q9Y5N1	P41145	P08172	Q14833	P20309	Q9H3N8	O60883	P08173	P34995	P25105	P41143	P25100	P25101
P30556	0.0	130.1474598624627	101.21069842603174	115.97979519271757	119.45479489391437	131.8727000715444	121.56905781221576	146.19784476526547	111.41671667085029	111.52083965594647	105.97142543981317	113.84123991892557	103.18272887700005	122.2698543210281	131.69748694403097	79.90442216099473	114.04548243206227	123.03950277765398	158.5608981679252	118.47517948690802	121.29542221006704	146.2318796859763	117.6170805580332	95.37374748260481	126.45553327980451	151.53758550668135	138.3426837179577	106.3993229023472	127.6154635452549	120.0729089776869	122.00317659357097	156.13005636096932	115.80527871387312	140.5793142678449	113.20534447772661	116.28107449910021	137.02111857174896	118.9416111674509	118.35300983535126	118.04109847708605	117.79552685294766	117.41025510203326	99.84414095245302	114.34498477698071	94.86439143944153	122.7239800952375	108.44017194146	105.2716982793645	120.474076547398	134.27106110716704	121.31637054297607	117.06186904880451	99.09089297598985	113.17633150279289	101.62442716158694	140.0641781867016	136.17496029965696	81.94663230259903	119.44393893389497	116.80815081985202	117.15753481956199	97.37193671587738	110.20274144940777	105.29036013339646	121.53475975809852	94.81197151786182	128.42213692551013	109.49980536301155	103.17177943429851	99.63617695379071	115.237199327501	111.1306132869795	99.05742887576343	115.95488071117143	111.47002081912069	139.97748600650812	112.76696486101719	104.39487738789467	87.6457465227868	116.69618468347471	98.75237128697336	99.12208976739203	104.00704275324824	77.85130510962335	121.88833075169532	108.52326878771419	139.29859999881592	130.0469118297333	125.57105789228808	101.5619737302186	134.63714869820978	101.26529269712046	107.72242086671031	109.73108081507962	
O15303	130.1474598624627	0.0	131.4086153586104	128.93128171382705	136.2875100808451	156.1453766244813	130.78143645339878	161.80339441500837	132.44027129205642	119.76348329987377	127.04773245722754	138.36185218321043	117.87136435182765	139.31520792091032	147.78038476669462	113.87308777554426	91.56829807779286	144.03929973198683	171.6352293313539	132.56272756360704	153.4665042575216	157.052282786899	136.5332220288692	127.8676471383078	145.67282071971567	171.9188237983617	157.62742262001848	132.42017851627315	143.39921961375512	136.36590293073095	142.72304851206718	170.19511703430908	138.4573289171094	153.51002868107753	134.73082557332236	146.59835869984818	153.94884617062053	150.82729833235499	141.97035175276687	143.28026544227032	133.26724344858667	135.77078680426348	128.43458358274074	128.3422591200797	118.91435157668457	145.52267293207115	138.3042058925057	135.0904529102845	144.48784146798425	153.14178434276255	133.44777392660035	139.02208563208114	109.52247410210839	120.10654672747478	112.6469907828141	116.63390532432823	146.53699624919682	126.21234672953142	143.53385552810505	142.88187760632718	109.34498553111916	111.42760247128899	122.7817840387579	134.7578255904955	139.0836533663096	117.77063525578706	137.08938903483795	110.80581656604772	125.94538782582094	133.40761763433693	98.627961824066	135.98265795462066	125.17334932996891	131.44368352617312	125.00854552396049	168.1283609942766	136.28739557648078	129.13945317587059	114.87258108812966	134.24967720994027	127.3412329836865	116.56648287040298	126.13822965542204	102.84180885460228	103.07797106642101	123.44407080148812	151.9030588210444	136.06039370951476	138.59605726780137	137.77930181467673	154.2042954461067	124.3078978555859	136.53608269831602	135.60282715543872	
P35368	101.21069842603174	131.4086153586104	0.0	122.8422684071993	120.7620329791389	102.78084590283106	128.07344782652217	152.77988227535388	113.17040837774402	111.31130228031543	104.62658618259593	120.71422611322487	104.40732215231401	119.58533732130309	140.20572009062744	89.97175516243442	117.39313661752385	133.37067463813582	171.53257054981077	114.70638287937618	133.39674621986342	150.34992374270223	118.35007866381784	113.52533833010239	130.77154489883105	148.8866893259401	146.91845444063074	106.76890778949019	132.76128498019534	111.8473630893568	123.38115980682778	151.2584214422095	114.79809683925123	133.6959199346311	116.1075448844058	102.53081881202525	148.98960774482111	129.6620153200638	120.59642712897039	101.95736015573493	114.00888745466364	118.28449422834092	115.09095241027535	117.9923871443898	109.39066058636672	92.50867348417523	113.50585104209313	123.59102876335965	94.69533124112058	130.10577013136935	116.03324657856137	127.64103775648982	94.52725351978734	107.87241619595443	109.49326429780922	138.7428282717883	136.51397568848915	87.6886272392876	116.57602253262303	79.96934911285643	115.96834448250593	101.31125699874246	109.23231574424426	113.82977256775484	128.79593499892508	98.87085928095621	123.06278160781949	113.09588712445111	104.38857052962703	116.08429882352357	107.36633940049796	120.59577925028862	109.03609192554723	115.56738170546305	117.21962215400708	134.06793860139442	109.57749565763515	116.25595981844526	98.54604664526414	108.89652563721756	102.31739858168294	104.48830112989526	109.76015802816255	91.18993804723141	121.70718167930318	115.16450014236034	146.70984248808236	140.16854988693376	132.23238129206584	113.90773039983469	139.2894205408229	106.061939508043	77.77223799490457	120.5891806067375	
P08912	115.97979519271757	128.93128171382705	122.8422684071993	0.0	138.7969720728579	154.30866778071504	132.43135623598937	156.67629775300156	127.69325256708544	130.17354681907455	113.73764629033394	124.67696979097673	129.57780962385004	126.92232963163406	150.67111807246692	108.87625058944104	119.10968605434755	143.96132978159585	178.1590542323829	133.99080615804996	132.3692345903837	161.94505669907085	132.9587033498683	120.85616543568904	140.99573496752419	162.4304111803649	145.73509392898995	128.1878897312854	130.96315891720587	131.09072364977328	130.25848213897552	166.69115887978114	127.27298070088727	147.55220075754914	127.83478840714088	145.82524038510746	155.81481419270858	132.46829856111435	135.91530057473574	142.53703539946582	134.8953399823513	136.4489216217189	134.80565959436353	128.74436109088128	125.67679683499591	146.52153033670038	122.73976539708383	131.33242061181227	152.82087791562662	135.0568534246413	135.93132497975603	145.14197609602707	109.30281521142751	123.21352733374806	118.23917592962971	144.10993685631547	141.43098944498342	118.6465869814856	118.3252210370265	137.55886655999348	128.85595527640544	116.53130412081373	127.02183741662884	124.88902685663197	134.9832869131933	119.32863198441919	145.2966499433387	123.7686928671319	118.28480301566015	128.22734522994142	119.30826369085116	126.01098349620588	125.00556131795747	137.1278355410177	139.91984736647282	147.00001167232404	137.41910254879622	125.97022995819862	98.17638736587833	128.25201394443866	122.70905755239073	116.04436340762186	123.18379545249627	94.39417178794974	130.94550336709653	86.19607538549462	153.6086762638297	141.57532595598605	119.88952766638249	120.2928751296131	148.27634686557576	123.28820933413226	129.08520385191514	137.03102570341434	
P21918	119.45479489391437	136.2875100808451	120.7620329791389	138.7969720728579	0.0	143.9501673618215	145.5711350950296	162.94919685524656	117.03179988783086	113.20036143634934	117.8761418988579	131.0939999645634	91.12457130791154	138.9572910424904	148.65710295626195	112.28650395444129	125.2318697773153	137.99647524495958	176.4120851312473	84.97459630650701	151.96204427431803	155.8576041123306	134.4048261786811	126.19521951675415	144.69823957892368	160.12053029594244	167.15977003477747	97.69366269654711	145.27768141194247	124.22427891136613	147.22364269319223	168.3521440360346	123.99687366257422	151.44794019212713	139.91874221770559	127.45513321805629	154.71361682243878	146.06916298426222	131.23634622368263	131.68554389796918	110.38446368131554	128.27037163206842	124.33671334461542	137.55602988111787	115.93422625425592	134.80722009920282	133.74155826949573	127.2809669689741	134.76473306925618	136.19441279099556	113.5532257152372	131.0056120712543	114.08294948471303	119.5289046765538	114.27941191080026	126.2541530340095	153.26165812279214	113.67106835026061	137.682325702277	136.39114610134857	115.63836152403383	109.75423875285196	121.68034136679489	118.07250177749665	144.9273500526324	64.00502610759577	134.61555441532983	115.88780186726945	124.42666895232105	131.96763247280614	114.18817738594953	131.84668418957153	114.07518299878575	118.20500149628788	115.83514515399293	150.58349351375364	127.04276660445612	122.62027099756233	107.7923328850593	118.06095645466121	115.85509876249125	110.97662159302854	115.5680519977177	103.44706841779407	131.2557371143048	123.57143056893256	150.30453732871683	136.3410967819509	133.88001828937558	129.16770731046563	155.2741131990333	118.45910802675644	127.33522958511458	128.4311949388939	
P18825	131.8727000715444	156.1453766244813	102.78084590283106	154.30866778071504	143.9501673618215	0.0	147.69010296755005	177.62589825748	129.4149981548544	132.15340523148188	135.47441808262374	146.8732925398217	124.73331879760372	153.89744417951442	155.47980112757068	120.73877713264665	135.12824646470835	147.09766438041697	183.8777470238565	130.0191202973947	156.72916293382877	166.67118955697515	143.32118956622435	136.76628327585058	152.27145697304513	171.4858800296206	170.3435727986507	130.4208539427782	150.72913290496217	124.84376071608858	150.04201798234135	168.39389353769366	134.9525311794714	157.30510139849503	138.79905305366265	114.00944927459932	169.57908951840363	154.46950754179852	138.3405591638293	116.06818027317058	139.83963439101353	138.48853175266413	143.1167140515754	140.00114675593795	138.20449667362118	76.08940423559397	147.83868580493436	146.32428638875717	74.7593932536256	157.08287171449047	125.00015360768884	148.53431743761757	119.4656872406631	130.948800792743	132.49543497915147	147.917158383294	164.2597991602088	111.76412820140831	146.93033752945485	110.15280541800894	133.33301456971094	128.28889060529764	134.38553970382782	135.29584454069845	154.4638207766111	124.6425698514795	144.82256849575788	137.97566852008458	137.54424130493135	141.02012547664344	130.8814172593993	145.63479991373606	134.32758559117792	127.83054518942663	128.59178625127242	154.23103296285262	133.96822481619893	140.70524977312016	128.7112231150677	134.19637537316885	125.84213798423298	124.68843671117793	128.3421823325043	118.29268452507677	140.91410295256355	143.34828277147608	162.3241900705034	156.25742577400524	151.17238677304704	139.09441369154956	153.54829056258313	126.24570613971446	117.03923652739468	141.87650308304	
P51582	121.56905781221576	130.78143645339878	128.07344782652217	132.43135623598937	145.5711350950296	147.69010296755005	0.0	164.0392485742923	127.55357641505543	123.27666593092727	122.51136055076495	121.328050549404	133.81391239789082	127.52827004226856	141.2650950262323	108.5729310688912	121.74257974670036	119.02833502282738	164.3978745264758	139.15601311658975	108.61039067833917	164.13376423812588	105.07820860139327	119.69978719583014	133.29467430710793	162.79675755940843	138.43338393664453	135.1572498229507	146.87550983630354	138.49812877870863	129.95083327416796	157.8235811837949	132.84697339398554	149.27701642317697	84.42809007567121	141.4365697373578	148.1010369482683	144.43354012438795	133.06789640465286	132.50497175753117	148.11573807301465	139.35106164769968	122.60811769030988	125.4647936244146	122.00782973695459	139.54556635732297	123.19413392811839	127.36649189406307	141.74957953518606	149.29365937737748	137.67655446648132	141.32514841941884	107.87040493015957	120.9950982677401	119.05098848644411	145.75453772302717	149.16622783688945	118.59533549041953	134.38868931448087	141.7958981959382	130.0827845527092	125.24439765201532	126.6445177931455	118.78911880392116	128.81834023451665	123.26045089308172	147.78124355489854	126.94152238848619	113.34524368985149	111.86181072646286	120.75384781992761	123.74632678751368	118.54605277284281	143.4747748637892	138.10253010319138	164.20121085451683	128.08819893799955	129.4689654508693	117.22046204042272	138.73540654033422	116.85896490269806	119.19038981982158	127.50427851264249	101.01701046788367	132.0212849567033	127.98096445476403	146.91678027249873	136.01521819038317	145.19027992500924	119.03364720731042	141.4642195169581	116.6317077332642	137.5100540857602	135.47101003606804	
Q5T6X5	146.19784476526547	161.80339441500837	152.77988227535388	156.67629775300156	162.94919685524656	177.62589825748	164.0392485742923	0.0	154.28434726421256	154.27717501524603	157.3021508557722	155.1630314765789	154.82126896380214	156.6504644571105	170.6318810104858	135.65531802881742	150.82933690497885	162.39956192360842	204.8185779901396	157.5399173287442	148.6725084237405	188.42064035820658	156.37050727236783	147.65324403933482	159.33798723784275	176.28555145522114	176.65250378183555	149.8655045167252	169.07525272044586	158.2243305683951	156.70031576335896	178.21531247044913	156.55806688877055	176.00034183938988	152.37797005736502	166.47227955426206	175.32211867545266	163.4108660198399	158.75668743054848	160.0304218197707	169.46878106694203	159.1603742094594	158.39242193172686	157.584120803338	152.72565862602642	165.94114143762272	157.43534399911005	155.92761880619219	168.4186211648339	172.84577583731152	164.63712982425932	159.1115752128535	144.5174563696346	155.84150919649983	144.0035496793571	167.43801701930352	164.97608248519828	151.78312688262668	154.655779651599	166.6411926742876	162.01198250020389	143.66987980194972	153.83900833764346	155.6068688161904	155.5215300724958	149.24796765693463	159.34754426695872	147.8314313031733	144.16828270016413	154.2877080818871	153.93430381646613	152.09415793477092	145.03504945378518	165.80009137930756	162.19275157876837	170.8661853146623	158.44624106091214	156.3054016597016	145.14564124130993	153.0198482547421	150.41849586192984	145.10542863080627	152.97351017573965	139.59045351593522	156.33496285510773	148.59228057117434	183.0625079984311	175.2648241815623	164.82811952615157	155.34372975467704	182.47027532814536	151.8391365702264	158.1195728297971	160.6684720586054	
P35372	111.41671667085029	132.44027129205642	113.17040837774402	127.69325256708544	117.03179988783086	129.4149981548544	127.55357641505543	154.28434726421256	0.0	105.14133108552778	114.01186365925241	118.716027650662	98.08220261480892	132.14321138022933	135.05442309298087	100.08952403865987	112.20402375195408	128.04421271334286	174.35300394086516	108.0953866133932	131.89306846557884	150.2330030319572	123.25902052532183	112.04976843419718	130.52431067579892	151.8199079716578	159.24112495756708	107.65393510213471	143.14512500242563	112.85203298350098	136.23938682302833	153.35217350290623	114.74537100241287	132.49960206646938	121.53598334518028	119.18527700964478	144.10211934917606	136.12328868469922	119.59891759697348	124.01500324800145	114.22261932818219	126.83127469808096	110.9161196622299	121.16706104617333	102.66248809957324	124.42840338987298	121.5552282754361	120.8237326623057	126.88390838747728	140.3826494597597	113.08536894945428	124.74040515575325	96.25016226778098	114.19187233585399	103.97481646534288	130.05778963177	149.61943761832663	98.63980129454285	129.7370617062552	124.69936931924894	112.64426737534814	104.53332258880255	115.50159310834715	110.45866381726228	134.84996319079073	105.14021512225736	124.71001372183673	113.67719202640001	113.72501320623269	115.09244015929289	108.53039153799182	120.30795616656542	109.85592772456584	116.16790282646252	104.27655972009234	149.26815793052083	120.00301868555835	119.91515294463898	99.39871140828473	109.44506668683607	111.16526545584202	104.56308073687251	83.02198337149457	87.49579657480353	124.80796816888324	118.43503086728742	147.93969750509132	135.8020834728377	122.4339384335326	121.71797208639327	141.22765609179623	77.90150698332582	114.71475364104117	126.63601858669426	
P47898	111.52083965594647	119.76348329987377	111.31130228031543	130.17354681907455	113.20036143634934	132.15340523148188	123.27666593092727	154.27717501524603	105.14133108552778	0.0	103.89709817367839	120.01972672712873	98.11133645381778	125.41099503595615	133.88936193386326	95.76964411570225	97.325611911132	123.78531775981537	170.37317502990481	113.06345959712053	136.0044513285393	147.7337160706229	121.29895189683884	112.50579466344789	133.1413265936426	157.81282628612826	153.11731707147555	108.01856531391968	138.3369498939719	117.52109568181913	127.60740222531604	150.70118158234982	87.13056680071168	137.3446437450475	124.90216223534662	126.35600231200806	141.68203335191356	130.64916645165067	120.33577107655583	127.90440379391657	117.7213403499336	120.61906130309217	110.17841282155132	120.2976529217558	101.98663668122754	120.44482661568327	118.94193656767311	119.79771582456306	129.3301262546156	132.0751141810906	112.54054994165199	116.29169714380987	86.23804418263899	93.87635824916651	97.69567726529203	121.26227162085706	141.62173835883732	105.57543042843463	128.13804310077103	125.33578452450456	94.90951417264296	86.55026209788048	106.35356735251844	110.22163860866567	132.25615671405103	93.17275888618315	121.49100428662496	92.64335275936173	106.20372001400392	115.95372118527303	102.51932424062397	118.40073944401229	103.14866312593222	95.61705381462525	105.16924832791847	148.77657884010114	105.4271286240546	120.03256961649458	87.06019594936515	105.14175747259287	106.36516585078789	75.28316203909344	114.06933912468958	84.53664795099758	100.51728751389601	115.87132217059843	140.64468994102208	118.27271637163358	118.46679643675452	123.76819383708062	140.6464470429928	109.29717671551043	116.91366217441828	122.33282919233898	
