	P32238	P20309	P18825	P21554	Q9H244	P30872	Q9Y5N1	Q8NFJ5	P25105	P11229	P28335	P21728	P35462	P30939	P08912	Q13258	P29275	P47900	P0DMS8	P48039	P28223	P51681	P43088	P30542	O15303	P34981	P13945	O60883	Q99677	P51582	P21918	P43657	P34969	P43119	Q9UBS5	P32239	Q96G91	P43116	P30874	Q14416	P25024	Q8TDS4	P35367	P21731	P14416	P28221	P28222	P25100	Q9Y271	P30518	P29274	O95665	Q15391	P07550	O00222	P30556	Q14832	P34995	Q15722	Q5T6X5	P24530	Q9H3N8	P08173	P41143	P21917	Q14831	P28566	P41145	P25021	P43115	P08908	P41594	P47898	Q14833	P32745	P35368	P08588	P50406	P25101	P18089	P41231	P37288	P35346	P08100	P35348	P35372	Q9NPC1	Q13255	Q9NS75	P08913	Q13639	P41595	Q15077	P08172
P32238	1.0	0.3574801113803435	0.22233580793427934	0.2870285476646496	0.27777314010571197	0.30195392806392934	0.31459233289583644	0.2849741154569756	0.2404480540004302	0.3974256987543718	0.33041572229229776	0.3350558522103865	0.3135095547350529	0.40220248595682007	0.396339680081501	0.24466934707300106	0.3143033465968858	0.3295775275328324	0.21369416819074716	0.3764179607668748	0.3538341270729505	0.23673439042641958	0.32312314838863376	0.29256779570946784	0.25527142511868617	0.3517259120766344	0.2706574404326092	0.2891912951144348	0.34625179332064576	0.35495655199944603	0.2967633286812812	0.33564066680800764	0.3273816569804655	0.3124960150138306	0.3307821664169408	0.6623535075602605	0.14382148475966405	0.28649756604821636	0.34737802506751164	0.2971945187205174	0.24640050085742643	0.27639385695260354	0.32950846087812474	0.3885276184847735	0.28129771883874866	0.38646844759191473	0.3050355802406034	0.3081079383398123	0.3052741752352398	0.27210973627253016	0.27773985127082224	0.3784845229768861	0.33451874737004367	0.32220185508767196	0.2388293574356719	0.27256080469747823	0.2458541104310213	0.38924341239217447	0.3598493531124929	0.3449358808995089	0.3207600033707483	0.21712481280388743	0.30714494050415364	0.3620209186627695	0.2748334466887533	0.27743779569126226	0.3647889659717079	0.34990359554931766	0.33350428848497093	0.32010412975057045	0.32007019817262006	0.34342569454281063	0.2959768813366096	0.27796080462402556	0.2737539067173849	0.3927615197980897	0.25865623418460437	0.2839877132602123	0.33673185165855557	0.22718962559264144	0.4108334981754694	0.35551145681298707	0.28373874933957866	0.319164461905866	0.31425763458481604	0.26102628549020124	0.32015081654536603	0.34822574143987617	0.26396974174357085	0.2608300961667739	0.3038851362659532	0.382081756074396	0.3977538165423426	0.3493421429775375	
P20309	0.3574801113803435	1.0	0.29717125840467395	0.3380095169993721	0.23899551820578752	0.29689921716484624	0.39130345602593464	0.2739859108222681	0.2833459514612729	0.6000954493535615	0.37642686088228844	0.43763421782323886	0.371317869148152	0.42697578643025663	0.7226181020076179	0.36268534091403415	0.35437235752276364	0.29129142842496475	0.2876642945219722	0.36048614836873977	0.3881001091530335	0.2147365927572396	0.3928237664261709	0.27657881434320414	0.3869690684970575	0.42764987680082905	0.3270695273667654	0.30826425427935294	0.3476680146039752	0.2839879259049929	0.3876848290281196	0.3596761320026045	0.3347791424934665	0.3571918515728451	0.41544773232353716	0.42273646426380435	0.2653535629221497	0.3091216250373215	0.34902623848567504	0.42626982731704666	0.2264336429823089	0.20105307396961372	0.5284179475142645	0.4720173351466811	0.3928864014000114	0.37983955256718027	0.36067498230736106	0.38173104920490586	0.3804140613367024	0.36914605534218714	0.30366468818115105	0.39608941162989986	0.3563408059636318	0.40443356605813857	0.3565787944673997	0.34794246720189215	0.38114138941425874	0.39044273265910917	0.3602601567631983	0.38007881517265185	0.34375654407255296	0.29956634991414927	0.5162471765544757	0.39133163778723934	0.33290394123773676	0.4175794883171057	0.44206249281813714	0.4072880198218901	0.40169904373105914	0.30763206837759827	0.3028596699902102	0.4352301305173751	0.33775380711904385	0.4086699557404909	0.2688651492473553	0.39598269347166926	0.3279671636473383	0.3985297145892226	0.2809128391628734	0.2987561056922662	0.369147656278872	0.36782350942076125	0.3622871360815225	0.3630824507868802	0.3600074565173645	0.34110621677478115	0.3007517165336574	0.45720038706235544	0.35694501340775225	0.3126012220123235	0.41488864760232247	0.3764927275577624	0.36031888630708375	0.6429421769089823	
P18825	0.22233580793427934	0.29717125840467395	1.0	0.4283531324770904	0.29321388651350555	0.3641628578487814	0.4219650337943005	0.2647066293294892	0.2599914604082384	0.3705418412765607	0.3830850693429666	0.4443537546228524	0.4726992982289141	0.4538324765631349	0.29641279502903317	0.28810961716201267	0.3567636790626873	0.29063506207760015	0.259744457594981	0.3233299661647023	0.34935144060162804	0.20700352213266388	0.3097826687783578	0.34246121121783313	0.2508161727386101	0.31059241218026123	0.577430360247724	0.24645141369963433	0.21143101800713504	0.28611740324720125	0.33701912823575436	0.2899714844151569	0.39072756584189994	0.25322514401899276	0.3848658868056265	0.3266095285806951	0.22457435072897317	0.28808883766597476	0.3736073493651748	0.41480099094650424	0.2448892443140898	0.30610781956309374	0.32716959281985436	0.41724853833925446	0.4546158507629926	0.5231678377562313	0.4508066255857122	0.5629561628103881	0.25005818190219087	0.28218648218813536	0.41438731598533163	0.3564926510315243	0.31108329854763506	0.5276225296186352	0.2786985964523716	0.3492137193965264	0.35397614553060863	0.3429898404310955	0.26675687586614916	0.22627714247544406	0.31590179684667874	0.3028819648708351	0.32599875978957865	0.4420465971441239	0.31286030947092625	0.35512084652279335	0.43414264115830514	0.44848862352332497	0.29522281624192415	0.40601750698855604	0.43491436033227315	0.37287909521256796	0.35912330949545285	0.3688779864652074	0.31111732481815835	0.6393226421275017	0.5306700265559667	0.3330740233957208	0.31947399827485473	0.7755943178384015	0.3142787178506295	0.2841560006556677	0.3942758121234864	0.2635244302969081	0.589141577688158	0.42689213486843414	0.2600078997936336	0.3297422099107927	0.2639736708656172	0.7637896027505818	0.39233477087618085	0.34773846348709214	0.2663046678431765	0.45765081682055697	
P21554	0.2870285476646496	0.3380095169993721	0.4283531324770904	1.0	0.37340132265196163	0.2972650537463325	0.5143485587997637	0.24676388036598332	0.35482192390479866	0.453799117855345	0.41426210385356754	0.5064504541472417	0.41534960188828496	0.41351059241208066	0.3044247071709834	0.36969034726816996	0.4250168110103887	0.28972666383389484	0.2698337748503686	0.35547262671169266	0.36845375982646783	0.34409472851914424	0.2589546513481845	0.39089904241201334	0.37667751226905	0.37172040659610645	0.3433969568085877	0.315058800490412	0.16828763278983802	0.25565560327451897	0.437873384588474	0.28197688393566994	0.454265489615812	0.3531577059959539	0.5037200078355435	0.4168360520021923	0.2535874058624226	0.334130125418432	0.40714859114103075	0.4523974171442766	0.252721861280585	0.27708539343108585	0.3853853259687599	0.3951690597666452	0.4198624947907176	0.4638688139663792	0.44803697422025535	0.3192615658417658	0.2721545870252255	0.3582771401517566	0.4314208419340244	0.35496030317894406	0.2507408185645716	0.430378972697514	0.3605124619355299	0.3675340674715456	0.4327529163998241	0.342511498811801	0.29105915731986226	0.2605530538582697	0.2818507943903697	0.2980525274870019	0.3522463787578163	0.49902737465535113	0.28642472127569957	0.4054060605287609	0.47504193160824476	0.46356425903548826	0.31639368847872634	0.36168488885982475	0.44439836643471936	0.5112590254572705	0.38564170213998605	0.39139951506157306	0.349232775516763	0.36916643596362364	0.38456998121266545	0.3367240841115928	0.22483827896781	0.37807587267627385	0.2698859837660611	0.2872687223074103	0.3654515608509551	0.3798136048831719	0.31738443261232585	0.43507826612707035	0.2819811047901365	0.49436847664483774	0.21704060758737784	0.35780925643713074	0.30105043881921306	0.3393711285159812	0.2693454671393382	0.46698059445761597	
Q9H244	0.27777314010571197	0.23899551820578752	0.29321388651350555	0.37340132265196163	1.0	0.2614661227443173	0.36826460465318916	0.27308665928025244	0.3116792095037711	0.3381950143102187	0.2939512197959834	0.323853874744476	0.3049787235886177	0.33447657593631147	0.29316996694928454	0.3577124084965456	0.4089723548643811	0.43835106509059985	0.34677211977041916	0.3068384591806226	0.29398142764025476	0.4182661346948788	0.2656898491376767	0.3725733300041113	0.2479543056012459	0.2603329701942849	0.3057288206353095	0.29139566426196817	0.3057510831066427	0.4933185535045329	0.3415026298070952	0.24253480100501254	0.27361917278979025	0.31669181561642556	0.3263924748634182	0.2798407033922719	0.29804423913289174	0.3071908400456832	0.28021646997450034	0.27183660105764385	0.4485277315693787	0.3275246695710643	0.3046391234643051	0.3954659390444168	0.31316136570369946	0.3217763130963074	0.2651509895043939	0.25761379864450257	0.3357043216615505	0.3440468622155177	0.4005019145539912	0.3171938346675679	0.48743651428695334	0.38975679996149115	0.22799193488250596	0.3527253257213502	0.29852153218591115	0.347888819631141	0.3548591755281584	0.30235916176580135	0.28500985715404115	0.3277291558533738	0.31864744121731003	0.3801093908653725	0.28807066639076345	0.24910996879390654	0.28684243327011794	0.3207830310524784	0.35502569479200424	0.3575030390920771	0.35377064941700387	0.3239916394957875	0.3346046738867611	0.3209808975528629	0.2746006394233737	0.30850335889451747	0.3422096614593353	0.2910841486674389	0.2592072699550457	0.34264496597389893	0.45241817854940014	0.2642325121350486	0.29509142775209457	0.30264782363531295	0.28022396239420944	0.37765063972566504	0.26594563557551526	0.29638522924396404	0.2643892220584926	0.33795098154228426	0.27194914115393753	0.22870165747277085	0.47931766088752087	0.3943594460565405	
P30872	0.30195392806392934	0.29689921716484624	0.3641628578487814	0.2972650537463325	0.2614661227443173	1.0	0.45984671410810296	0.25667551191962534	0.21068444728808033	0.35336439723712676	0.3684572997217136	0.4499547316523925	0.4117014881111912	0.4743903137361758	0.3116396515503143	0.358714767903041	0.35647196660369573	0.32018145479716886	0.24619736968544045	0.34868575916855343	0.3850549899815983	0.286070347010156	0.3130604881437764	0.41867703424551916	0.33395595940085054	0.35615151192511263	0.3108779647823209	0.3277533628156062	0.3066693621271357	0.24003508850055688	0.3611125989896059	0.2688742540589272	0.3612099642048351	0.32001822831343013	0.435012720881631	0.3574638798214602	0.2812088012025119	0.32644727628365144	0.7315212242412862	0.42314208511995244	0.2811607944747451	0.32874320803199786	0.3492314431156253	0.3418310262221426	0.4032262470534664	0.4376675268039133	0.39988637045106534	0.36324976025561195	0.2895082851930889	0.2854089696298012	0.37896533189375825	0.2618817548118938	0.2525281984440719	0.31409416018318476	0.2734456487723854	0.3072944546551779	0.3675201370206059	0.3871972381679156	0.33599093876644676	0.3159640737475492	0.29189514056858645	0.32533434410555817	0.30220904649831903	0.39262277015031055	0.3220506099076542	0.37781447330477247	0.42613958612927044	0.4190172233554976	0.333569649082598	0.36637100655956656	0.350549825800856	0.34904747036040373	0.33401693261792537	0.3592393258711432	0.7202986482392307	0.4110175998080776	0.2735195145201855	0.4273617790838471	0.33518832270024546	0.3842870761142822	0.24494670150851391	0.34464610152593983	0.7310902200775133	0.3858296425117529	0.38162286849100835	0.31406908098937114	0.3095214708449121	0.35608319884369743	0.3193118250688153	0.3745194660465456	0.30997831227239997	0.30216767775962605	0.18983869468215808	0.4144914883789765	
Q9Y5N1	0.31459233289583644	0.39130345602593464	0.4219650337943005	0.5143485587997637	0.36826460465318916	0.45984671410810296	0.9999999999999998	0.29194183272234536	0.2487210124081371	0.6360599508422853	0.4672682675241481	0.5659567496168375	0.45058499545362835	0.5332080471593735	0.3858618393507129	0.3972948254816524	0.4095912964099325	0.32208216988747307	0.26342919215131144	0.3739138583371562	0.46169056074547277	0.30050721094715466	0.30998670249076277	0.5372509745468756	0.39775181921030245	0.3995461630621473	0.3609936558292348	0.40463182577933454	0.24001650255428889	0.28982174412169326	0.44590825869528994	0.3056053251451233	0.3989346307046322	0.34231298659287057	0.5794520394492968	0.4826747684309179	0.3045656847109458	0.35940806683372145	0.49482201409993876	0.5488589306404795	0.3481439108771701	0.33713736364737446	0.4411504497265749	0.4448486357009795	0.4868441025904098	0.5428574182381514	0.5168536080032062	0.33358998040891963	0.2610763732565161	0.3245778323573483	0.42030535895609766	0.5840965201262085	0.3638185835377769	0.39419808088916325	0.3633917504776002	0.33503949942584765	0.5330707099286749	0.35787182861768185	0.3319934687755196	0.34279459919485594	0.3247048268222068	0.4240440698822373	0.40600300354011065	0.4766094759382552	0.4199112415245966	0.5036901876394555	0.6671504595302882	0.45918149124380625	0.40158024039013845	0.41257874859323473	0.5784663060721276	0.6019086432269365	0.6326238799755299	0.5570132977071136	0.43690377302356426	0.4130171144453961	0.3650842603913318	0.4125012692678015	0.26772518896089403	0.42614748595653507	0.29436449681658566	0.33258229863792743	0.4644127568519759	0.3777281293244322	0.33666025719157633	0.4107473377378855	0.32886544423268615	0.5517299475760608	0.3084321125966445	0.43170471321600246	0.34879241637562197	0.3894555028330476	0.29203876948116125	0.5737837444263999	
Q8NFJ5	0.2849741154569756	0.2739859108222681	0.2647066293294892	0.24676388036598332	0.27308665928025244	0.25667551191962534	0.29194183272234536	1.0	0.27422174199234944	0.2739173432568559	0.2294390684277303	0.22855752082615693	0.16100582587373943	0.36685039069861625	0.2395302500525175	0.2855147354853398	0.28980095215147045	0.2727473005916767	0.24466515690891283	0.26288328843341147	0.15779984866334323	0.22801503432592335	0.3082658726853508	0.25337390058948805	0.1912414852192321	0.2638227269671446	0.21988915213179752	0.23508671774172313	0.25677774979597884	0.2780673619566285	0.1761041464491747	0.31679509577217846	0.2848328430158011	0.30454939785282664	0.28105493353328415	0.3129643165990745	0.19424379804076247	0.2707279858648419	0.21394414131059825	0.23483581713985568	0.24710429227071312	0.25718547693412336	0.2817650159583277	0.3064695886219476	0.2769561992695586	0.29189501692805275	0.19974838428699118	0.20451759153848795	0.24888192644454846	0.2193299621868341	0.2759763055577503	0.2805397714723321	0.31879574994046644	0.20734258612810308	0.20201028516186637	0.19965953524292915	0.1928643438282984	0.3232687705829714	0.2706848751129697	0.2671510339441456	0.2595590797546692	0.27834582317379475	0.18783164762747262	0.19224177629245595	0.234785017424108	0.1919399199495561	0.23875473355515367	0.20598776396139593	0.17321211548860904	0.2771946141305003	0.1424531621703336	0.21250946524298156	0.1927643902108605	0.17444490491202125	0.21540097972469563	0.2608478630217592	0.20213115055531758	0.20853990863395988	0.26510306061368677	0.26981767663117473	0.27461172037565174	0.16767125365303656	0.18780655206695895	0.24041435895495747	0.19703143481040458	0.1974810892327662	0.28554340971906206	0.24089348679368627	0.2535641095257901	0.23339506583016306	0.17401856843277733	0.2258291068751621	0.2962332028370495	0.31044181422417194	
P25105	0.2404480540004302	0.2833459514612729	0.2599914604082384	0.35482192390479866	0.3116792095037711	0.21068444728808033	0.2487210124081371	0.27422174199234944	1.0	0.2853528907292689	0.24773130950817332	0.22865389735721026	0.14853123912214633	0.2978331465571437	0.30136149289740494	0.3308746860558593	0.2939044194608907	0.36216554354725483	0.2542972118984189	0.2513671149405595	0.2677352821595905	0.4011767357625851	0.30122140219924104	0.17116601019554137	0.2536006998827831	0.26814358226091534	0.1792415352860866	0.2416903384867693	0.33996568484316203	0.3421589204934924	0.20436069859839695	0.2870620968784876	0.32222198251580103	0.3374534199648114	0.32086364632595776	0.27349706713449784	0.2219632804971793	0.24889176655135697	0.2322350905697682	0.29102331678577714	0.3979520373078891	0.24569475418868503	0.3362209940728417	0.40170042998000166	0.13166360420446294	0.21242948193452812	0.2593712907129209	0.16242697574484022	0.3950408312613105	0.23329109359935354	0.23529325894319433	0.22192771165017794	0.3648799220755105	0.25222216320115	0.19883500825191752	0.28427823718678713	0.2663946508035876	0.3229528086681113	0.36922234074826227	0.18693627877281221	0.2876493966096826	0.22994843585580246	0.2158963106229707	0.2800807598290892	0.24775479322601246	0.25746624829832626	0.21456795454227595	0.28311488706840526	0.2929365847431339	0.27087177927766937	0.16138396922998952	0.19013369527535712	0.1405809173923167	0.21076472314051542	0.17930359321115455	0.26549161068101546	0.2352194622097314	0.21942696251563554	0.2587205064029004	0.27727356338950077	0.38239563750771377	0.29850345846932996	0.21033072946385944	0.30105910043665973	0.2587593977712034	0.2100595629108996	0.3239943776339883	0.2709770327608457	0.3484644167657278	0.22464594330187404	0.2199381421392086	0.22705026477688806	0.42502702327937064	0.3198167676863005	
P11229	0.3974256987543718	0.6000954493535615	0.3705418412765607	0.453799117855345	0.3381950143102187	0.35336439723712676	0.6360599508422853	0.2739173432568559	0.2853528907292689	1.0	0.45626063045144494	0.6014362340375428	0.4613091171980295	0.46292668988472846	0.6014821484974116	0.3881628598623215	0.3826736122283564	0.33420670273683484	0.2856116107649193	0.3038893622020249	0.5220328963664388	0.303320196767244	0.33992661727488876	0.45753511951176684	0.3899675856844913	0.40916434575740557	0.33794092744304177	0.3492987331561333	0.26334392873705914	0.27952659264565755	0.4861539555249235	0.30806403834802865	0.40852066374614626	0.40454784624917245	0.5054689248407015	0.5109587148129308	0.27578974771085096	0.3683113000505199	0.40617913821059115	0.5129676326416942	0.2645727292091601	0.26792107952629335	0.5002863666934254	0.4685478072239643	0.45443603160080226	0.4528608608128804	0.4227059179855641	0.42372207388439814	0.2895036479572836	0.3724432987359675	0.363634965277265	0.5575552273807456	0.35797897389791977	0.45428321362164037	0.33982910154965507	0.44308473901351564	0.5072517910981755	0.35977980439682156	0.3566346779795408	0.36299224100392863	0.35304443714866207	0.3364766071814606	0.5276784256393536	0.43587968151705686	0.4154953843613247	0.4716904786823284	0.5339325992785757	0.45853937053349286	0.43315028998510147	0.407002911364765	0.5119923359992379	0.6764223943811463	0.5173020510411177	0.5177956061457596	0.3860985995808801	0.4692626094476679	0.3518957958929013	0.4130426743462896	0.2734019739831785	0.3853378593155553	0.32790552537204487	0.3585030039211673	0.4199290009470994	0.4323330851670564	0.40227171471056367	0.41970302067347875	0.27707401268178555	0.585417157180695	0.3330362220289377	0.39226164113167344	0.4116393868796123	0.3834252478428303	0.3227266022911635	0.6275218777587797	
