	P43657	P34981	P08912	Q13639	P35346	P37288	Q9Y271	P47898	P08588	P24530	P29275	P30939	P48039	P35367	P51681	P0DMS8	Q13255	P18089	P25105	P18825	P43088	Q15077	P07550	P08173	P41595	P25024	P25021	P28221	P32239	Q9NPC1	Q8NFJ5	P41145	O15303	Q5T6X5	P47900	P20309	P30518	P21918	P43116	P08913	P43115	P50406	P25100	Q9H3N8	O00222	P41594	P35368	P32745	P21731	Q15722	P41231	O60883	P30874	Q14833	Q99677	P08908	Q9H244	P30872	P25101	P28223	P21554	P30542	P29274	P28566	Q96G91	P34969	P34995	Q14831	Q9NS75	P35372	P28222	P11229	P08100	O95665	Q9UBS5	Q14832	P21728	Q14416	Q15391	P28335	P21917	P13945	P14416	P41143	P43119	Q9Y5N1	Q8TDS4	P32238	P08172	P35462	P51582	Q13258	P35348	P30556
P43657	0.9999999999999997	0.7707951168112286	0.8063590992945586	0.7716231962326295	0.7293767707767729	0.7394201291119402	0.8287207441079397	0.7520788245457416	0.7578716539301329	0.7052114120994201	0.7781535427473739	0.749477760330543	0.7706548816592134	0.7711118490335881	0.7712727609230408	0.7460949805713267	0.8459109632911291	0.7590685621841499	0.8211915318916168	0.6981929780183034	0.764502975611194	0.6895271625013882	0.8024747249922031	0.7383215264212808	0.772742884065607	0.7554883738853744	0.8005792069619703	0.7659065025978733	0.7276278347729809	0.6288448571284236	0.6601217950275411	0.7580309225132723	0.8130074979039514	0.7656287085379012	0.7875178097042687	0.7911636019395298	0.6952181486289031	0.8081425150266925	0.7334821133945176	0.7236770371998579	0.793908634929401	0.7749905387666649	0.7419070042501781	0.8004471220148669	0.8153193509517002	0.8130121741363449	0.8116066728478432	0.8184342253350696	0.6802316555134167	0.7380404660011287	0.6895505747861357	0.7715410102470627	0.7978089467729511	0.8115081102785004	0.8615050923542543	0.7300569985057376	0.832746555894418	0.801692450968827	0.7871347331479748	0.777523417848644	0.7981104410542333	0.7870224323374687	0.7674676245980814	0.7530989159106405	0.6860464883922301	0.8125040941069206	0.6364288595144467	0.8024942600254815	0.7658619193235225	0.7838985724881244	0.7880654134710622	0.7699958199749142	0.7547713476659156	0.6795657525007522	0.8200751103515314	0.795494096753362	0.837370786476631	0.8265815189053122	0.81331925407576	0.8014716067588329	0.6668792178171867	0.658537158651805	0.8122965293568057	0.827739588543978	0.713115646929236	0.7674742044561222	0.8330275941851836	0.7850611685728427	0.7342508640710045	0.7659895482941019	0.7363283876253528	0.6802537300867285	0.7495183413625663	0.7804984434755055	
P34981	0.7707951168112286	0.9999999999999998	0.8833850795290998	0.7919795041905203	0.7761454879851694	0.8099090516716435	0.724206941435608	0.775025452373819	0.8099128469094072	0.7609774803919737	0.8017699115044247	0.8437163846024995	0.7873739750721845	0.8253137433674627	0.8230336956104093	0.8023765064134808	0.8969784860247055	0.8240667308619706	0.7883085466059467	0.7276163478292956	0.7939152859819653	0.7737158278394225	0.8530491647441337	0.822721309217224	0.8515365135644364	0.8167876633850953	0.8161357677594656	0.7728353452561657	0.7797644128514029	0.7140572336210752	0.7223690003974275	0.7977848608046642	0.8484044232867757	0.8879746208796515	0.7980149458504804	0.8621855728728564	0.7709982157097816	0.7697759597658975	0.8081595926776909	0.7951679024305808	0.7861323922930598	0.7407876460346862	0.759915501455054	0.8347019576086024	0.8354672280351509	0.8722333785619041	0.8058639490306438	0.8553367138770321	0.7321363999104644	0.8535899507716113	0.7696361873759581	0.8613842617906239	0.8198835750958423	0.8627976032171124	0.7582895427673945	0.8184136999979373	0.7741906292022537	0.7775651875300402	0.8112047197502813	0.863548249571101	0.8586692204661707	0.8492325526153285	0.8045742101623141	0.7913475372263684	0.8011804207972307	0.7992043136700957	0.7164359579259287	0.8586422552132376	0.8069448615407929	0.8469294419581668	0.833694318969758	0.882511537729023	0.8269087444408947	0.7181075805609275	0.8480424346001608	0.8394228845726108	0.8377049073902991	0.8448813234425062	0.7878778909939638	0.7791256524905033	0.7642934925621582	0.7724000553262704	0.8065975910971159	0.8266222833757461	0.8036760792589988	0.746089467443832	0.8459139987329334	0.8027876754957068	0.8520012246141404	0.7244784076585112	0.7714774610140213	0.7579812095705232	0.8384860860700563	0.815980826223608	
P08912	0.8063590992945586	0.8833850795290998	0.9999999999999998	0.806188672566448	0.7750532933364975	0.7982662897011672	0.7182708649202564	0.7724336141759722	0.7931290814186319	0.8285849028171286	0.7960590473120397	0.8476720681331684	0.7697449705389116	0.870312593641294	0.8071459310035167	0.8049069949438515	0.9158217445381668	0.8397808211085906	0.7068276139381873	0.7111814709460313	0.8160656581317036	0.8063266285295604	0.8316123650596439	0.8771826859162087	0.8165225910276037	0.8144592208918802	0.8495993280702806	0.8182268335172318	0.7409058044454333	0.7159732530220935	0.7211073534041399	0.7913633884974238	0.8569425346971199	0.8662458282385307	0.7776627504685686	0.9236326147622667	0.7387320594965022	0.8071841058358382	0.7929647433431332	0.7668102817410355	0.8461889752718622	0.8101421768481255	0.7419583603437392	0.8439201389118491	0.8658695882141731	0.8819723341273302	0.8493268775498002	0.8601960861277453	0.7941465089814987	0.8156067439658624	0.7374513292690574	0.8550728145482948	0.8425522286429155	0.8757746853094667	0.7523054460084839	0.8485176924951421	0.7969171784919885	0.8038648649275768	0.852851702423472	0.8707246537847763	0.8375268549309854	0.8289119832266865	0.8063754168804369	0.7867149676819534	0.798896470365383	0.7911423848132643	0.704627761875325	0.883642289551156	0.8357971811203316	0.8199996410592222	0.8480333896063723	0.9021886089762537	0.8525329382423117	0.7012816069214199	0.8711131989513148	0.8524396321721995	0.8701095116753071	0.8783368468878708	0.7887330409102908	0.8160934729844612	0.7509118619204426	0.7547624500418535	0.8098638009208181	0.8049332977718626	0.7952506694415019	0.7479992597927652	0.8099242017921564	0.8056556765943973	0.8898677296249943	0.723478378434819	0.7580785924700126	0.7749116236375625	0.8340320587009588	0.7988666973295716	
Q13639	0.7716231962326295	0.7919795041905203	0.806188672566448	0.9999999999999997	0.7580396318856834	0.8091493647236205	0.75029767757799	0.7785592879876474	0.7956224325419435	0.743306671362707	0.7671845657536165	0.8448446981007222	0.7259260568543539	0.8238439185117956	0.6850445553785177	0.8032906819654025	0.7773241320358365	0.7390654331419122	0.7664045744693819	0.6794155338988274	0.7408299595544401	0.7108223240386902	0.7846568803353955	0.7650673378354167	0.7843419877470542	0.7990602168084106	0.8211059682459154	0.7775715904270494	0.7476676224164983	0.7418395217612969	0.737912073722893	0.7794658103638149	0.8176514455527698	0.8222764985124089	0.776321420641484	0.7700720007789734	0.732130053479817	0.8131562483146346	0.740883177188695	0.7904013611709503	0.7787693348739179	0.7411287886513411	0.8054957894242766	0.7902962017829914	0.830210181692764	0.8078910934710999	0.8504796017895306	0.8314355544723645	0.7177305779015484	0.7859527263354888	0.7039973414148553	0.7923049268292472	0.8214148382437724	0.8005456023653145	0.7439064796638698	0.7617188960627002	0.774484121925115	0.7938806023491085	0.8040544114072732	0.7993848260874674	0.7931117284501638	0.7623564370734918	0.7592684038679606	0.7759443553766104	0.7401804263097369	0.8119277955404212	0.7017280460413144	0.8519248857806936	0.7415497622520352	0.7908986478244155	0.7920774258406523	0.7906327594126177	0.8102801580756963	0.7518281846315519	0.8579581692370537	0.8079997092824177	0.8235658010392316	0.8247393421094914	0.7363246567509154	0.7731052486756042	0.7147498778037763	0.7237180420353337	0.7783422608989017	0.8154922934354929	0.7842524944505918	0.7796269566643688	0.8152406974632223	0.7616464146364101	0.7750217011470238	0.7539935704644692	0.7478597787780548	0.7914455048915551	0.7956610119181532	0.7831338109422544	
P35346	0.7293767707767729	0.7761454879851694	0.7750532933364975	0.7580396318856834	1.0000000000000004	0.7588380593003835	0.6902340006364401	0.7617445974649398	0.8395847321040323	0.7943916907419606	0.7947459245164042	0.6748533803052259	0.776616942938955	0.7691733483307542	0.6963150179339256	0.6810518820038567	0.813792941576466	0.7979092261539229	0.7209824985684584	0.811409023670379	0.704118154017848	0.7582261566930714	0.6856064114257743	0.7463961262862893	0.7413967636235137	0.7560064299869912	0.7750275971593898	0.7240468871200715	0.7868571553719298	0.6517109257212998	0.6833081899526161	0.7150309196056834	0.8003764011202017	0.7836384342746302	0.6977311610522974	0.7485594277905826	0.7349748955287163	0.7983645860260941	0.6994729091717211	0.758448968941062	0.7230949301922182	0.7933143753691262	0.7336750784042276	0.7203385692324998	0.7688041813783535	0.7903163318574393	0.767739358908568	0.8743328027776408	0.7642096795465306	0.7698052167921409	0.739711481401348	0.7987499699205248	0.7421560885175853	0.7418055716842221	0.7573892234731855	0.7168430170945183	0.7155692752244213	0.8279027940257391	0.7804333556726657	0.7931488959402467	0.7596390467140646	0.7265084927377033	0.70792854740567	0.7369020902214933	0.6839772957993889	0.7718999723869605	0.6963150179339257	0.7704584813598865	0.7491393973447811	0.7589421801034039	0.7452162314894081	0.728400090104985	0.7268157189714854	0.6468659724235348	0.7989273826413124	0.7534501895051251	0.8069899220929727	0.7807781680748673	0.6569258641011592	0.7392586450731002	0.7970029471444697	0.7944018643163981	0.7546408580177366	0.8427139991638705	0.8101105418864366	0.7470964260668661	0.7657110379988082	0.8136574143379813	0.6912780174568621	0.7175157548223072	0.8115572278664717	0.6659988422468357	0.7825826111877606	0.7390441208065625	
P37288	0.7394201291119402	0.8099090516716435	0.7982662897011672	0.8091493647236205	0.7588380593003835	1.0000000000000002	0.6259198181147861	0.7528160332752721	0.7312091748823653	0.7874183286597993	0.7676937150014997	0.7684460003119952	0.7571563034527968	0.7670392253758954	0.7664829830403033	0.7146733788958798	0.8120974193361028	0.709450089947761	0.7182966656735331	0.6888416789675901	0.7580668946459032	0.7444023465339248	0.7720796857556671	0.7811492688218336	0.7522431052955286	0.7559685293856778	0.7803272527064584	0.7938591698611219	0.7850663597606871	0.7306410400575923	0.7354372917466553	0.7638407700974316	0.7864459120034253	0.846971283690053	0.7164148776308263	0.7719810781608705	0.7938602092832499	0.7176681461283179	0.7226839554380003	0.7691281193138209	0.733867725015984	0.7089421176145766	0.7731527102506379	0.7416502942984835	0.7936327519646155	0.8088347323343535	0.8364027166237146	0.7841672979612733	0.711004214744053	0.7580188725848591	0.6486176987440363	0.8012277511094016	0.7392286965453132	0.7838045212460238	0.730766396479869	0.7664283714485021	0.739583729712067	0.7213799965568035	0.7993004538154681	0.8093282437245081	0.796356724413726	0.7787328090134077	0.7371236269347725	0.7698646123148177	0.7181479040874882	0.7832332840839663	0.6558904383444882	0.7931088068559689	0.7128510624950236	0.7782093932570501	0.7646366241912604	0.7951030480751591	0.759706539270864	0.6754558332132443	0.8154209062594621	0.7683372005312734	0.8015904177607476	0.7870633196810338	0.7608626305118473	0.7484850797007777	0.7315277894611125	0.7041884783186189	0.771615314369904	0.783665754719877	0.81994056096646	0.7338340701285384	0.767541321150538	0.7893466435840687	0.7816503346810179	0.6924144517619795	0.7518697211885882	0.813466012336528	0.7717111302408007	0.7120884428003903	
Q9Y271	0.8287207441079397	0.724206941435608	0.7182708649202564	0.75029767757799	0.6902340006364401	0.6259198181147861	1.0000000000000002	0.8027906090794305	0.7312166077479224	0.6529713434312915	0.7015754745157452	0.656182652582701	0.7493692695101203	0.7396745258113975	0.7510140278418378	0.6897488898239406	0.7730806011533475	0.6795035751624298	0.820682044265057	0.6265272971764299	0.7162977882634274	0.6329322047081304	0.7552893164888516	0.6842247416589212	0.7568865851545811	0.7621158796433714	0.7286002299276443	0.7056520186530094	0.6559138888158358	0.5833260835256507	0.7034861102118972	0.751808276580706	0.7506660766376968	0.7197381836604002	0.7835093656611817	0.7194260110710643	0.6478641316654832	0.7253907157143158	0.6502285955340584	0.6797198490645217	0.7156569462689117	0.7262563527702998	0.6863144424705526	0.7622543767165736	0.7818794138645955	0.7170091211049984	0.7702869048662448	0.7649698499483498	0.6290961661792018	0.6969623648250783	0.6525451192651938	0.7102000129688778	0.7701238261737304	0.7630031099292851	0.7781403391139631	0.6573881388007221	0.8163909476082188	0.7294892153176267	0.7351278152350474	0.757252288864236	0.711901495839216	0.7543142269591094	0.6688419515817359	0.6798405340692505	0.6116345261815602	0.7860960602058124	0.5705755925811365	0.7979394590537686	0.7728647505627282	0.7159873999255071	0.7556726980386209	0.7087640824751198	0.7053928844255554	0.6417507535299284	0.7965595907442977	0.7562722094767664	0.78283547187653	0.736906253724472	0.7908067699691406	0.7597742799303017	0.6298837705795208	0.6245479059614527	0.7645930679001046	0.7833180745219109	0.6272253975809678	0.7086340890519376	0.8122963170345777	0.7113452108022275	0.7159024757665725	0.740239582701255	0.719658864838147	0.6197938153295521	0.7604685957543931	0.8067703607491788	
P47898	0.7520788245457416	0.775025452373819	0.7724336141759722	0.7785592879876474	0.7617445974649398	0.7528160332752721	0.8027906090794305	1.0	0.7742744986921364	0.7127330300280907	0.811033272063753	0.785695808224977	0.7990386407683056	0.7224102274295208	0.7012750082068193	0.7179039515526418	0.7884556187176498	0.7899750162176853	0.7705636949061692	0.7157276184576286	0.756406103425079	0.7525303860306342	0.7317388191660915	0.7542695807415241	0.8350442588387296	0.731760869420705	0.6922222208240913	0.7617677037560777	0.6923625416238459	0.6492549240596308	0.7580206327689857	0.7404833205294836	0.7961186364462834	0.7993559831559384	0.7828708094841099	0.7806836449501264	0.7782572011850541	0.7582574509964288	0.7509086275091283	0.714869335081681	0.7548390750135554	0.7903658804006802	0.7391060090186381	0.7898747762522341	0.8141266279858105	0.7854440942502597	0.864392773703532	0.8035719806453198	0.7252912756111626	0.7255659430976258	0.671048588569852	0.8099494851597382	0.770444747183073	0.7786977113855444	0.7552881643911721	0.7745392489912821	0.7221140152474244	0.8153089489086589	0.8092369658687254	0.8055129523686094	0.6986644988168151	0.794567101655713	0.7040255545799174	0.7941387425228713	0.6821742418610559	0.7960305167182773	0.6424351530661788	0.8112074451719028	0.6980506070947493	0.7261634553670894	0.77679125599368	0.7843680088916862	0.7297239481586765	0.6824383357757388	0.8350253881466592	0.8275685253444593	0.8210056486730622	0.8150723332583064	0.7147092971016078	0.8091796356098562	0.6928937568713534	0.7136688621640206	0.7395795494002025	0.743847973236316	0.793327656623743	0.7501201664911221	0.7528344167568577	0.7966620415689977	0.806047102032599	0.7578289116943193	0.7731100951966267	0.740216552155625	0.8545079985619066	0.7480364521206314	
P08588	0.7578716539301329	0.8099128469094072	0.7931290814186319	0.7956224325419435	0.8395847321040323	0.7312091748823653	0.7312166077479224	0.7742744986921364	0.9999999999999993	0.7257193161935366	0.7920995144993763	0.7504214581157818	0.7530890996011891	0.7615257509482054	0.7052575592492892	0.6929840679361273	0.8245421101539764	0.8202796439019953	0.7393140672579491	0.7997945236350696	0.7138470243545284	0.8018387989746728	0.7447359891198733	0.8365577051376148	0.8011193532182184	0.7833439363473043	0.7994104859618405	0.7738029136391765	0.7861334134388387	0.7128659606819459	0.683360822801521	0.757524460802138	0.8423922485477079	0.7645118810725738	0.7751361468813474	0.7703817991746165	0.7342915066899314	0.8380055969062319	0.6797529619808401	0.8059752263554819	0.7631485921209571	0.8340942235712259	0.7419488594400635	0.7734664167098403	0.7885542706338907	0.8194853259483331	0.7946677208596825	0.8234279012194047	0.7784446644544041	0.7974118311108186	0.7518811820172494	0.7861983238997334	0.7142223438603066	0.8058393016503623	0.7367524183617626	0.8114264534282882	0.7429454571947787	0.7532492659562989	0.7745709517936686	0.8084245568140783	0.7449790019587729	0.7106358114308897	0.7592647962136828	0.7169209117386931	0.7733075474510782	0.7901178968733146	0.730207708751033	0.8240852092867789	0.7230069665882132	0.7601039820723311	0.7754825617183696	0.7641655434207598	0.8050079093530617	0.6864899232423152	0.8034179725161209	0.7989298481748904	0.8258090770132414	0.8831484666584873	0.7473068840573625	0.7478377094013371	0.7828075274358083	0.8465468983533446	0.7664689574617478	0.8364659598464633	0.7944764629746676	0.7517643348123074	0.7792226721850991	0.7981321543775243	0.7622217138408794	0.7742019576379764	0.7458430605435343	0.709767750237377	0.7671791568526118	0.7676354513654777	
P24530	0.7052114120994201	0.7609774803919737	0.8285849028171286	0.743306671362707	0.7943916907419606	0.7874183286597993	0.6529713434312915	0.7127330300280907	0.7257193161935366	1.0	0.7636382408129248	0.7030189539029711	0.7362863892934755	0.7913618705170873	0.7068459328874334	0.7713433067671037	0.8402681910624679	0.7149316450498765	0.6511324014786232	0.6430552346752226	0.8051847632738857	0.7186193659396106	0.7776340769984627	0.7662258957754731	0.7154299674420803	0.7705361044914594	0.7440364831885795	0.7024996109764428	0.7678490889035486	0.6826587559117492	0.7085611896918799	0.7181638478236824	0.8024351635435728	0.7945288504995235	0.6366530302220929	0.8031010299880181	0.6882744856480644	0.7087044637683095	0.7279643526749314	0.6916100070949492	0.7396827872041226	0.7105875052722268	0.6925256018777245	0.6711046440749527	0.760421291973691	0.8058148604840414	0.7902808333880038	0.7547398233075175	0.7726857122249275	0.7348778500849339	0.6791689149197765	0.7674450435257728	0.6879647189685345	0.7951174880340941	0.7476355422995812	0.6995339226191096	0.763278066364681	0.7687285126563205	0.891178994366451	0.7860558001377715	0.806301819155919	0.7609088821609318	0.723773282205314	0.7052603249752905	0.6508386624893794	0.7002302956601864	0.6913176830436853	0.7997935284079122	0.7180596142449521	0.771363305795437	0.7590513701403375	0.7870976011555721	0.6984054087294346	0.7145608802513777	0.8504469509341719	0.7518553566801056	0.7637801018014241	0.7682612681242718	0.7079722012064877	0.7403390556058063	0.7155797801564181	0.7417450364104149	0.7507956306128641	0.8335087534664908	0.7517396041399128	0.6668040712624524	0.7328369135953716	0.7671396899944349	0.7198013087308421	0.6584071688552607	0.7844136798595848	0.785977398659903	0.741215441590327	0.6877532404678374	
