	P32745	O60883	P08100	P08173	P21728	P35346	P30542	P35462	Q13255	P13945	P21731	P24530	P28335	P25105	Q15391	Q9H244	Q9UBS5	P41595	P21918	Q9NS75	P30874	P21554	P41145	O95665	P28221	Q99677	P41231	O15303	P47898	P08588	P34969	Q9NPC1	P41143	Q9Y271	P28223	Q15722	P25101	Q8TDS4	P18089	P51681	P30556	P51582	Q14833	P30939	P50406	P41594	P32238	Q9Y5N1	P30872	P25024	Q9H3N8	P30518	P37288	P21917	P34995	P43088	P35367	P43116	P08913	P28566	P11229	P29274	P35372	P14416	P48039	P25021	Q15077	P28222	P35368	Q8NFJ5	P0DMS8	Q14416	P08908	Q14832	P08172	P43657	Q96G91	Q14831	P25100	P43115	Q13258	P34981	Q13639	P43119	O00222	P08912	P47900	P29275	Q5T6X5	P18825	P07550	P32239	P20309	P35348
P32745	0.0	1.951441774688654	1.9986974925352439	2.0840165546367433	1.6796370308955306	1.6007810593582121	1.9039432764659772	2.2266015875386493	2.0228726823230594	1.9776160488543757	1.9777407143843044	2.2479157012663977	2.0158527203351553	2.0953818267800264	2.2395591083961146	2.269262781484017	1.9008632907181937	1.8344795127350504	1.6668947846641353	1.948557158514987	1.8157298807917437	2.1040176881620463	2.348536778506992	2.3169086793402904	2.0848605513363534	2.1213203435596424	1.8894074566355668	2.0650301425877333	1.9882467150733583	2.0379217354942765	1.9819497975478595	2.169569369713723	1.6770509831248424	2.161452058223823	1.8546415416284312	1.674932156020871	2.1542109924517607	1.6789478076285593	1.8744814097652591	2.3488083170416623	1.9629378492453606	1.9263543415952116	2.1219258809968937	1.9165398508770957	1.6983072304443596	1.9652324558286176	1.7877062384635007	2.130095930579041	1.783248959582441	1.7644401284662923	2.0463381929681126	2.238704640944793	2.0231473006185183	2.105300849443297	2.0499720376213872	2.055790151778179	1.9149328905229577	1.9917364004528544	2.176514624138994	2.034662968420503	2.0387833128349397	2.2317936234736795	1.8419934350628986	2.199405433124884	2.41203667434128	1.7230060940112777	1.690854576103713	1.8861910923166538	2.156487665067152	2.0765001349990055	2.0586032211726044	1.716073135656058	1.9189298232782412	1.9183850303230254	1.992015311186137	1.9643668814399105	1.9613056980803154	1.898807191370414	2.197868285407476	1.8445880746901868	2.0408091188310906	1.7932875123751955	1.8752057500280532	1.8174501368675835	1.9050068046928132	1.885055341886629	1.8256848030259771	2.1654644100310456	1.8813220450127728	2.189292358973065	2.1408234397072543	2.0042206740287063	2.0554365022729426	2.0397964673219655	
O60883	1.951441774688654	0.0	2.0941718065993427	2.130727575266252	1.5778853640940533	2.0498475553074673	2.028392220454416	2.4571136333933374	2.2820556035683657	2.167361442238415	2.088859337852441	2.215851980616035	2.3397923196671866	2.3648467180770933	2.145926373387494	2.305583285356288	1.9428152897277708	2.023477899537664	2.0356938833667653	2.238582140552364	2.077859475518015	2.1847676939535736	2.1357083134173536	2.4140491163384965	2.020359337309048	2.328223571738762	2.195845062200447	1.992434671041274	1.9839984879026509	2.25388553391693	2.039607805437113	2.3054622638421134	2.0253086184579376	2.4300205760445737	1.8939442424180364	1.9242471963672638	2.214723459035011	2.0692636013451393	2.039335403725657	2.4605872867911778	2.1213203435596437	2.0632887567733125	2.0610137742814296	2.0074859899884743	1.9875633733960048	1.8276225216473614	1.9464525902139027	2.173683040184028	1.924597119938112	1.967147534245361	1.9784779503446581	2.351161241530126	1.9874606914351802	2.104756517984919	2.152018455300201	2.185897561220138	2.1246876289612917	1.9908122295518818	2.0344755857691945	2.1402376699681316	1.9328179231285454	2.0805314492002065	2.0440518946807953	2.0000925904493463	2.2690013986198374	1.8713297411199337	2.187026844771936	2.058679981275898	1.7129308892669788	2.272383728741889	2.229100466306732	1.88719047509078	1.8777202489543892	1.9991953398606208	1.9235384061671352	2.2272431939278565	2.013241291019974	2.131863914512368	2.1982947936980617	1.827770171999995	2.173906108504929	1.7697572761049833	2.1059293130598995	1.8920887928424506	2.0014809331907037	1.9220295343371296	2.009975124224179	2.3002415332114814	1.7949045711847011	2.356685584066904	1.9773719933285194	2.0643722176635753	2.192832049358595	1.8838811704730236	
P08100	1.9986974925352439	2.0941718065993427	0.0	1.8740923729160797	1.7566013059735976	2.298474735800051	2.272648357215775	2.069770667799684	2.5043172599076993	1.99506293988994	2.2305399888760817	2.435843454192681	1.979231005188841	2.2988523706889543	2.0982797186690294	2.3671025755498234	2.2666245400497105	1.9363138420116317	1.7726625214799605	2.4359859970405777	2.3318447632722044	2.364866294865863	2.4979157978869773	2.309258727630452	2.084629226588192	2.6064156955055697	2.44160449436166	2.4868132947231474	2.270737765573119	2.1173883284209665	2.0803311702173253	2.1587395048963187	2.072890493972125	2.354074481970923	1.6160353486028358	1.708564285940661	2.392116682401221	2.0000000000000004	2.0088692231092486	2.4107657254946946	1.8929694486000923	2.429245678786162	2.3972206128486944	1.8909139471577119	2.1539395957902188	2.2235256948133286	2.215439603204151	1.9727451320454645	2.4113927126900805	2.059045755073842	1.8925108248626272	2.632433325921002	2.0483055327649624	2.202691955733224	2.3029866553058373	2.351778943168526	2.159183942705887	2.087588247561772	1.8257418583505538	2.2443344307471293	1.8264961413235936	1.9442460216219015	2.233305693582421	2.1459119906475532	2.363267655938584	2.011684617428886	2.1111111111111116	2.166535841157588	2.059491677278327	2.2680353217944607	1.9364916731037087	1.8961909652920155	2.0201530928418574	2.1754988114949287	1.9324710720847667	2.237588595137283	1.9516657197702583	2.2015422309018837	2.066196183005542	2.016005742846049	2.127479917390074	1.9331222028747093	1.946823940881693	2.0829999733290667	2.073495289613503	1.930905244109197	2.0212757247727384	2.719953703309701	1.9738364283158552	2.197962158277406	2.0088692231092495	2.14325393151768	2.0307552639716993	2.252230809219643	
P08173	2.0840165546367433	2.130727575266252	1.8740923729160797	0.0	1.746345390300046	2.227526655283837	2.132926393479156	2.335158016701003	2.314447378245327	2.0502705839609607	2.0872629605937694	2.156385865284783	2.0467470663760596	2.424355584480131	2.2781571499789033	2.43281142478644	2.0517142223029006	1.8708066055506385	2.2329056783919556	2.2014199962751313	2.0802644062714717	2.396731313196021	2.3656394484367227	2.495214354430539	2.067652094813145	2.4760098949721496	2.242139621576816	2.2138709288926317	2.1785889929034328	1.9493588689617933	2.2538855339169284	2.31033682609268	2.187892821872223	2.4525496936861435	1.7033996148684203	2.0930621325964243	2.177154105707725	2.218023811781476	2.0572365498945957	2.402422247037607	2.1954498400100144	2.4461862481204952	2.2183577509299774	2.0273134932713295	2.093283720543844	2.077134997037595	2.070034135543191	2.2326885047367617	2.167350319493231	2.0981889081336016	1.9168659316707561	2.527441232486618	1.9773719933285185	2.211334438749598	2.4208292383362013	2.1995790843132115	1.9286658772622336	2.309641626842667	2.2601287171711744	1.9597492910958323	1.6223898299516595	1.9464354885562247	2.058676309706833	2.1381023084692377	2.4218815421241464	2.094486810653149	2.1496195471596518	2.0314366083827378	1.989414133618569	2.0212041639056038	2.1281186266016485	1.9122714260586595	1.9964551919172475	2.214461747343997	1.6186414056238643	2.322076832563154	2.0280878915539553	2.0414072964501706	2.332916629457641	2.1279136563605245	2.2692518882291153	1.9619336567451482	2.1770123371376155	2.1633307652783933	1.9914632625097364	1.7760060616068278	2.107130750570547	2.3418890760333735	1.976807875384321	2.4781524709794365	1.9467922333931782	2.259944012309931	1.7096952509847112	2.192945112049731	
P21728	1.6796370308955306	1.5778853640940533	1.7566013059735976	1.746345390300046	0.0	1.8366447367111831	1.8814703174792733	1.9130400472081672	2.379017070603366	1.8671240458251177	1.6921660456131162	2.043621513120492	1.6655471446623022	1.846543317180028	1.8577914008006629	1.968249967993887	1.9557829137088691	1.5373935642942957	1.5038785179920182	2.052268392670792	1.9507833184532704	2.0991988477676755	1.877313387678135	2.0161963361759208	1.5553075199077135	1.8675779025845811	1.8667595165809752	2.202702679203557	1.7509917824542247	2.0395397084200693	1.7106691348384386	1.8447796089385733	1.7495038979347515	1.8856180831641263	1.5613965341394782	1.6074715072014953	2.2063670491456207	1.8590369868613488	1.4125430180273375	2.1774652408898394	1.6257476912348845	1.8170573823806992	2.138470377525852	1.3770943645549083	1.5396774259447068	2.012679478905486	1.5993104287681537	1.6582696634275123	1.9275055843700641	1.568437982298276	1.941416292870291	2.513878709842712	1.64814710778161	2.0292992769809866	1.9649187398401193	1.8238390523532741	1.6325537859732222	1.7671121031743242	1.681186750152669	1.5333232688880654	1.631709852626643	1.6914819275153707	1.740716114877035	1.7879483379726775	2.232230157022996	1.6324615020133115	2.024350223444672	1.7984860728387686	1.8082906458000025	1.7493189244788319	1.6351180725290488	1.8033287069253539	1.5275252316519463	1.8303097117448042	1.6979562878812755	1.7994314420780881	1.7763980383960294	2.0990035665101234	1.5876257605479822	1.7208646416218225	1.77639803839603	1.8834748005383672	1.822146001115914	1.8238390523532737	1.650617168527286	1.9497942278261555	1.6851475372270004	2.2157893000513877	1.5689326210574464	2.01781266530116	1.7766228887664617	1.746676468269742	2.0770152129134773	1.7537674257593932	
P35346	1.6007810593582121	2.0498475553074673	2.298474735800051	2.227526655283837	1.8366447367111831	0.0	2.358495283014151	2.2964596342744312	2.453384850002587	1.8925216811464716	2.056071631912556	2.0116846174288847	2.1686094013300754	2.2741756748325317	2.5093574874855915	2.4408173396865007	2.278465766694773	2.1804860990382804	1.9328540003779011	2.2465250944514286	2.361805453461398	2.3731311685639875	2.42706097986845	2.397973595948026	2.3145323901784534	2.200852107707376	2.1008594758312795	2.3681426244624553	2.1323402636539974	1.9292161620720476	2.2015619455286743	2.359323261022109	1.75	2.414150989478496	1.9625562580766203	1.9918156404282368	2.3284920012746446	2.1848860043150666	1.8861152020901466	2.6732685603804143	2.2015619455286743	1.8406315173646386	2.6229092202700772	2.3434749838647737	1.8934466736938886	2.2474711790544215	1.8199919966221265	2.067345113019724	1.7939262237606939	2.045549240232284	2.384848003542364	2.449164268121863	2.052285311549055	1.9162137145944864	2.2761262574042265	2.429682382839675	2.086055384239764	2.31653177065294	2.1082225387105775	2.1628795249634627	2.2054531870639598	2.2526989984855454	2.1312544123990387	2.2762105041624032	2.2561565430924277	2.1213203435596424	2.142808457706791	2.429293485096994	2.219461022727129	2.2748260548625825	2.277227236989952	2.2150178477258247	2.237232293109799	2.3534351503537168	2.3847169643376978	2.3503012182115155	2.317819713252197	2.4454996933142312	2.121173024531474	2.2045161666283186	2.3615320615409714	2.193086888848871	2.198264958361593	1.8965429075030165	2.2049239929790803	2.3469756609488774	2.3509306667785843	2.4047840050846787	2.011508417907296	1.9010585893997525	2.429377492280687	1.9281580244748964	2.421574644798417	2.0681505991649733	
P30542	1.9039432764659772	2.028392220454416	2.272648357215775	2.132926393479156	1.8814703174792733	2.358495283014151	0.0	2.144788040982312	2.2138296381308713	2.1794282608929114	2.3090251670829014	2.221345313092946	2.078986512066726	2.2395591083961146	2.2114757516192665	2.1799615003153487	2.0242668425877057	1.818146306471385	2.182735365931004	2.019436802675439	2.301494079940246	2.3183630213505033	2.0879116360612584	2.1338139521168484	2.412952126123302	2.0	2.2635895851318444	2.3012169584365396	2.0348525745124633	2.599879804914066	2.14111536354303	2.275034340400162	1.8874586088176875	2.2114757516192665	1.813595066743319	1.958736257711263	2.050152433357091	1.6633647848284532	2.084449700893633	2.081793648736198	2.093889920697838	2.171246939342677	2.3453115168589243	2.068665028466426	2.2609568815897765	2.0208574407707154	1.8889289785352992	2.282852561232664	2.264485265688104	1.897114762339801	2.1213203435596424	2.3770131102984298	2.0492376631323173	2.3195276099527966	2.249568499057688	2.0018799035277204	2.304746046496874	1.9288561665171176	2.420614591379635	2.1158116529165083	1.9380581041021525	2.2106905658137177	1.9240497895305608	2.0088058457516307	2.1109982888458734	2.23606797749979	2.1797592318056545	2.1752756100301025	2.1051577255841853	2.1069543556529013	1.999565925116971	2.1840958435881968	2.0425168297960234	2.115693032299445	2.0370014727535173	2.129047765494025	2.042896127260722	2.228192933746986	2.2303306929690945	2.0784895481221186	2.0148916157303582	1.8314674332850351	2.2280738927614006	1.9129492936301258	2.149100802489092	2.0753086190245376	2.0222203144069137	2.2106905658137186	1.866458174005491	2.581697140248433	1.9658013633121738	2.1658734157519977	2.051978233174389	2.1450199386462776	
P35462	2.2266015875386493	2.4571136333933374	2.069770667799684	2.335158016701003	1.9130400472081672	2.2964596342744312	2.144788040982312	0.0	2.7777777777777786	2.2252609073167715	2.53859103528797	2.548783297241313	1.9800814062224397	2.13383240690096	2.433371384786198	2.177324215807271	2.489532484371461	2.0585253904145397	1.8733221244791443	2.370487916645636	2.507858020672592	2.6897152082022684	2.451142968464274	2.0497857790713847	2.015373016357452	2.056353073517037	2.3495435867013863	2.5612305125609396	2.110105754765931	2.2562669923439342	2.1503660325800533	2.3654474069793197	1.9101640902948256	2.167734779458519	1.8772395053353739	2.186582900588218	2.4190601174530264	1.9277057303219427	2.1253322180395795	2.6058832211087157	2.100705348915684	2.3067266102251893	2.6510654741345325	2.077569805396751	2.1965065370943275	2.60385202180806	2.103970331055998	2.137515387841163	2.4241582476968264	2.1083302935913077	2.0723320644108134	2.873629680989155	2.2466435870888395	2.3765832929119375	2.535567719441327	2.5458753860865784	2.1692962781072533	2.0727509006864047	2.0993826252990218	1.8625616238044693	2.1428906668708576	2.248970958098475	2.157387537660846	1.8921540406584905	2.136321603233329	2.1366781504284926	2.2933074933944777	2.1726326374873963	2.1608135959374484	2.406388968481809	2.110379990358065	2.093330492679723	2.015564437074637	2.4739835575617706	2.4557566534045563	2.1569203431260697	2.435893718187532	2.5229559474875822	2.1753458643695334	2.12416821438409	2.2706387710350815	2.400711660675266	2.1829869671542785	2.068726571983265	2.16951379886296	2.5700074458267514	1.9786826893630998	2.719953703309701	2.1499484256289136	2.336807069239799	2.370810144389622	2.0434157670372834	2.336807069239799	2.198519133175994	
Q13255	2.0228726823230594	2.2820556035683657	2.5043172599076993	2.314447378245327	2.379017070603366	2.453384850002587	2.2138296381308713	2.7777777777777786	0.0	2.8714514446668877	2.454524670486058	2.29975844142138	2.465557043249454	2.520747243709031	2.3863035105460586	2.3231068414572333	1.723635732656086	2.376615491356509	2.548699230704761	2.3340772623601542	2.48467525264593	1.8625616238044689	2.4923494047896972	2.9640626383612183	2.533723166886974	2.369144829304917	2.6076457476564747	1.755296487673008	2.5880333588782576	2.372293779821078	2.271807894851834	3.0923993965491876	2.1290810485068694	2.6666666666666665	2.116661786072766	2.5346089292516956	2.0682789409984736	2.211083193570267	2.562984371565478	2.3608676678553406	2.4528894525980327	2.5067809272618833	1.744409058381367	2.6093847721041237	2.60885462396424	1.4664295829818401	2.278376816567805	2.739130239167204	2.5676044462869663	2.491860026402883	2.4547997202759064	2.55284288641528	2.5464572339712372	2.8136571693556878	2.7480194290397617	2.213873205019031	2.2709083630539637	2.521512381757826	2.4984843890695507	2.6597131563524052	2.3165472549838046	2.605638472975837	2.41139271269008	2.3438914566365536	2.6090719108195692	2.41630744456633	2.496911672693804	2.125858503385687	2.3611097607083043	2.8776268621312666	2.7872062210246513	1.724710162367961	2.5124689052802225	1.9438484284539175	2.3	2.2517315081022673	2.7726858748358496	1.6975012272946004	2.93773344226085	2.3254490961151126	2.6649443473843224	1.8874210650101355	2.6364023372677052	2.4094720491334938	1.9586780626449112	1.6887426837300752	2.4691429012243633	2.536766679295751	2.0983985852450173	2.7602384746790003	2.3194827009486407	2.7076987744321244	1.8457505857989172	2.490754253095091	
P13945	1.9776160488543757	2.167361442238415	1.99506293988994	2.0502705839609607	1.8671240458251177	1.8925216811464716	2.1794282608929114	2.2252609073167715	2.8714514446668877	0.0	2.014249043947984	2.1209018959091446	2.141870256574801	2.463415750490224	2.3072114883709753	2.669606015996074	2.5797783048298943	1.9765484072099786	1.852526614769214	2.5360200963308794	2.60198774722065	2.7272726165888543	2.5246198964006004	1.8219568126656942	2.3972187844466877	2.4538830778509633	1.8767333911424176	2.686678348939102	2.1547474075938795	1.9928125288516063	2.4811120812577805	1.3911521049094822	1.8173585666464716	2.405153490654904	1.9599141898239885	1.4885252330926486	2.5355461113614637	2.3026535683987754	1.6749851579704924	2.9426142092114467	2.335790478566799	1.9424851592126553	2.8351461888058025	2.0482060269890052	1.6253337929216989	2.4178071823589025	2.082120125339337	1.8174193025124366	2.17475605147107	1.839958347656559	2.2144420738020796	2.3422839123074666	1.9650195355639422	1.512603200384885	1.644427563571688	2.48590151324474	2.3656940602533916	2.052083176894036	2.1900061529532526	2.283187399256616	1.9134661307116485	1.9439360188116785	2.224620664918686	2.5419987442175835	2.46538651341899	2.2902182979076486	1.8485462497963259	2.5820200769584827	2.1417218465737675	2.029370147426603	1.7405233216672473	2.207931522969553	1.909277412186713	2.498294907977583	2.012402373684117	2.4669778989913596	1.6572688898044272	2.718277053674357	1.730038307199785	1.9059760957315597	1.8656918039642376	2.1733252383098254	2.2119915717333862	1.6899459043896392	2.5340006560783443	2.4613307129806223	2.0674570607934895	2.695266993882113	2.2034347421775604	2.12802384867122	2.1999462069808584	1.7919754982842018	2.5192592797676245	2.246464721713751	
