	P28566	P08913	P30556	Q5T6X5	P08912	P43115	Q96G91	P25101	Q9UBS5	P35462	P51681	P20309	P28335	P08588	Q14832	O60883	P43119	Q13639	P41231	P13945	O95665	P34995	Q9Y271	P35372	P08100	P21554	P18089	Q9NPC1	P37288	P24530	P08172	P48039	P21728	P30542	Q8NFJ5	Q15722	Q14416	P29274	P30872	P50406	P11229	Q15391	P30518	P07550	P35368	Q13258	P41595	Q8TDS4	P32745	P28222	P41143	P08173	Q99677	P08908	P25100	P47900	P18825	P43088	P41594	P25105	P25024	P51582	P28223	Q9NS75	P34981	P34969	P14416	Q9Y5N1	P32238	Q13255	P25021	Q9H3N8	P43116	P35348	P32239	P35346	O15303	Q15077	Q14833	P29275	P30874	P30939	Q9H244	P21918	P21731	P21917	P47898	O00222	Q14831	P35367	P43657	P28221	P41145	P0DMS8
P28566	1.0	0.0625	0.2857142857142857	0.3125	0.32	0.21428571428571427	0.2	0.16	0.2916666666666667	0.2777777777777778	0.25	0.4	0.15	0.21052631578947367	0.25	0.2	0.25	0.25	0.0625	0.07142857142857142	0.14285714285714285	0.07142857142857142	0.26666666666666666	0.23529411764705882	0.25	0.20833333333333334	0.08333333333333333	0.09090909090909091	0.16666666666666666	0.16666666666666666	0.25	0.30434782608695654	0.09090909090909091	0.15789473684210525	0.16666666666666666	0.13333333333333333	0.2608695652173913	0.07692307692307693	0.2222222222222222	0.16666666666666666	0.375	0.17647058823529413	0.2727272727272727	0.125	0.3333333333333333	0.3076923076923077	0.4	0.2777777777777778	0.16666666666666666	0.28	0.13333333333333333	0.2222222222222222	0.26666666666666666	0.13333333333333333	0.0	0.21428571428571427	0.047619047619047616	0.15	0.20833333333333334	0.1875	0.1875	0.2857142857142857	0.4	0.1875	0.17391304347826086	0.3333333333333333	0.2631578947368421	0.07692307692307693	0.26666666666666666	0.25925925925925924	0.10526315789473684	0.25	0.35714285714285715	0.23529411764705882	0.0	0.0625	0.22727272727272727	0.2222222222222222	0.3076923076923077	0.22727272727272727	0.3333333333333333	0.36363636363636365	0.2608695652173913	0.16666666666666666	0.3125	0.058823529411764705	0.4	0.21052631578947367	0.3	0.17647058823529413	0.18181818181818182	0.2777777777777778	0.21052631578947367	0.1	
P08913	0.0625	1.0	0.15384615384615385	0.2	0.15384615384615385	0.07692307692307693	0.0	0.04	0.16666666666666666	0.3333333333333333	0.125	0.08695652173913043	0.05263157894736842	0.17647058823529413	0.047619047619047616	0.16666666666666666	0.3076923076923077	0.29411764705882354	0.07692307692307693	0.09090909090909091	0.0	0.09090909090909091	0.06666666666666667	0.058823529411764705	0.21428571428571427	0.08333333333333333	0.0	0.0	0.0	0.125	0.21428571428571427	0.125	0.125	0.11764705882352941	0.0	0.07692307692307693	0.18181818181818182	0.0	0.05555555555555555	0.1	0.11764705882352941	0.13333333333333333	0.08695652173913043	0.07142857142857142	0.16666666666666666	0.16666666666666666	0.125	0.17647058823529413	0.125	0.20833333333333334	0.16666666666666666	0.1875	0.06666666666666667	0.2727272727272727	0.14285714285714285	0.16666666666666666	0.35714285714285715	0.05263157894736842	0.18181818181818182	0.14285714285714285	0.3333333333333333	0.0	0.125	0.14285714285714285	0.09090909090909091	0.0625	0.23529411764705882	0.1	0.23076923076923078	0.14814814814814814	0.125	0.13333333333333333	0.14285714285714285	0.125	0.1111111111111111	0.07692307692307693	0.09090909090909091	0.11764705882352941	0.06896551724137931	0.043478260869565216	0.13333333333333333	0.09090909090909091	0.13043478260869565	0.2	0.058823529411764705	0.15384615384615385	0.058823529411764705	0.05263157894736842	0.15	0.13333333333333333	0.09523809523809523	0.25	0.17647058823529413	0.0	
P30556	0.2857142857142857	0.15384615384615385	1.0	0.11764705882352941	0.24	0.36363636363636365	0.14285714285714285	0.125	0.3181818181818182	0.16666666666666666	0.16666666666666666	0.23809523809523808	0.23529411764705882	0.16666666666666666	0.21052631578947367	0.29411764705882354	0.125	0.2777777777777778	0.25	0.08333333333333333	0.16666666666666666	0.08333333333333333	0.21428571428571427	0.11764705882352941	0.38461538461538464	0.17391304347826086	0.1	0.1111111111111111	0.09090909090909091	0.11764705882352941	0.2857142857142857	0.16666666666666666	0.1111111111111111	0.05263157894736842	0.3333333333333333	0.36363636363636365	0.17391304347826086	0.09090909090909091	0.17647058823529413	0.2	0.17647058823529413	0.2	0.13043478260869565	0.14285714285714285	0.15789473684210525	0.15384615384615385	0.1875	0.3125	0.26666666666666666	0.15384615384615385	0.07142857142857142	0.17647058823529413	0.13333333333333333	0.15384615384615385	0.0	0.25	0.1111111111111111	0.10526315789473684	0.22727272727272727	0.3076923076923077	0.4166666666666667	0.23076923076923078	0.26666666666666666	0.13333333333333333	0.13636363636363635	0.125	0.1	0.09090909090909091	0.21428571428571427	0.14285714285714285	0.1875	0.38461538461538464	0.3076923076923077	0.11764705882352941	0.0	0.07142857142857142	0.19047619047619047	0.17647058823529413	0.23076923076923078	0.19047619047619047	0.2857142857142857	0.18181818181818182	0.17391304347826086	0.1875	0.35714285714285715	0.06666666666666667	0.11764705882352941	0.16666666666666666	0.2	0.2857142857142857	0.14285714285714285	0.23529411764705882	0.16666666666666666	0.125	
Q5T6X5	0.3125	0.2	0.11764705882352941	1.0	0.36	0.058823529411764705	0.11764705882352941	0.25	0.23076923076923078	0.2	0.2916666666666667	0.3181818181818182	0.2	0.14285714285714285	0.23809523809523808	0.3157894736842105	0.3125	0.23809523809523808	0.058823529411764705	0.14285714285714285	0.13333333333333333	0.06666666666666667	0.05263157894736842	0.15789473684210525	0.3125	0.2	0.16666666666666666	0.08333333333333333	0.15384615384615385	0.2222222222222222	0.3125	0.2916666666666667	0.0	0.35294117647058826	0.0	0.125	0.30434782608695654	0.07142857142857142	0.2777777777777778	0.0	0.35294117647058826	0.3125	0.3181818181818182	0.1875	0.25	0.2	0.2222222222222222	0.14285714285714285	0.15789473684210525	0.375	0.125	0.21052631578947367	0.1111111111111111	0.125	0.0	0.125	0.15	0.14285714285714285	0.36363636363636365	0.1111111111111111	0.17647058823529413	0.05555555555555555	0.29411764705882354	0.1111111111111111	0.4	0.23529411764705882	0.13636363636363635	0.0	0.17647058823529413	0.25	0.15789473684210525	0.16666666666666666	0.25	0.15789473684210525	0.07692307692307693	0.2	0.21739130434782608	0.21052631578947367	0.2962962962962963	0.16666666666666666	0.23529411764705882	0.23076923076923078	0.2	0.15789473684210525	0.15789473684210525	0.05555555555555555	0.375	0.2	0.2857142857142857	0.10526315789473684	0.125	0.3333333333333333	0.2	0.09090909090909091	
P08912	0.32	0.15384615384615385	0.24	0.36	1.0	0.25	0.14814814814814814	0.4482758620689655	0.5172413793103449	0.2857142857142857	0.5357142857142857	0.5769230769230769	0.3333333333333333	0.2413793103448276	0.35714285714285715	0.4230769230769231	0.2222222222222222	0.3103448275862069	0.15384615384615385	0.07692307692307693	0.16	0.07692307692307693	0.18518518518518517	0.25925925925925924	0.32	0.4	0.08333333333333333	0.08695652173913043	0.08	0.3076923076923077	0.43478260869565216	0.3870967741935484	0.041666666666666664	0.34615384615384615	0.08	0.25	0.4	0.125	0.2962962962962963	0.125	0.4583333333333333	0.32	0.28125	0.24	0.4230769230769231	0.25	0.36	0.38461538461538464	0.25925925925925924	0.5	0.1111111111111111	0.4583333333333333	0.14285714285714285	0.2	0.0	0.2	0.09375	0.3333333333333333	0.5	0.18518518518518517	0.3333333333333333	0.19230769230769232	0.4782608695652174	0.391304347826087	0.48148148148148145	0.32	0.32142857142857145	0.08	0.3333333333333333	0.6206896551724138	0.3076923076923077	0.2692307692307692	0.23076923076923078	0.3076923076923077	0.08333333333333333	0.2	0.3333333333333333	0.2962962962962963	0.6206896551724138	0.25	0.43478260869565216	0.21739130434782608	0.3548387096774194	0.25925925925925924	0.3076923076923077	0.14814814814814814	0.36	0.38461538461538464	0.5	0.375	0.3448275862068966	0.44	0.38461538461538464	0.043478260869565216	
P43115	0.21428571428571427	0.07692307692307693	0.36363636363636365	0.058823529411764705	0.25	1.0	0.25	0.13043478260869565	0.2727272727272727	0.17647058823529413	0.125	0.25	0.17647058823529413	0.25	0.2222222222222222	0.4	0.13333333333333333	0.2222222222222222	0.4	0.09090909090909091	0.4444444444444444	0.2	0.14285714285714285	0.2	0.3076923076923077	0.18181818181818182	0.1111111111111111	0.2857142857142857	0.1	0.2	0.21428571428571427	0.17391304347826086	0.125	0.11764705882352941	0.2222222222222222	0.5555555555555556	0.3	0.2222222222222222	0.1875	0.375	0.26666666666666666	0.21428571428571427	0.13636363636363635	0.15384615384615385	0.3125	0.2727272727272727	0.2857142857142857	0.5384615384615384	0.2857142857142857	0.16	0.16666666666666666	0.1875	0.06666666666666667	0.16666666666666666	0.0	0.5555555555555556	0.05555555555555555	0.25	0.23809523809523808	0.06666666666666667	0.45454545454545453	0.25	0.5	0.14285714285714285	0.2	0.21428571428571427	0.23529411764705882	0.1	0.23076923076923078	0.19230769230769232	0.2	0.21428571428571427	0.3333333333333333	0.2	0.25	0.16666666666666666	0.3333333333333333	0.46153846153846156	0.19230769230769232	0.2	0.3076923076923077	0.3333333333333333	0.23809523809523808	0.2857142857142857	0.5	0.25	0.125	0.25	0.2777777777777778	0.13333333333333333	0.21052631578947367	0.17647058823529413	0.1111111111111111	0.14285714285714285	
Q96G91	0.2	0.0	0.14285714285714285	0.11764705882352941	0.14814814814814814	0.25	1.0	0.125	0.16	0.05	0.16666666666666666	0.13043478260869565	0.10526315789473684	0.16666666666666666	0.15	0.29411764705882354	0.2857142857142857	0.09523809523809523	0.25	0.18181818181818182	0.16666666666666666	0.4444444444444444	0.0625	0.1875	0.125	0.08	0.1	0.25	0.2	0.1875	0.2	0.21739130434782608	0.1111111111111111	0.3333333333333333	0.2	0.25	0.17391304347826086	0.09090909090909091	0.1111111111111111	0.09090909090909091	0.25	0.125	0.18181818181818182	0.06666666666666667	0.2222222222222222	0.25	0.1875	0.16666666666666666	0.1875	0.2	0.15384615384615385	0.1111111111111111	0.0	0.07142857142857142	0.0	0.15384615384615385	0.17647058823529413	0.10526315789473684	0.17391304347826086	0.0625	0.21428571428571427	0.14285714285714285	0.1875	0.13333333333333333	0.19047619047619047	0.125	0.15789473684210525	0.2	0.13333333333333333	0.06666666666666667	0.11764705882352941	0.2	0.21428571428571427	0.11764705882352941	0.1	0.0	0.19047619047619047	0.25	0.14285714285714285	0.25	0.2	0.08333333333333333	0.08	0.1875	0.26666666666666666	0.23076923076923078	0.1875	0.05	0.09090909090909091	0.0	0.09090909090909091	0.05	0.10526315789473684	0.125	
P25101	0.16	0.04	0.125	0.25	0.4482758620689655	0.13043478260869565	0.125	1.0	0.3793103448275862	0.14285714285714285	0.3	0.37037037037037035	0.3333333333333333	0.18518518518518517	0.3076923076923077	0.2222222222222222	0.20833333333333334	0.25925925925925924	0.13043478260869565	0.14285714285714285	0.19047619047619047	0.09090909090909091	0.16666666666666666	0.30434782608695654	0.2608695652173913	0.35714285714285715	0.1	0.05	0.15	0.30434782608695654	0.20833333333333334	0.21875	0.0	0.34782608695652173	0.0	0.18181818181818182	0.26666666666666666	0.15	0.24	0.045454545454545456	0.24	0.20833333333333334	0.1935483870967742	0.35	0.2692307692307692	0.13043478260869565	0.2	0.23076923076923078	0.25	0.28125	0.18181818181818182	0.2916666666666667	0.12	0.08333333333333333	0.0	0.18181818181818182	0.0	0.28	0.26666666666666666	0.07692307692307693	0.12	0.125	0.2	0.21739130434782608	0.3333333333333333	0.16	0.17857142857142858	0.0	0.16666666666666666	0.34375	0.25	0.20833333333333334	0.12	0.2	0.047619047619047616	0.3	0.2	0.19230769230769232	0.34375	0.3333333333333333	0.20833333333333334	0.09090909090909091	0.3103448275862069	0.2	0.2	0.08	0.2	0.23076923076923078	0.20689655172413793	0.2608695652173913	0.2962962962962963	0.23076923076923078	0.3333333333333333	0.05263157894736842	
Q9UBS5	0.2916666666666667	0.16666666666666666	0.3181818181818182	0.23076923076923078	0.5172413793103449	0.2727272727272727	0.16	0.3793103448275862	1.0	0.1724137931034483	0.36666666666666664	0.4444444444444444	0.3076923076923077	0.21428571428571427	0.2857142857142857	0.4583333333333333	0.19230769230769232	0.5	0.2727272727272727	0.08333333333333333	0.17391304347826086	0.08333333333333333	0.2	0.23076923076923078	0.2916666666666667	0.3793103448275862	0.043478260869565216	0.09523809523809523	0.13636363636363635	0.391304347826087	0.4090909090909091	0.28125	0.045454545454545456	0.17857142857142858	0.19047619047619047	0.3333333333333333	0.3333333333333333	0.13636363636363635	0.32	0.13636363636363635	0.32	0.2916666666666667	0.3	0.3181818181818182	0.4583333333333333	0.16666666666666666	0.3333333333333333	0.36	0.28	0.34375	0.21739130434782608	0.375	0.1111111111111111	0.12	0.0	0.2727272727272727	0.1	0.36	0.48148148148148145	0.2	0.36363636363636365	0.2608695652173913	0.3333333333333333	0.30434782608695654	0.3103448275862069	0.24	0.2962962962962963	0.08695652173913043	0.25	0.36363636363636365	0.23076923076923078	0.2916666666666667	0.25	0.3333333333333333	0.09090909090909091	0.16666666666666666	0.35714285714285715	0.2692307692307692	0.40625	0.35714285714285715	0.34782608695652173	0.13043478260869565	0.3333333333333333	0.23076923076923078	0.391304347826087	0.20833333333333334	0.23076923076923078	0.25925925925925924	0.37037037037037035	0.19230769230769232	0.27586206896551724	0.3076923076923077	0.3076923076923077	0.047619047619047616	
P35462	0.2777777777777778	0.3333333333333333	0.16666666666666666	0.2	0.2857142857142857	0.17647058823529413	0.05	0.14285714285714285	0.1724137931034483	1.0	0.2692307692307692	0.24	0.13043478260869565	0.3	0.12	0.125	0.21052631578947367	0.21739130434782608	0.05263157894736842	0.058823529411764705	0.05555555555555555	0.0	0.2222222222222222	0.2631578947368421	0.35294117647058826	0.06666666666666667	0.0	0.0	0.0	0.14285714285714285	0.15	0.32	0.07142857142857142	0.13636363636363635	0.0625	0.1111111111111111	0.3333333333333333	0.0	0.19047619047619047	0.13333333333333333	0.19047619047619047	0.09523809523809523	0.10714285714285714	0.05	0.17391304347826086	0.17647058823529413	0.2631578947368421	0.3684210526315789	0.2	0.34615384615384615	0.25	0.3157894736842105	0.29411764705882354	0.17647058823529413	0.0	0.25	0.25	0.08333333333333333	0.14285714285714285	0.15789473684210525	0.2222222222222222	0.10526315789473684	0.2631578947368421	0.15789473684210525	0.1111111111111111	0.2777777777777778	0.2857142857142857	0.0625	0.2222222222222222	0.23333333333333334	0.14285714285714285	0.21052631578947367	0.15789473684210525	0.2	0.06666666666666667	0.1111111111111111	0.2	0.3157894736842105	0.15625	0.1111111111111111	0.15	0.2	0.23076923076923078	0.2631578947368421	0.09090909090909091	0.16666666666666666	0.2	0.23809523809523808	0.2608695652173913	0.21052631578947367	0.20833333333333334	0.3684210526315789	0.13043478260869565	0.0	
