	P28223	P41595	Q9UBS5	P08100	P25024	P21554	P30939	P34981	P08908	P32239	P30542	Q14833	Q8NFJ5	P13945	Q13258	P25105	P35348	O00222	P25101	Q14416	Q9NPC1	Q96G91	P48039	P08588	Q13255	P51681	P30874	Q8TDS4	P34995	Q13639	P41143	P21917	P43119	O15303	P43088	P0DMS8	P43116	P30556	P24530	P30518	P47898	P14416	P21918	P20309	P32745	P35368	P25100	Q14831	P37288	P41231	P08912	P28566	P29274	Q99677	O95665	P35372	Q9Y271	Q9Y5N1	Q9NS75	P28222	P08172	P43657	P21728	P41145	P51582	P35462	P35346	P25021	P41594	P35367	P28221	Q15077	P11229	P30872	P47900	Q9H244	P34969	P18825	P50406	P43115	Q15391	P08913	P21731	P29275	O60883	P07550	Q5T6X5	Q14832	Q9H3N8	P28335	P08173	Q15722	P18089	P32238
P28223	0.0	8.45454545454545	12.153409090909092	10.303030303030306	9.181818181818182	13.48484848484848	10.56363636363636	10.311688311688314	10.143939393939393	9.915584415584412	10.965909090909086	12.381818181818181	10.657342657342655	11.832167832167835	10.636363636363633	11.590909090909092	9.81818181818182	10.752525252525253	13.499999999999998	11.529411764705882	12.755681818181813	12.363636363636367	12.402597402597403	11.881818181818183	12.737373737373735	12.870129870129869	11.227272727272725	9.919191919191917	12.916083916083918	12.515151515151516	13.011363636363637	12.40909090909091	11.60909090909091	13.525974025974024	12.080808080808081	10.621212121212118	12.555555555555555	9.136363636363637	12.290909090909091	15.740259740259736	11.56818181818182	9.484848484848483	12.545454545454545	8.999999999999996	10.76136363636364	8.999999999999996	11.649999999999997	12.437499999999998	10.254545454545456	11.999999999999998	11.373737373737377	9.95959595959596	11.31060606060606	13.147727272727272	12.244755244755247	10.84848484848485	12.795454545454547	11.058441558441562	12.5	12.545454545454547	11.954545454545455	11.870129870129869	9.507575757575758	12.954545454545457	11.05050505050505	10.898989898989901	12.10227272727273	12.352272727272723	12.419913419913417	10.818181818181817	11.676767676767675	12.353535353535353	9.545454545454543	12.373737373737372	10.900000000000002	12.63636363636364	10.463636363636368	12.636363636363637	11.051948051948052	8.727272727272725	11.84090909090909	11.81818181818182	11.606060606060607	13.893939393939396	11.572727272727274	11.8	9.284584980237153	11.090909090909088	9.920454545454545	8.909090909090908	10.445454545454547	9.545454545454543	10.303030303030303	10.090909090909092	
P41595	8.45454545454545	0.0	12.017045454545457	10.87878787878788	9.454545454545451	13.636363636363635	10.09090909090909	10.792207792207794	10.356060606060602	11.99350649350649	10.874999999999998	13.721212121212119	10.664335664335665	11.699300699300698	10.363636363636365	11.500000000000004	9.545454545454541	12.085858585858588	14.840909090909088	12.251336898395717	12.914772727272723	12.454545454545455	13.870129870129869	11.736363636363635	14.606060606060607	14.415584415584417	13.477272727272728	11.060606060606059	14.237762237762237	12.14141414141414	13.125	12.90909090909091	12.954545454545457	15.279220779220775	12.313131313131317	10.621212121212121	11.171717171717171	10.954545454545453	14.254545454545454	15.0	10.590909090909092	11.434343434343436	11.545454545454543	12.0	11.261363636363635	9.45454545454545	11.268181818181818	12.926136363636363	11.836363636363632	13.181818181818182	12.898989898989898	10.616161616161612	12.325757575757574	14.056818181818182	12.95104895104895	12.05050505050505	11.795454545454543	12.084415584415586	13.795454545454541	12.74025974025974	11.318181818181818	12.220779220779221	9.386363636363635	13.386363636363633	12.272727272727268	11.494949494949493	14.306818181818178	13.965909090909086	13.186147186147187	11.454545454545453	11.505050505050503	11.797979797979798	10.909090909090905	13.33333333333333	10.209090909090913	14.103896103896107	11.299999999999997	14.72727272727273	11.623376623376618	11.727272727272727	12.65909090909091	11.727272727272728	11.212121212121211	13.37878787878788	12.427272727272728	12.036363636363637	11.454545454545451	11.54545454545454	11.556818181818182	10.09090909090909	11.009090909090911	11.636363636363638	10.890909090909089	9.818181818181815	
Q9UBS5	12.153409090909092	12.017045454545457	0.0	13.9375	12.00568181818182	11.048611111111118	12.887500000000005	12.54464285714285	13.812499999999998	14.062500000000002	12.5625	11.229166666666664	13.235576923076927	15.879807692307695	13.721590909090908	12.9375	13.255681818181818	11.618055555555555	10.5625	10.05514705882353	16.25	15.039772727272727	14.937499999999996	14.262500000000001	10.395833333333336	14.616071428571425	13.4375	11.312499999999998	15.225961538461537	10.534722222222227	11.8125	13.979166666666668	12.887499999999994	9.991071428571429	11.743055555555559	14.4375	12.034722222222229	12.812499999999998	12.2375	15.133928571428562	12.4375	13.09027777777778	14.34659090909091	11.107954545454547	11.8125	10.778409090909095	15.537500000000001	10.375	13.387499999999996	13.767045454545451	11.826388888888891	13.104166666666668	14.104166666666664	13.5625	15.399038461538463	11.770833333333334	13.9375	14.491071428571429	12.8125	11.723214285714285	13.137499999999998	13.419642857142856	11.520833333333334	12.4375	13.076388888888893	14.659722222222221	14.6875	13.8125	8.741071428571425	12.380681818181818	11.923611111111118	14.534722222222223	12.5625	13.354166666666677	13.387500000000003	12.955357142857139	12.7375	15.994318181818178	13.16964285714286	12.107954545454543	11.9375	12.926136363636365	12.104166666666673	12.854166666666668	11.512500000000001	11.787499999999996	11.540760869565217	10.878676470588236	13.4375	12.994318181818185	11.987500000000002	13.460227272727273	14.645833333333336	11.926136363636362	
P08100	10.303030303030306	10.87878787878788	13.9375	0.0	13.222222222222221	14.555555555555554	11.42222222222222	11.396825396825394	12.36111111111111	13.230158730158731	13.291666666666664	15.666666666666659	13.538461538461538	12.427350427350424	12.919191919191919	14.19444444444445	12.727272727272734	13.055555555555555	15.277777777777779	11.882352941176464	13.270833333333334	11.919191919191924	13.730158730158728	12.211111111111103	15.555555555555554	14.619047619047612	14.5	12.222222222222218	14.076923076923073	11.44444444444444	12.291666666666668	14.166666666666668	12.611111111111107	15.833333333333327	14.22222222222222	11.666666666666668	12.333333333333329	11.122222222222218	14.533333333333331	16.031746031746025	13.38888888888889	12.999999999999993	11.212121212121213	12.212121212121218	12.986111111111112	11.949494949494952	11.383333333333333	13.97916666666667	11.888888888888888	15.333333333333332	11.111111111111107	13.111111111111104	12.194444444444443	16.041666666666664	13.54700854700854	12.444444444444441	13.36111111111111	11.753968253968253	14.527777777777775	13.460317460317453	11.12222222222222	14.349206349206346	10.75	14.944444444444443	15.555555555555548	12.111111111111105	14.70833333333334	11.986111111111107	14.333333333333332	12.13131313131313	12.22222222222222	12.777777777777779	10.878787878787879	13.22222222222222	12.47777777777777	14.079365079365079	12.588888888888883	13.585858585858587	13.587301587301583	12.363636363636363	12.694444444444448	11.252525252525256	13.444444444444438	16.72222222222222	12.033333333333331	11.8	11.734299516908209	13.686274509803921	11.208333333333329	12.202020202020202	11.322222222222218	10.818181818181817	12.177777777777777	13.101010101010102	
P25024	9.181818181818182	9.454545454545451	12.00568181818182	13.222222222222221	0.0	13.515151515151514	10.327272727272732	12.324675324675322	11.053030303030301	8.05844155844156	10.784090909090908	13.612121212121211	8.832167832167832	11.083916083916083	9.272727272727272	10.795454545454547	11.545454545454549	13.005050505050502	14.65909090909091	13.299465240641712	11.05113636363636	11.000000000000005	12.597402597402596	13.863636363636365	15.373737373737377	13.948051948051951	12.25	9.323232323232322	11.35664335664336	11.232323232323235	12.238636363636369	11.015151515151514	11.954545454545451	15.253246753246751	11.707070707070711	7.939393939393941	12.323232323232327	8.427272727272726	12.32727272727273	15.337662337662344	12.795454545454545	10.969696969696972	11.363636363636363	13.636363636363635	10.647727272727275	11.272727272727275	10.659090909090905	12.812500000000004	10.81818181818182	10.090909090909092	13.585858585858585	11.42424242424243	10.856060606060606	12.284090909090908	9.160839160839162	10.797979797979801	11.886363636363637	10.47402597402598	11.0	13.467532467532466	12.463636363636363	12.584415584415586	9.49242424242424	12.840909090909092	9.868686868686874	11.212121212121213	12.78409090909091	11.602272727272727	13.662337662337665	10.363636363636362	12.17171717171717	10.989898989898991	10.727272727272727	11.939393939393941	10.572727272727272	12.389610389610388	12.172727272727274	13.454545454545462	9.74025974025974	8.454545454545451	10.954545454545453	10.818181818181817	10.505050505050505	15.984848484848488	12.11818181818182	10.454545454545453	10.27667984189723	12.925133689839571	12.556818181818183	10.636363636363635	12.572727272727272	9.636363636363635	10.357575757575757	7.636363636363632	
P21554	13.48484848484848	13.636363636363635	11.048611111111118	14.555555555555554	13.515151515151514	0.0	13.53333333333333	11.69841269841269	14.027777777777777	13.706349206349204	14.680555555555562	11.377777777777776	14.58974358974359	16.897435897435894	14.38383838383838	12.388888888888888	14.777777777777775	11.388888888888888	13.888888888888895	11.862745098039216	17.020833333333336	15.96969696969697	15.49206349206349	16.12222222222222	11.888888888888884	13.68253968253968	13.861111111111112	12.777777777777771	15.367521367521366	13.333333333333332	11.736111111111112	16.61111111111111	16.455555555555552	11.753968253968248	11.888888888888879	14.833333333333334	12.888888888888886	14.477777777777778	13.333333333333332	16.015873015873012	16.111111111111114	12.666666666666668	15.44444444444444	12.707070707070706	12.73611111111111	13.91919191919192	13.58333333333333	9.784722222222225	13.111111111111114	13.969696969696969	12.777777777777779	13.444444444444441	13.472222222222221	12.79166666666667	16.905982905982906	12.333333333333329	15.333333333333337	14.595238095238091	15.277777777777784	12.460317460317459	14.499999999999996	13.380952380952378	12.583333333333336	15.05555555555556	14.333333333333332	16.222222222222218	14.51388888888889	13.208333333333336	10.76190476190476	11.373737373737374	13.0	14.44444444444444	13.939393939393941	14.666666666666664	15.033333333333331	14.222222222222221	13.74444444444444	16.525252525252533	15.68253968253968	13.848484848484848	13.611111111111114	14.656565656565657	14.666666666666664	15.055555555555554	13.344444444444443	13.088888888888885	11.980676328502417	11.483660130718954	15.236111111111116	14.636363636363637	15.811111111111112	14.74747474747475	14.555555555555554	13.030303030303026	
P30939	10.56363636363636	10.09090909090909	12.887500000000005	11.42222222222222	10.327272727272732	13.53333333333333	0.0	10.971428571428568	10.016666666666671	11.47142857142857	11.625000000000004	14.866666666666664	10.799999999999997	12.784615384615382	9.090909090909088	11.450000000000005	11.072727272727276	11.811111111111108	15.000000000000005	12.764705882352937	10.412500000000001	10.218181818181817	15.542857142857143	13.499999999999998	15.666666666666659	14.771428571428569	12.5	11.422222222222219	12.676923076923075	10.288888888888886	12.925000000000004	13.633333333333336	11.899999999999997	15.214285714285706	12.444444444444443	8.9	10.044444444444443	11.700000000000003	14.600000000000001	15.828571428571427	11.000000000000005	11.466666666666663	11.545454545454547	13.254545454545454	11.125000000000002	12.327272727272726	10.550000000000004	13.087500000000006	10.799999999999999	12.709090909090909	11.955555555555554	8.600000000000001	10.383333333333336	12.825000000000001	11.399999999999999	10.666666666666666	13.250000000000007	10.785714285714283	13.900000000000006	12.685714285714282	11.5	13.771428571428567	7.816666666666666	13.700000000000005	13.199999999999998	12.088888888888883	14.325000000000005	11.925000000000002	13.057142857142853	11.600000000000003	10.06666666666667	12.066666666666665	9.50909090909091	12.73333333333333	11.5	12.542857142857141	12.699999999999996	13.799999999999999	10.657142857142855	9.872727272727273	11.050000000000006	10.654545454545453	12.111111111111105	14.76666666666666	12.3	10.399999999999997	10.199999999999998	12.599999999999998	12.675000000000002	11.345454545454547	11.899999999999995	9.672727272727274	9.33333333333333	10.61818181818182	
P34981	10.311688311688314	10.792207792207794	12.54464285714285	11.396825396825394	12.324675324675322	11.69841269841269	10.971428571428568	0.0	12.011904761904761	13.214285714285712	10.946428571428566	11.876190476190475	14.527472527472524	13.0989010989011	13.233766233766236	12.499999999999998	11.610389610389612	12.658730158730151	13.60714285714285	11.831932773109235	14.723214285714285	11.896103896103899	14.142857142857144	12.35714285714285	12.111111111111107	13.285714285714283	12.535714285714285	11.714285714285712	14.296703296703294	13.19047619047619	12.124999999999996	13.571428571428575	13.300000000000002	12.785714285714278	12.984126984126984	12.9047619047619	12.619047619047612	12.385714285714284	14.685714285714282	14.857142857142861	13.642857142857144	12.873015873015868	14.129870129870131	10.610389610389612	11.053571428571425	12.870129870129867	13.935714285714289	12.883928571428568	11.857142857142854	12.753246753246755	11.238095238095234	12.920634920634916	11.940476190476186	14.125	13.945054945054947	10.698412698412698	14.107142857142852	13.214285714285712	12.53571428571428	11.714285714285719	10.47142857142857	13.428571428571427	11.63095238095238	12.857142857142854	12.793650793650793	15.190476190476184	13.482142857142854	12.660714285714283	10.999999999999996	12.16883116883117	13.396825396825399	13.38095238095238	9.545454545454549	13.285714285714283	12.21428571428571	13.571428571428573	12.81428571428571	14.480519480519483	13.428571428571427	12.597402597402596	11.964285714285714	13.038961038961041	14.587301587301585	15.023809523809517	10.785714285714283	11.514285714285712	9.47204968944099	12.689075630252098	11.803571428571423	13.27272727272727	12.528571428571428	10.584415584415583	12.857142857142852	12.272727272727277	
P08908	10.143939393939393	10.356060606060602	13.812499999999998	12.36111111111111	11.053030303030301	14.027777777777777	10.016666666666671	12.011904761904761	0.0	9.988095238095235	12.791666666666663	13.849999999999998	12.019230769230766	10.801282051282048	10.037878787878789	12.249999999999998	10.31060606060606	11.972222222222223	16.249999999999993	11.867647058823529	11.479166666666668	12.007575757575763	14.273809523809524	11.850000000000001	15.638888888888888	15.702380952380954	12.33333333333333	12.305555555555555	12.993589743589743	12.527777777777777	11.541666666666663	11.416666666666668	11.216666666666667	14.178571428571427	11.694444444444441	10.91666666666667	12.249999999999998	11.683333333333335	14.549999999999997	14.13095238095238	11.083333333333332	12.361111111111109	11.47727272727273	12.674242424242427	11.45833333333333	10.68939393939394	10.46666666666667	12.895833333333332	10.483333333333333	11.674242424242427	12.30555555555555	10.583333333333334	10.33333333333334	12.958333333333334	13.18589743589744	11.472222222222221	13.499999999999998	10.821428571428568	11.499999999999998	11.964285714285708	9.850000000000001	13.059523809523807	8.499999999999996	11.916666666666668	12.583333333333329	12.02777777777778	13.624999999999996	11.041666666666664	13.226190476190474	11.143939393939393	9.583333333333336	11.75	11.143939393939396	12.416666666666671	10.850000000000001	14.321428571428568	13.983333333333333	11.992424242424244	9.369047619047619	10.416666666666666	12.749999999999998	10.507575757575761	12.36111111111111	14.249999999999998	10.68333333333333	11.249999999999996	9.6268115942029	12.171568627450979	11.708333333333332	12.280303030303033	12.316666666666668	10.75	9.616666666666667	10.765151515151516	
P32239	9.915584415584412	11.99350649350649	14.062500000000002	13.230158730158731	8.05844155844156	13.706349206349204	11.47142857142857	13.214285714285712	9.988095238095235	0.0	13.73214285714286	14.899999999999997	8.521978021978022	10.08241758241758	8.837662337662335	12.071428571428566	12.12337662337662	13.015873015873012	15.071428571428571	13.348739495798315	8.75892857142857	11.72077922077922	13.357142857142854	13.342857142857142	16.357142857142858	15.071428571428568	14.571428571428573	11.515873015873014	9.258241758241757	12.515873015873016	11.767857142857144	9.190476190476188	11.628571428571425	16.000000000000004	11.595238095238091	9.547619047619044	12.007936507936508	11.457142857142859	12.07142857142857	14.499999999999995	12.5	12.499999999999996	12.344155844155845	14.305194805194805	12.446428571428575	12.538961038961036	8.749999999999996	15.937500000000002	9.9	8.720779220779223	16.21428571428571	11.26190476190476	11.535714285714286	12.303571428571429	8.730769230769226	11.896825396825392	13.17857142857143	9.428571428571427	12.428571428571432	13.785714285714283	13.799999999999995	13.5	10.440476190476192	13.57142857142857	10.19841269841269	11.452380952380954	11.267857142857144	11.553571428571432	13.833333333333334	12.097402597402597	12.91269841269841	12.230158730158726	11.850649350649352	12.38888888888889	12.000000000000004	13.499999999999998	13.485714285714284	11.967532467532465	8.785714285714283	9.032467532467528	11.535714285714288	11.499999999999998	9.896825396825392	17.523809523809526	12.257142857142856	12.214285714285714	10.251552795031056	13.626050420168065	13.267857142857144	11.188311688311687	13.77142857142857	9.240259740259736	9.052380952380954	8.85064935064935	
