	P25100	O00222	P08100	Q99677	Q9H244	P43115	P37288	P30542	P41231	P29275	P25021	Q13639	Q15077	Q14832	P24530	P43116	P30874	P11229	P41594	P29274	P41143	P28566	P08172	P34969	P0DMS8	P20309	P51582	P30556	P25105	Q9UBS5	P35368	P08913	P21917	P47898	P25024	Q9NS75	P30518	P35346	P07550	P34981	Q14416	P30872	P51681	Q15722	P32238	P43657	P08908	P43119	P48039	P41595	P35372	Q8TDS4	P08588	Q9Y271	P34995	P32239	P35367	Q14831	P41145	P43088	P21731	P35462	Q96G91	P50406	O60883	P08173	P08912	P28222	Q9NPC1	P35348	Q5T6X5	Q13258	P28335	P18089	Q15391	P28221	P13945	Q8NFJ5	Q9Y5N1	Q13255	P47900	P21918	P32745	P25101	O95665	P21554	Q9H3N8	O15303	Q14833	P21728	P14416	P30939	P18825	P28223
P25100	1.0	0.3559893408374257	0.33428895631863753	0.23458211296122494	0.23629498310469066	0.21950578538512028	0.3823984127269154	0.2890672542798685	0.2244047401065604	0.30809830463939647	0.34925091862524854	0.4717616585724398	0.15629269860961004	0.3893241707792836	0.20329363521034965	0.12128665322464659	0.2554769712334316	0.2410668135997333	0.3941562681288433	0.34556746059708443	0.28481533728151914	0.13438039743286234	0.26184666417456837	0.2667234393333393	0.19359864173750238	0.23331564851369657	0.29011419781348513	0.1739870724824107	0.46742997177763235	0.3496620800531922	0.4413878347553192	0.47975947244268924	0.2194756138968473	0.3285267284808414	0.2833088849491845	0.12216257722608334	0.22413859479812345	0.22565176699762418	0.27201411885924665	0.3080983046393964	0.3782255770155939	0.24636306755068738	0.13950523503733697	0.3478011525287713	0.16290549439966245	0.27540745432729663	0.32900232371912835	0.3074130337372403	0.41764186368069234	0.327481774103055	0.31708058372963244	0.20380545625417362	0.24424259074845034	0.22416399174286503	0.31173417095732936	0.26741546790275994	0.3741658625361698	0.3059337081147938	0.4270443996109562	0.22425881055126992	0.2169303755987224	0.2153279694625077	0.16438588948303431	0.187623686995674	0.3526303908192234	0.0845955771245907	0.26737136962772007	0.1897437698824683	0.3100402129936256	0.42875727545441294	0.26170236662631713	0.26060251633899334	0.170725251881214	0.19186713570297936	0.289571828205322	0.2929688307182996	0.2378340718577767	0.16740472565157308	0.5737811589949768	0.23456406636116633	0.28966584957115643	0.31358021739629405	0.2665941247839427	0.27877094192853435	0.2677321918745969	0.462020942066706	0.2767464523928721	0.3933014813285053	0.2759926481768805	0.33380578254425514	0.2923052035169296	0.2849586899858841	0.3388129565407503	0.33758137028118945	
O00222	0.3559893408374257	0.9999999999999998	0.4097519964298557	0.3458357558108478	0.5186998183160093	0.4754066811981917	0.3896744029744235	0.3870570193435984	0.44869484392511105	0.36868777667131336	0.4671775013290572	0.501519515086631	0.33855175985730745	0.7589891581013154	0.3322341862289089	0.4769240919647172	0.5547902149626289	0.4304270169495903	0.6023952059823297	0.3369892650774453	0.32030232451853585	0.4887956085453031	0.5069260487133638	0.5424074005181103	0.3380000709680868	0.658404940676497	0.48966469428163245	0.4316362988513741	0.4553558551286063	0.5897844909933574	0.5321162120012307	0.3762610685392395	0.08112517302597472	0.4910547270430934	0.3908822806342303	0.4354568584140597	0.2653011446768849	0.2573321577314899	0.37538747149023777	0.47808363887599103	0.6047730049100687	0.3993862383263348	0.45994252806949165	0.31749535496179193	0.41945373051315277	0.4330102739218734	0.4730916411357283	0.2636823688128735	0.40773273892065376	0.5077026840334731	0.4522320339196355	0.49920312390496246	0.31484580297361797	0.4304035094433497	0.15755244463121815	0.3439589334181523	0.6170814312613617	0.8214281457645336	0.4928602822869276	0.5505221240114736	0.4807372374853581	0.38887941089129674	0.18826060559321073	0.46400920189843226	0.4728807081988555	0.4340521203487105	0.5837004126226274	0.5713984724817062	0.11679446964303504	0.5623952612487702	0.6199587992520621	0.370679225934133	0.4336575031548856	0.31962381556173414	0.43116802158547535	0.542310868452077	0.03366147846684529	0.4231961920157391	0.29498817019162804	0.6037999070602078	0.4657545712345186	0.3147345960145687	0.4767118143950927	0.4819510364027371	0.30722723920480816	0.5744144636982745	0.44382598784672933	0.7450032411366854	0.8074365551443032	0.5956205010740805	0.39526569142666185	0.5087711531526962	0.14286385904788268	0.5917841084923727	
P08100	0.33428895631863753	0.4097519964298557	1.0	0.15190001954299112	0.34211122330484944	0.4541895849184868	0.37205021344534106	0.34679349367605655	0.16566487668931085	0.2545888524357202	0.4976452929370855	0.5052785379114464	0.4377998391235418	0.40442426494379524	0.24715247303996996	0.3816956162399048	0.3830693014987735	0.5280069235473552	0.3803926461058843	0.41950058938801027	0.3445804165320544	0.3161739348176626	0.4945527009681405	0.4277853141227514	0.5457582217455073	0.5462276720616379	0.1427815441068801	0.5336090146995817	0.2857801296983327	0.4407022337782125	0.456653322158162	0.5029783075064774	0.3194099462165325	0.32897497907872675	0.39416137740904145	0.2930923198771842	0.17249091373425834	0.24201760273961523	0.44949339588548975	0.525109829736511	0.532548237923517	0.18734596834540582	0.3902870265080977	0.5771670885730187	0.30577989431689645	0.3411508755487771	0.4163182117194838	0.38688606434498307	0.3847868367620262	0.49274792653424737	0.32677076916877845	0.4890685655978692	0.45718586437421893	0.2958796270473498	0.27781853141099255	0.34018980124347287	0.374163191625535	0.4742647170359517	0.23232512094286464	0.3070688829579508	0.31965377974564047	0.4450351630210493	0.4353596569040915	0.31933310438869644	0.45419012303473705	0.5223370135642984	0.6008336821028517	0.46243635152052387	0.40040670564447123	0.3576863413815289	0.4345860939754301	0.37782033217855543	0.45106234687404273	0.40305982645572114	0.4406731777505392	0.4378183438505128	0.4223980196158459	0.2969683879750125	0.41774583247633407	0.4194230344741112	0.4912849945907286	0.5331734621662995	0.46363914571395826	0.3787383241557899	0.2993673108977894	0.34110066778317216	0.5740185384079267	0.3142481814304208	0.38168004477998163	0.5050268125752291	0.4623080662650784	0.516537158725114	0.33141371342769416	0.6400882349495117	
Q99677	0.23458211296122494	0.3458357558108478	0.15190001954299112	1.0	0.5932855707132403	0.3589474623155332	0.31956383750136597	0.5232456521059938	0.32311902309654805	0.40418292869519046	0.4905833782344528	0.3541050603996417	0.3209870687320247	0.4530405583276956	0.3887483968037292	0.3262990107642008	0.3600869833871686	0.39957912659170897	0.3963737933492867	0.3137284366362072	0.5883122395405029	0.47798720411207746	0.26954154395938196	0.31078326082673446	0.396790959008244	0.42647166727976876	0.37340273614187086	0.45750911185415766	0.4982501271808693	0.5034589071551023	0.32521597875645997	0.20244682877696324	0.15865421908493238	0.4101934871335081	0.3999897269431085	0.48418183485141	0.18138711532817212	0.35316347679569626	0.43992755750213497	0.36013779428944864	0.3978939200556363	0.45385626821084524	0.368101017343908	0.2842420922882608	0.5035200582841184	0.6432200315097875	0.35194191534381336	0.2622123101923335	0.39860798709170975	0.3161710912617181	0.4996076025917809	0.5512666770541349	0.29297386987380813	0.48427093761521	0.1051865509729	0.34897137161609176	0.41592549319263894	0.4175397064603907	0.39189173465801963	0.3964588563130626	0.13187993347420354	0.4865503000899728	-0.03436317848717467	0.39627123069412085	0.3617164597923256	0.21779964733484755	0.35210630585975533	0.4256984986928317	0.11208705786647408	0.3674384134962053	0.502462062093169	0.30817262105078946	0.4099072878784846	0.4331350099548896	0.3477843435646604	0.414816511167241	0.15425086160698925	0.28198999668178226	0.2635972479247668	0.5169998256188522	0.41326466488214	0.32801086550696756	0.4329010169064572	0.4705558786537476	0.3926814409182161	0.4894926035259226	0.34622665934419833	0.4913876377145274	0.32863000750747773	0.49288350136510634	0.5659638404316177	0.38497321729502254	0.1277761915399784	0.36800835503620655	
Q9H244	0.23629498310469066	0.5186998183160093	0.34211122330484944	0.5932855707132403	1.0	0.5094925142367343	0.35008674545756363	0.4632110770904573	0.34098958176385064	0.2632844444601955	0.49965824521432184	0.43858840783238323	0.2742012551411691	0.4200265365200381	0.4330336493396086	0.4033258913985298	0.36079677775410113	0.43511276359254997	0.4236037526137929	0.261493581024695	0.5377994906682956	0.46496951699936895	0.25213213399445933	0.5015825988603407	0.5258681189490537	0.42909069421917967	0.4772852510417998	0.6304937420545811	0.6238159675236806	0.534606577127055	0.4234265135536002	0.28109783138972344	0.128867246917217	0.33759208705990607	0.5231127766932575	0.5103766922664519	0.2382902498253555	0.25045922329381465	0.4810229983112161	0.41142861286888177	0.4454648483968663	0.3607253590647942	0.4740342657530901	0.35058152237042706	0.5602562396816355	0.5744097974260034	0.28034758708169405	0.26533476645709175	0.48076950074162267	0.35383304871822074	0.41024941656101804	0.6395026601591564	0.3198614275985442	0.5774608367739779	0.16344209534277496	0.45755359523616135	0.5207834450491082	0.5105313216369703	0.4822034495587297	0.43899985901389155	0.4200050572472619	0.46114711648176687	0.13588069984922063	0.3734397807062329	0.4052441096469544	0.2888776943238808	0.4775257480162092	0.4299317249097243	0.22776885375049222	0.257195141332054	0.5119451593101816	0.43918695764619853	0.42394466310556717	0.3343510116396762	0.7087889973219498	0.34195525381152864	0.06690251333766385	0.37945461764984056	0.23158816187843284	0.5439978511662266	0.4960554176815165	0.260929626635098	0.385690631976768	0.5606419785425596	0.46702321459631757	0.4525841038776842	0.4401297530235698	0.5240466644471788	0.5444243478831916	0.49192446750361424	0.5472356477395062	0.4541978187805952	0.1310006261730507	0.4509106430334271	
P43115	0.21950578538512028	0.4754066811981917	0.4541895849184868	0.3589474623155332	0.5094925142367343	0.9999999999999998	0.3604823765171808	0.4622613010840406	0.6033290870521535	0.3530654737050379	0.5366146739918709	0.47038887741602065	0.592612173460112	0.48294855389470165	0.3974393090814856	0.49515283317076786	0.5007165186865715	0.4771795898123411	0.5452839908871024	0.3586216731714337	0.3434199714155724	0.3449758804608211	0.39383973156154606	0.47301629574416293	0.5684373541056054	0.6034418119189544	0.5275719698701902	0.5447845707716072	0.372450295822789	0.6364599864049698	0.5982898235470707	0.2346847520115785	0.47642192381564763	0.4350558860569515	0.6581122722878019	0.5206404390342191	0.23612538134381444	0.30117392834961265	0.43757164286215894	0.4677851453134652	0.6275622746535345	0.47240118344956006	0.3520281681456396	0.6293692293467301	0.5588053308061213	0.49623237428256906	0.46658849101236277	0.4575913604826395	0.40467513472964406	0.4473235467032196	0.36324736703098204	0.6028585168089353	0.4022298351644116	0.3650812542386695	0.48931434134729285	0.6351865416308867	0.3693989913068642	0.5601129363442783	0.2586230384896684	0.45133460235460604	0.6380305080079196	0.38855665128614225	0.42706306230012636	0.6410998463558717	0.6077481423126028	0.3832187377733129	0.6249507264703711	0.44760899698393514	0.5259375727132442	0.35818867388554076	0.45363936582432834	0.556030092977694	0.5664916782062941	0.4518028577735356	0.4643110163321791	0.4382312993092905	0.37961680595795877	0.5383055487135066	0.4060407809623061	0.6375610455760348	0.6665839875516335	0.46107945572748477	0.5665381092313534	0.46545216011784263	0.6161323485308722	0.49113152366848967	0.6073028493698025	0.5806826647434331	0.5592659027054896	0.46288046381984566	0.5508347763563868	0.5288780633930636	0.21192205014632695	0.616982630854934	
P37288	0.3823984127269154	0.3896744029744235	0.37205021344534106	0.31956383750136597	0.35008674545756363	0.3604823765171808	1.0	0.4215788575101453	0.17649999419742046	0.3488246301074224	0.44653070047117377	0.4939182115657768	0.3793036542038286	0.3268502016985353	0.46174915881233136	0.2841033651989942	0.3504597240975452	0.4690142998222458	0.40907119325517094	0.2772476576100556	0.34272709600485923	0.43875294288501737	0.44633779238711957	0.3767467576326545	0.37016778146001567	0.3941240482341917	0.3487804618859109	0.29212802208527566	0.2838069772784092	0.4700493787513469	0.546341750198837	0.3517913534000414	0.3114045785415173	0.37733630085013203	0.39450731707112674	0.3029119888780444	0.4355626006758889	0.3183782522655333	0.40673688739166475	0.4676202471404585	0.3485810068903069	0.261258889991823	0.4095954284478392	0.36765527912546203	0.4706979806756654	0.28716357824243066	0.39746412164292483	0.509712119515006	0.38336642712897084	0.3735335258102642	0.4273393547866083	0.3843816337196869	0.23459966927234785	0.09205470004079735	0.19058579072884646	0.4796123735966554	0.40157165744709544	0.38604188445296317	0.3903396782913997	0.38635602791565354	0.28348523654305824	0.24434834589021304	0.26325978425929464	0.2690638817533776	0.47522120983667704	0.4071087286089081	0.44255682730239027	0.35762965631765503	0.40676847937004446	0.4232210080858898	0.5772483053331827	0.5625551396930112	0.3528768806134844	0.2537111736196034	0.4346546784938493	0.4747344929250439	0.2552950890173656	0.40473895992262554	0.3057492429869706	0.4299398750078989	0.34274645558757183	0.204114410510082	0.3992246664509579	0.4543984496807536	0.29272967456293775	0.42721861513052295	0.36391689816539463	0.3279395153302707	0.35274702956185844	0.42415769738594156	0.42798870703221825	0.44785835728952017	0.16056810719284648	0.5019742392028548	
P30542	0.2890672542798685	0.3870570193435984	0.34679349367605655	0.5232456521059938	0.4632110770904573	0.4622613010840406	0.4215788575101453	1.0	0.35453919414755386	0.5330713126866289	0.4060096588422284	0.38004649095976445	0.43238643917694963	0.452006319097103	0.4031284745869627	0.5120856818545358	0.4188460474801402	0.5055409991884732	0.5066790201958613	0.2973025068262496	0.4884548114327752	0.4366670303338993	0.47241960066305977	0.413376407562337	0.5782068671609859	0.5433491917238074	0.3637503068108825	0.46193976216815436	0.36117551323833685	0.5660777329381896	0.4507944289808693	0.1699832521669127	0.2915008307548627	0.49003474645103684	0.5438264407974261	0.5364612733986522	0.3478771177351258	0.2408487869223073	0.5032577223704106	0.5867207384687452	0.38141674833107697	0.32342026547838	0.5594012789170097	0.48320340344159246	0.5419280095650986	0.4277998525905857	0.446672325640979	0.5122728491459174	0.5240929675686615	0.5830429469313768	0.5292006003449385	0.6606412234003817	0.19102088052421828	0.4132900658145393	0.3676870506918857	0.3988248416696045	0.3249601258043544	0.4617119162185602	0.4850569942453749	0.5203769304488148	0.3170469098227598	0.4378059850263551	0.43166294376001824	0.3095026513749357	0.5064795697245174	0.41036767134132457	0.5362784426854232	0.4687390259676536	0.4006956055011338	0.44462694669974057	0.5254904656570614	0.5019881896981255	0.4337473544834396	0.42318909068140065	0.41500933894609293	0.28294110520569893	0.36361447740886277	0.48039774809533853	0.26390396742637723	0.5682888876991464	0.523745390520959	0.32976800621576036	0.5332627871458142	0.5579455754785811	0.47905191387154683	0.3820557979746057	0.4853218932699513	0.43072225634286526	0.4144637866296337	0.4824708029786289	0.5453820278548629	0.46439462255240155	0.1229318704154467	0.574544382053729	
P41231	0.2244047401065604	0.44869484392511105	0.16566487668931085	0.32311902309654805	0.34098958176385064	0.6033290870521535	0.17649999419742046	0.35453919414755386	1.0	0.44097658346763774	0.4378886573634291	0.30913561629346087	0.49471773709697153	0.48128030774720576	0.2758297953008245	0.4130868712712965	0.37872280505101885	0.22314510815187144	0.5066393381202374	0.2659122937994854	0.30720590968888956	0.17514344876768737	0.28580359552094126	0.2619487003672488	0.3004084742742516	0.41912114624279684	0.4873506102430269	0.3787136352040641	0.42188007078401185	0.5356693550930717	0.32883888668713507	0.16196700356531407	0.3803383397611323	0.2605036738807049	0.4930102767810587	0.37338298929915303	0.2139262717333474	0.3660216036279479	0.2852452342162483	0.44484745184535385	0.5576391861054818	0.4622118820590357	0.1447515376475242	0.5398493199413366	0.40213010021427803	0.2575943284057811	0.3815148529836698	0.32979952495704123	0.2569523949818837	0.333838019052091	0.2922805994263018	0.4939745545217545	0.3941656977388713	0.24213594355645873	0.5096876113666665	0.6228181542317861	0.36442698613007307	0.5466482743661665	0.23527065081566118	0.44207672434904266	0.5357070901302572	0.2205005452335193	0.2667569520198977	0.5221670946014842	0.42048413692941783	0.303343142322157	0.3701512198169282	0.31346512013137173	0.37535669979828135	0.2808372917948515	0.32598124124174144	0.33865421017070724	0.231564177922868	0.2879678812580957	0.27787062879386604	0.21468357313897762	0.3274642629252371	0.49166925534360273	0.1448129827312996	0.5373747666359596	0.47609600096715005	0.18130575937044852	0.5619318859621307	0.3657516481285278	0.46660668771106334	0.4911071186659205	0.40095940357728793	0.6432648381768706	0.5657405984219799	0.30479496897037944	0.22299248818931938	0.28379811797120436	0.2379351944548837	0.39532846104636077	
P29275	0.30809830463939647	0.36868777667131336	0.2545888524357202	0.40418292869519046	0.2632844444601955	0.3530654737050379	0.3488246301074224	0.5330713126866289	0.44097658346763774	0.9999999999999999	0.33687833385633725	0.3490101753477835	0.5239816239788075	0.352376899064174	0.37268315851400335	0.4356486774707019	0.4319353942127163	0.31932036580235135	0.3475294760018767	0.5895306690019333	0.3778468687810911	0.505874602225602	0.40597606782055434	0.2568657271053351	0.5089060302652773	0.3665203389670755	0.3547380706200656	0.3055434973665085	0.33168165124565757	0.5078827048775876	0.5183842827422884	0.139813098216635	0.24878027650907805	0.5035020787511331	0.4010023805260365	0.32969005794988576	0.23680601616370753	0.3826670513577324	0.456985714757422	0.40931190770498554	0.33800362043800736	0.3738539097001307	0.23161775602362478	0.2969044069089701	0.4266596755305747	0.35730272465150614	0.48165924251856207	0.5259536695023378	0.36155353173025917	0.5365758313278626	0.4513691159555551	0.442092160297589	0.3698267456359099	0.2443335838425364	0.28913090562364085	0.31080007615086314	0.36870983114210154	0.47551646549122084	0.3347148363851832	0.5671992499509677	0.45793733206962894	0.3009394425933991	0.3520050760145459	0.30536629251736963	0.48458564106549706	0.4461773987848684	0.4020103983325756	0.34490317943055715	0.2996859977059125	0.39988853442067235	0.32928831181363116	0.4117116129756914	0.33805901670222727	0.40641890603549247	0.21298614785923278	0.25933468126427506	0.3384562987462851	0.4365718049881438	0.08683657734328643	0.36846313246427387	0.4922583595874906	0.29080783657169146	0.5197038996221135	0.48964902942116484	0.27852741792892594	0.3905056272555443	0.38452247044344834	0.40972732908292914	0.37336947567266304	0.5610094744306762	0.3984500507832372	0.48085304798535744	0.1485654782096044	0.4491997534187521	
