	Q9Y271	Q15391	P08173	P25021	P25100	P43088	P08100	P32239	P28335	Q13258	P37288	P47898	P51582	O95665	P18089	P25105	Q14416	P34981	P30518	P35368	P14416	P35367	O00222	P21917	Q5T6X5	P43657	P11229	Q14833	P29275	Q14831	Q8NFJ5	P51681	P0DMS8	P30556	Q13639	Q96G91	P50406	Q9NPC1	P35372	P30872	P35462	P35346	P25024	P21731	P08172	P30939	P21728	P20309	P28222	P41595	P41594	O60883	P21554	Q13255	Q9NS75	P34969	P08912	Q9UBS5	P30874	O15303	Q15077	P43116	P47900	P28221	Q15722	P24530	P08588	P08908	Q9Y5N1	Q9H244	P41231	P18825	P43115	P32238	P07550	Q8TDS4	P30542	Q9H3N8	P43119	Q14832	P08913	P35348	P41143	P13945	P32745	P28223	P25101	P48039	P29274	P28566	P41145	P34995	Q99677	P21918
Q9Y271	1.0000000000000007	0.37802939232888744	0.2561817805080222	0.43445099629876527	0.34792112561407884	0.31310886625036083	0.29209164958144984	0.2643338039901233	0.30116600948972505	0.371627392382401	0.2625603057563121	0.2138564589049512	0.3780829640888801	0.21798428952721555	0.2738829452155775	0.3958997098452886	0.2982261585498276	0.3451271946394599	0.3099209134192987	0.3443334968054236	0.23620156155825922	0.3864719845522387	0.26037950580800523	0.2612964940884077	0.3320118836150601	0.3997322536015891	0.29067387570168823	0.264276116633024	0.34573692066226847	0.3465926573199345	0.24814987141942624	0.31857157267456027	0.26600046605116734	0.33295825777691934	0.27461372144985396	0.26403173882887543	0.2882929933033619	0.42738806431127696	0.264712147840625	0.29064936961878907	0.26875147355882534	0.2497090378074078	0.38641427997146166	0.5324073197472073	0.3605149085722402	0.3676085168010801	0.2704086037602479	0.3817473953045801	0.27737078490206274	0.29954219726291076	0.28963453960858726	0.2467320424210999	0.2722255567495407	0.3078421042044033	0.5634261533034033	0.30515247933246353	0.3669286500336979	0.30309666052483053	0.28448461284572024	0.3120239998823937	0.376834934701921	0.33844614492484637	0.3589408551539237	0.30379625445813707	0.43645978418820697	0.3047575871936815	0.28111781445958123	0.21717630538670907	0.2612069470611854	0.33613178585799863	0.41814486536876516	0.251286708006472	0.3006978866443577	0.30673842334271473	0.3290941075015433	0.31524608473636956	0.23446526302065662	0.33800146787853586	0.3002844053222554	0.2419230329684429	0.2628383288601277	0.3263659921018225	0.3378512850077919	0.2917153572447318	0.25988426183557967	0.3268391144469073	0.3351924919443545	0.43753440682286837	0.3181721913473591	0.23484517776714053	0.3344360775442907	0.40748819920542445	0.5067396653627498	0.252715539378529	
Q15391	0.37802939232888744	1.0000000000000004	0.30412781617931284	0.36641487385763877	0.315285793383119	0.31670341459336393	0.26828045567911485	0.29973389889907487	0.3088277225247731	0.3746056174027168	0.2928392852641305	0.2910050726621448	0.5076671106707754	0.29897471820993793	0.30820822641687023	0.3664063020235646	0.2893978139044432	0.3582913800306037	0.27412502692050517	0.36228782937924786	0.2821041213417204	0.4027359932601187	0.23701589790509486	0.3179742029400161	0.31089707289943547	0.32290372971594866	0.3598456674813011	0.31119209817340876	0.3657526762516473	0.2929652160297522	0.31722030874630025	0.3462352705963252	0.3608560185809902	0.2817159775488844	0.2781646612505556	0.2892589409836793	0.29662765159455673	0.39133504524034746	0.32032869283764454	0.25464334393632804	0.28716914826045853	0.28185226759920434	0.40297331167648787	0.4106748037726108	0.428660204228894	0.4433314569446602	0.33806051992012065	0.35964855304273463	0.2887491567853484	0.2638729116014981	0.2791017292417005	0.3061329419092468	0.250699731708752	0.2754491260881152	0.36024729437949166	0.26874325872701577	0.3314006212117374	0.3783529047056896	0.26303069580957184	0.2815447372391458	0.48261218383998483	0.3592550601366233	0.40048272090018533	0.3681247634094933	0.4171331572635746	0.3184197239762896	0.28392186248847473	0.2788316926100259	0.363664169804472	0.4876697231535203	0.46268209636386914	0.31306542337297977	0.354129585594218	0.3372433593150639	0.322713442881282	0.3725098833921249	0.3270272943790773	0.3858748951099452	0.3119001851667045	0.26827998730131886	0.3119536731266068	0.3183338988750247	0.3820433384465698	0.31104122169658377	0.24176164691817964	0.2557380256995526	0.2911007375872814	0.3587983057837298	0.36906151573265616	0.3129894615450727	0.3570882101526294	0.3764296762357935	0.36537930688644954	0.28254190652548666	
P08173	0.2561817805080222	0.30412781617931284	1.0000000000000002	0.35017379044353325	0.3907305327400248	0.2847904562449833	0.33743101514033225	0.3738507149422149	0.3084658843291015	0.3270640217547554	0.3211575486548721	0.45347876780657714	0.3062793119849916	0.3395190955412618	0.3411988002162208	0.21674431446071774	0.43050802917966924	0.3315366275480044	0.27473400798431435	0.3504528743560228	0.35609973260101524	0.3949363925064515	0.31848367183375037	0.3772962822170528	0.29735339316543385	0.22577346451581667	0.5281646691248534	0.3933260767467276	0.3217201829139705	0.4059365230577599	0.18731304148051187	0.20676879478062588	0.21805578663053918	0.3350224645964197	0.3628875321369096	0.25934320290288	0.3552772410198374	0.17198890120516547	0.4512600299783737	0.30302959953766007	0.44476188859781224	0.3544390301672403	0.2169829253328254	0.3716330009087158	0.5981325874838835	0.44806256861988275	0.42118015777666573	0.5163745607067671	0.36279265447970266	0.33182969793186434	0.38287665812529903	0.3673788882551535	0.352297664827361	0.3488295812272512	0.20302291919715554	0.3045994228961908	0.5405527485203265	0.4441094078344329	0.4008831505600788	0.37414847221809916	0.2505408753100136	0.2886042641431838	0.2460922801769067	0.4406503013962203	0.26573531153550844	0.1699583122108749	0.24478703548557634	0.41831344754671895	0.4060721220509172	0.31900743361712736	0.2080695761377193	0.326793322728962	0.4367001839248773	0.30814307281030034	0.36655679353741794	0.3338599036043517	0.23176295195448843	0.3212842590939324	0.3332642954757199	0.36823084518793725	0.35669090125908265	0.3155173710691289	0.3918697484239131	0.2672811644322323	0.3591461518015501	0.37653506544411264	0.20422980660535944	0.34080042477602523	0.2950876404193843	0.45328281924195923	0.3979679160048649	0.2637321991577156	0.13175144433412878	0.3882724341025047	
P25021	0.43445099629876527	0.36641487385763877	0.35017379044353325	1.0000000000000004	0.33154150414589295	0.3319933067193042	0.3281676260248614	0.37793203760377087	0.3155282084986448	0.4418580375098593	0.3025197185270799	0.32491350522347434	0.3799995008896886	0.32269762535400237	0.3474640002637339	0.29539302913950427	0.31488198190253686	0.3917091672801825	0.4119938976710459	0.3639382746074105	0.32313679257093453	0.4223816456900635	0.1986782636531873	0.30099790102638224	0.33579682683664575	0.29160364699265606	0.4353688958567496	0.2588999871829908	0.446679559808284	0.264263249833249	0.1706919260147548	0.33152741841587974	0.2102622238098794	0.33461339535613477	0.44909635131673087	0.22907179396748117	0.40746495710166886	0.33363407224482133	0.3762425200864382	0.3362942924606871	0.38809623776637514	0.3511261260721019	0.3672029869689272	0.42684606689068855	0.4325088528140808	0.4230409744632801	0.4183066007409523	0.40709338097299425	0.3741879013946817	0.3451323222719531	0.3148150172700236	0.241752953780611	0.315473527058239	0.32888813666301786	0.33663191492769284	0.3825784791778166	0.4002947489643224	0.3650062214207752	0.3373669085934341	0.27760267038463	0.3444567186478529	0.3971386266694103	0.2949230096484173	0.38150621905510174	0.38207191079188996	0.28601700238809946	0.36677389531482885	0.2769996437723316	0.4003827988095209	0.3551781012378229	0.37516170905021934	0.29826061077439636	0.30572755723304135	0.3379383493352285	0.44320704350259543	0.35486190755276015	0.3277982610047192	0.37552206586048265	0.3610705100598106	0.2826766748595947	0.32418317115427947	0.3215895624785782	0.39608337896399337	0.40666859089147894	0.2730611620402753	0.33849114816534925	0.2708375535174799	0.3733076658597771	0.4098152600290951	0.32967134078874294	0.3976945749036325	0.360980734928671	0.33362765942822825	0.38984179140589437	
P25100	0.34792112561407884	0.315285793383119	0.3907305327400248	0.33154150414589295	1.0000000000000002	0.28409888179457343	0.3637853901708494	0.3378857343067981	0.27651389480223115	0.3067953320274746	0.3045324876777791	0.33042994187528496	0.2538134724858443	0.37752721295797986	0.5764927115967049	0.1625084130866877	0.3793564431356412	0.3489953406974404	0.3250231309494388	0.705571471688345	0.45628692385806535	0.4051134762831413	0.23396733123554864	0.28311846143214375	0.3217066224201252	0.2822700919270382	0.4234707869184824	0.3144830139153042	0.33256824698602006	0.33275827901310695	0.2044019034456226	0.2396730177055846	0.24002892417583943	0.4197051026469063	0.3703110048285587	0.24072000420986875	0.3168808614790833	0.2691503224000976	0.44013942343030166	0.36308944006530186	0.411921976224415	0.38539437755193307	0.2598974542736158	0.47197812761882246	0.4764271877492259	0.43250493594450456	0.40919153623591964	0.3806671491295171	0.4155929808216217	0.35131491964749106	0.39887559913311144	0.2575462420404058	0.3192866861757164	0.3024734649546865	0.36697512042221636	0.37503803020659215	0.4098037636001993	0.322216342642345	0.369173123056998	0.3141990451364047	0.31118042091997095	0.28714727892253145	0.3594628747909244	0.46274788614276585	0.31380811878791204	0.42365240249727587	0.40868420658618165	0.3352528211022364	0.33361911615235473	0.25766649764425165	0.32714582218038835	0.562547802042928	0.3578175840628356	0.30774818760656486	0.5067378981447226	0.2767059489388015	0.3616176927106793	0.27947970854632764	0.38115070800157824	0.21643091758212613	0.5336439943936512	0.6693536415507484	0.4100393986206109	0.46180593513408685	0.35209291069188264	0.3602751278235287	0.3734951226805399	0.3447365582256728	0.34812750663189107	0.39939707522354384	0.39200402465515194	0.40259733907448947	0.2167979556967674	0.33779647693407006	
P43088	0.31310886625036083	0.31670341459336393	0.2847904562449833	0.3319933067193042	0.28409888179457343	1.0000000000000002	0.32436180864852815	0.3277618333738782	0.3223369903717497	0.3152892712727148	0.3829833735488477	0.30897852020392796	0.24044556724365423	0.30339984364919914	0.31931202011817844	0.30264332925048987	0.23275389719013323	0.3710398876924565	0.2843074977198867	0.33913524050901184	0.2656684267935644	0.3655632009060107	0.21023508756518194	0.2891224190189279	0.30826922495442444	0.35526176509991614	0.3415161617150809	0.22231458020743622	0.2464755100140746	0.24204772444402572	0.3070677286764744	0.2905081357190676	0.3215494542551694	0.40866734610141553	0.342424692944541	0.26313146290919864	0.28342904774609845	0.365821232808593	0.3041600626516441	0.3146663712968716	0.27835822218373046	0.30614880512127296	0.3203905022405645	0.4538978183476319	0.3605844810174291	0.3855494810107275	0.29116051982240804	0.3951748302327549	0.3286996540478314	0.3096756083638291	0.2618473349312135	0.214385084299215	0.25897684820322375	0.24618490797385967	0.326728062203383	0.2729983291119121	0.40073471308078523	0.350436654705801	0.29839395410528236	0.21898895564534848	0.3080439045603193	0.43590364140849314	0.27417134128131215	0.31112656703408303	0.42770804827239167	0.2235461525728727	0.2668335482241328	0.2914687923158795	0.31002203971725634	0.26630572966789356	0.24279752287952988	0.3114256086117981	0.42208771016905017	0.3253412252908567	0.315730546682503	0.3184183924573476	0.22637043046343625	0.27359888808980204	0.3392651941874259	0.24911200375492354	0.32356517904690435	0.3178002036098262	0.3382939157479394	0.3183677654935899	0.2683750220415667	0.3053179068488332	0.39389366378106944	0.28931569562246684	0.24606465246706588	0.30964822682881926	0.34432296608354174	0.5180437182298487	0.3105477295054739	0.2922395501781652	
P08100	0.29209164958144984	0.26828045567911485	0.33743101514033225	0.3281676260248614	0.3637853901708494	0.32436180864852815	1.0000000000000004	0.4009182130930325	0.33156749802708124	0.3706150603623307	0.30316837666442875	0.337341695929528	0.3053787029673212	0.33061901969036567	0.2703083937617018	0.2996338193917122	0.3387303753066543	0.3580710754424908	0.47356801513791924	0.35016370107124584	0.3924105627768525	0.3397704098541284	0.22209615678479458	0.3036423135937769	0.28997134597015833	0.26610728575131226	0.430418384766587	0.3421087548341591	0.3762154158246983	0.346288953979927	0.2407144606477113	0.3999023714713561	0.2629070133591647	0.4558505657794393	0.35794892080780877	0.2958999421674893	0.3910455659173755	0.28842746980167433	0.39778320444945653	0.3840490054205	0.36377181787010693	0.42541150517823056	0.3312628818681891	0.4036003335716361	0.45224409639874263	0.36960508772958933	0.39643770098779435	0.35920050250609054	0.341572061794131	0.23102029065120538	0.3543305534897231	0.34258598341546165	0.37950294473365465	0.41728868726775825	0.2510750742470139	0.33670076731494214	0.34077199839179695	0.42196177346105557	0.4120150352353834	0.3797891779136234	0.3243312278485725	0.2877048297502533	0.3830918141068406	0.33229665405481434	0.3514179697188763	0.37450430863503126	0.25832379397769084	0.38157218129748016	0.37737188234272706	0.3019718806413233	0.32145554555580336	0.26188960365392366	0.34062309880054653	0.31655603060633597	0.42998735250067815	0.30257287333644356	0.3824545693142156	0.2677069183356386	0.37139938396173866	0.2931668746151827	0.2312584483170746	0.3183617635761734	0.45121482831306925	0.28555372297639514	0.4571302334744121	0.32418913835415986	0.3841060463356563	0.3556448914829844	0.38568101272687955	0.31423782934126543	0.42811033033002655	0.38795169398940027	0.23448269258037285	0.35547895484691083	
P32239	0.2643338039901233	0.29973389889907487	0.3738507149422149	0.37793203760377087	0.3378857343067981	0.3277618333738782	0.4009182130930325	1.0000000000000004	0.40231066928291476	0.2805475930216532	0.3212537591637272	0.42879295419666696	0.29852044163327723	0.500060707206749	0.31800849967165745	0.2729104399338376	0.40194689896182556	0.4186673088024797	0.34143786392228853	0.4277744544416987	0.3850953580267249	0.394927217871677	0.29070395329479015	0.2902596740794654	0.30177927850763975	0.3723176828355131	0.5099271293093368	0.400112488458486	0.3723723388607605	0.35411249734491124	0.3130443842573563	0.31597983753942027	0.2282537996226573	0.338035493105689	0.3264050828996685	0.23638300951665034	0.3566245165350137	0.283334767844778	0.3510859548468626	0.35665828298241753	0.39370111482918535	0.34617269630318115	0.28160814361366937	0.4058943654139652	0.44008512870286237	0.3938249146104673	0.4556902099536507	0.4202810741265422	0.3564162123336593	0.3692871124408067	0.4754276062901297	0.4337020106532089	0.41675555391028873	0.48635103474819374	0.2408322982474192	0.38691570820718485	0.39856411726091606	0.41950256775673284	0.41917095393362197	0.3158081177403395	0.32244733191214736	0.25800157541990576	0.3305079373740528	0.35112666510013385	0.3474888874530926	0.35074966556042664	0.2685160076538876	0.4345773738131904	0.48257115293388525	0.279610022382102	0.3567392353197305	0.3258194610188935	0.31826934001419677	0.6602128846215103	0.3790089405880268	0.3138223776375668	0.383818927306209	0.30285184458713976	0.3694816126953916	0.4170739523763094	0.33544678633925873	0.33157796712236165	0.41119696742539097	0.3288749003445425	0.3235306765915082	0.41761143858069194	0.29684230211584234	0.376275385297819	0.33124530911499356	0.47865021433607774	0.3943103377223697	0.33805652979691314	0.2860912309851513	0.4005363257517004	
P28335	0.30116600948972505	0.3088277225247731	0.3084658843291015	0.3155282084986448	0.27651389480223115	0.3223369903717497	0.33156749802708124	0.40231066928291476	1.000000000000001	0.333700080143733	0.38594552515730796	0.4043822319271061	0.22203118768740313	0.33092116656122794	0.3549302787668085	0.24923705447009206	0.4631901119755341	0.40745594933073187	0.32285914682696404	0.4637102602770811	0.33323383866605594	0.3634195629283071	0.3573243877288973	0.3329287759729254	0.3085194990738014	0.2649722240820809	0.45754543264615993	0.44758038479435536	0.37481429289657564	0.3814319099217601	0.2283710473225184	0.30026797278525713	0.25951285286358927	0.3167010254834476	0.3956374316398945	0.2686926404184646	0.36964443561658233	0.2534228383943617	0.2950306452285414	0.369906387254161	0.3988702302300935	0.35932178365848666	0.24619563585205134	0.4009632290917621	0.4735098019879227	0.4464986336173172	0.4852829686528745	0.37879834086945474	0.47705084761242694	0.38505893273254865	0.4938089253877812	0.2958158402806571	0.414105316865671	0.4426631358507843	0.2612381702075309	0.48947421950850317	0.35923413110585944	0.4160617249115137	0.38012182795263194	0.28823957029830316	0.23405505459471304	0.2822834626578182	0.3193273527306071	0.49636747382564517	0.3321048827923445	0.2978534365446933	0.3668643465257705	0.5168258108123649	0.46712108675225145	0.2945218986927879	0.2611440914605342	0.38452616647996163	0.3308101178124483	0.33255972723388044	0.365924045169166	0.25155615453904356	0.3895661764196938	0.22979263806873035	0.24127307161460698	0.47143126229632304	0.3453543057581746	0.47140617563148934	0.4094087951007749	0.40134537312411683	0.3183658633073628	0.4955279514187175	0.3019779231603944	0.3747457508540003	0.3749053375896264	0.44254477133432296	0.42415973903970317	0.3217667484052784	0.30951597935722774	0.38783420343312486	
Q13258	0.371627392382401	0.3746056174027168	0.3270640217547554	0.4418580375098593	0.3067953320274746	0.3152892712727148	0.3706150603623307	0.2805475930216532	0.333700080143733	1.0000000000000004	0.28642457862431536	0.26345748253550944	0.31778728149581914	0.2805475382830082	0.3058416917570577	0.3309813881778011	0.29460024116550876	0.3629120111541889	0.4022401091772523	0.3241833398447786	0.35704629843794444	0.3601306576033175	0.24847253251013623	0.29743970037209655	0.340457864787849	0.34622377766502055	0.3881597465963291	0.2990207850343286	0.4459225272094437	0.2895204822771139	0.2853065807801996	0.42914107221898146	0.22842689187004347	0.4519951422848326	0.3591331566856877	0.26381352694399907	0.4037413270689565	0.3210353174225436	0.3366477401312685	0.3587592005620589	0.26001776052079983	0.36819840662318837	0.4292368306761268	0.5417089661463774	0.4018069994334565	0.39489969408211173	0.3580789207512005	0.3620858079474999	0.30643347738938553	0.3258690057845589	0.3443754292228681	0.3137529516082166	0.36973185203535275	0.346433296995037	0.42009058053827253	0.3567872510878264	0.372612985946981	0.3566120410368878	0.3682090211138956	0.3035087371662358	0.2926804347313825	0.5415090045093639	0.35931580558927023	0.3423634907920602	0.38545726503189287	0.3940354030707089	0.36949358735236837	0.29785954070639836	0.3973453223858203	0.3578208355731113	0.33196936117958054	0.28823410271686195	0.4138309169171693	0.24475649008604478	0.4999392992763629	0.3965515189537083	0.3293044444091575	0.3661746576215714	0.38736360974661355	0.2815252527339085	0.311529829127965	0.29600340111763945	0.38423603029833686	0.35889037518087497	0.383460430588269	0.3232988673561411	0.37241073272410313	0.4240794284692597	0.3863676394949395	0.3211672049887605	0.37509334216720824	0.46332755732278047	0.3436549996504436	0.301321172447847	
