	P48039	Q9H3N8	Q8TDS4	P07550	P47898	Q9Y5N1	P25100	P18089	P13945	P08913	P25101	P30542	P50406	Q13255	P34995	P30872	P35372	P08908	P21917	P41143	P43088	P34969	P0DMS8	P28222	P21728	Q9NPC1	P30556	P41594	Q8NFJ5	P43116	P25105	Q5T6X5	P37288	O60883	P29275	P35368	Q99677	P35367	P08588	Q14832	P51681	P24530	P28335	P30874	P29274	O15303	P20309	P47900	P35346	Q9NS75	O00222	P30518	P25021	P32238	P08912	Q15077	Q13258	P18825	Q14833	P08100	O95665	P14416	P21918	P41595	Q9UBS5	Q14831	P28221	Q15722	P11229	Q13639	P34981	P41145	Q9Y271	P43657	P30939	Q96G91	P21554	P21731	P32745	P41231	P43119	P51582	P35348	Q14416	P28566	P25024	Q9H244	P28223	P43115	Q15391	P32239	P08172	P08173	P35462
P48039	0.0	9.290317075143491	8.725363191774989	7.142704675425111	7.924507259754457	7.0497718811877235	8.114212190637756	8.696279391185398	8.272388364612713	8.46379392160765	8.197528414869799	8.201661839550317	8.604021280913736	7.477744909858433	7.662151255808949	8.337252300211167	7.990798773240043	8.249957304170339	10.83670682718051	7.373111005592212	8.913868844935207	7.829141451579696	11.85344437972127	7.915631109436202	7.2863673615865165	9.718702432226102	7.406044842954873	7.30573758548896	9.90262269878345	7.8108620736315455	9.332321474035366	9.689563328055794	8.63909106091423	8.484979781968741	7.609152464546373	7.6649276606953345	9.836625499238073	8.124251993718628	8.657593684166283	7.763025240733174	7.576157348510593	7.935609645699968	7.727270529809838	7.665712965719568	8.239045209057272	8.35731563126266	7.649910574442717	8.212733062869672	7.968759082826831	9.064668675796401	8.793102623803748	8.209748801772383	7.847695275109693	7.894225606960844	8.17456842380373	8.643130118690497	6.907205330164759	9.208074816885144	7.8598133156387835	7.079505437012401	7.997566618957997	7.850004900778351	8.667278327123922	9.278293110057824	7.191932564098671	7.154709538575553	7.453986728138441	8.027886449021368	7.300949391515211	9.506218935511239	7.325117523756253	7.743102109896973	7.7812218600793175	8.638645542666191	6.580023218152675	10.678646285342216	7.738217256443653	6.37732728359552	8.259239834419162	7.932690208521828	7.110194641890156	8.106416365518937	8.238587300227605	7.029992499694225	7.491107745596999	7.906624337387091	8.595188396923724	8.55631437314589	7.8081047233279515	7.8813632414975485	7.319044248245353	6.169472116147227	8.590554332585025	8.225786026774784	
Q9H3N8	9.290317075143491	0.0	10.206410420556383	9.034197196215315	9.365226592707236	8.508501474056464	10.015998823781986	9.912946457905118	9.777338673569506	9.730665749032053	10.075120409831282	9.490967049621673	10.35714587340932	9.604432979608612	8.871211246267793	9.876505431152992	9.886025254073221	9.664346449473573	11.51184321216047	9.033384494925388	10.412230473464136	9.175303654740569	12.731648901516298	9.76015762206663	9.021838517457136	11.091990605792866	9.1229490733723	9.298835482706988	11.041273612336434	9.550115448851958	10.8561299871129	11.694791217274966	10.615498706527799	9.958105830179303	8.942272510763537	9.391047479351005	11.77652720069965	9.638759096365805	10.384543394179047	10.091542457993137	9.330712862433646	9.84859479333276	10.175006325568448	8.856417277489289	9.896821908303572	9.92873561141378	9.581274326137118	10.391699366080571	9.57598920460665	10.204882074303072	10.564885424919506	9.722235814718156	9.291594409214756	10.387287302652583	9.884429990880006	10.244463425294475	8.932413519209668	10.587151074459149	9.937176846172495	9.344536532138504	9.86000709001233	9.79629315542087	9.74159391026859	10.442473340737612	9.116909949086617	9.268152044928154	9.486444234982407	9.203253067789866	8.938226488083057	10.7679540705921	9.232294363686517	8.9216660398032	9.818755366833999	10.035991985948524	8.353353883347292	11.298794385787414	9.659426324280734	8.470410866663219	9.618273249975916	9.615806338172307	9.208625224913767	9.533675279704774	9.895188914219384	9.338457970551758	9.307470283954137	8.864278854705203	9.866254271044042	10.009035780906892	9.406804838486774	9.181033408027973	9.408073765061175	8.418445712920837	10.070195966963574	9.71739302771407	
Q8TDS4	8.725363191774989	10.206410420556383	0.0	8.29353334804858	8.967537408584832	8.308859030157581	9.418394131589402	9.697176420917327	9.553989127719396	9.290549223822197	9.401976447349652	8.985278725779127	9.76786530856316	9.128498827920135	8.583177383922974	9.309542885479608	9.10613132504281	9.732512772672392	11.260475365210935	8.659708013304652	9.527591996782771	9.149752410098639	12.326611685524691	9.160551627483272	8.84920482398742	10.142970555506084	8.439884176387633	8.91600052791238	10.662773004809152	8.423396873373198	10.206228874056734	10.867311423705745	9.827413061803881	9.509919796061858	8.560343158620016	8.917454307066029	11.0593878315811	9.594630814027036	10.236833937417948	9.28199901714706	8.293251377725428	9.171661788348874	9.396329012403267	8.633027353150037	8.872631209085434	9.774037900659799	9.580559482432536	9.605077120872394	8.792932364311758	10.289696071355017	10.549930132375318	9.71281091391728	8.830029059808263	9.43344386165834	9.922732711753396	9.519437314353558	8.067039085455917	10.077392352150072	9.569466267127105	8.4379902346183	8.99873239465087	9.032375932016468	9.85501697560323	10.699617801782257	8.726061244356226	9.137190209811136	9.246618934436725	8.190558417198169	8.602304617722066	10.293723905870333	8.70412927317744	8.723564873385886	9.402408936442802	9.351243292235145	7.80883293161113	10.973809435762725	9.148201679576806	7.880264987837979	9.109532584878552	9.41949834293831	8.62803217308353	9.084707639851182	9.825389338652359	9.056277022416404	8.924344132083815	8.082450849777066	9.301235852583018	9.827479393715652	8.047016022383723	8.666271228261818	8.668509071425095	7.83303006231833	9.419795284601863	9.564165880143083	
P07550	7.142704675425111	9.034197196215315	8.29353334804858	0.0	7.029455886834579	6.0772508892903705	6.5234645643281155	6.716729856453842	6.102983506783975	6.707012049564151	7.157474334143342	6.94406719598052	7.884995963785069	6.923936628846607	6.516471164829887	7.909713515996197	6.588762062738867	7.341652364005121	9.778889083407373	5.72120956653367	8.14030888337056	6.4914520091796915	11.457446064569147	6.942952426279122	6.068070399819306	9.433516761098005	5.219178062515073	6.420011424014845	9.646374907578698	6.637984164182362	8.687747896872368	9.372487128014493	8.074726836132141	8.274103953644849	6.228574503051853	5.583860158067382	9.558905184768928	7.6050858485828545	5.473047348937683	7.20266925132224	6.431599338064945	6.739389719081144	7.0925102782518525	6.770367888276747	7.067707832591956	8.079384104418773	6.680804323126672	7.634909410556035	7.151964036234693	8.573744010470731	8.599248309800966	6.451996804725784	6.7976224789648825	7.541963351032679	7.647647502678691	8.08615388766581	5.6953958287292465	7.465446911891647	7.566605330320683	5.808471785149701	7.189527286850681	6.306204590759698	7.1574450320220055	8.481794524061552	6.1455134292079014	7.131320370514227	7.462189589448464	6.969616450802876	5.632521852864056	7.940653019618402	6.563425851087676	6.078538567173871	7.865296233999842	7.7337228147147865	5.826918110086269	9.75288732113707	6.611032647735413	5.215608030273959	7.597998212588174	7.362888086478611	5.965185913811433	7.828965931545976	6.728500427758215	7.181999651748351	6.962428576734748	6.998085616016917	7.492500319167962	7.4437347815155706	6.66513740342541	7.390211240556467	6.521855322562986	4.645264917564654	7.861991476308511	7.2414657876745006	
P47898	7.924507259754457	9.365226592707236	8.967537408584832	7.029455886834579	0.0	5.155523335571163	7.917707252688005	8.577691496065862	8.645273549465983	7.848980660652456	8.271512513415777	7.426977284782007	8.5912136798508	6.2317190615940055	7.984953620230284	8.18178177456904	7.020952540113131	6.534126054685607	9.856915879133874	7.246681252692867	8.530938531267635	7.412820167190061	11.859962690506851	7.281736919963996	6.176642284282883	10.354350862069435	7.335209070056336	6.021061959298153	10.074501814591716	7.743454247628001	9.69818705958591	9.58537925644602	8.838308666787556	7.775852295626214	7.429819176942049	7.459826613857623	10.99697595575993	8.225677270742505	8.42134480059568	6.364790514466276	7.743339954846694	8.00942073460695	7.261276990813817	6.940314460810916	8.15025315866456	7.904864911248327	7.503795950110724	8.778215574586325	7.753962282045738	9.406602256185403	8.031280825626489	7.810929890431572	7.852206604929062	8.115735894441851	8.448560407849582	8.819361548693477	7.430059215753342	8.776467718046112	6.540754688378875	6.8010363885784555	5.905611485891129	6.9809367935079	7.375787539978244	8.9532413992501	6.36761632225803	6.438080749101706	7.436707906602141	8.061389477462585	5.808747151206682	9.39235231622387	6.9265657505210205	7.321919502003165	8.886158639433226	8.305968294956042	5.8571603666979115	10.121989726980324	7.261890858916564	6.467622015327119	7.757783366510277	8.107683703992594	7.123328169843433	8.052314343502601	8.301225392127291	6.787627404802556	6.116062791136405	8.149871908901941	8.164097508681385	8.2511196272552	7.296527598201999	7.981738523803019	6.691757916493878	5.689794326301577	7.6236320534588735	7.200788824407757	
Q9Y5N1	7.0497718811877235	8.508501474056464	8.308859030157581	6.0772508892903705	5.155523335571163	0.0	7.522934051023567	7.697212053025608	7.735840891605128	7.464780209642269	7.543897957438052	6.080220902915315	7.968580426597438	5.503415529398454	7.030390950114687	7.107093678787335	6.877406269434964	6.135057819242561	9.280206534466384	6.118428539836761	8.182505502077476	6.72129789228083	11.432346814839795	6.434363861392951	5.255413790000823	9.160096430656141	6.534022206680294	4.993188278195148	9.199372294287905	6.955795723917455	8.725482391752703	9.149202052385068	8.111397187742861	7.4566479591042905	6.514354691016245	6.708088967427427	9.721525893843605	7.201698207207193	7.692671625695904	5.961371529757615	6.823672685096952	6.931857657619661	6.537185220147642	6.12854892657327	7.0522444813752685	7.450456945351475	6.782236629267663	7.797808662474205	6.865316726759376	8.69794377147784	8.040813688617813	7.2498926907177506	7.051705760548743	7.607638274644156	7.694498578999558	8.21566905964736	6.2659005806289745	8.131556511905224	6.092528428391042	6.08814479407581	5.611374433523978	6.176076353930486	7.022116511216567	8.46131935768827	5.166830174931084	5.970663297406112	6.526314071587597	7.306654040750544	4.623726948113156	8.988352136769928	6.336688135499896	6.272455912205095	8.236768888624194	7.6961856656344025	5.160938388684324	9.585486473814662	6.131561736470959	5.442863310384348	7.130949645912133	7.439058965502234	6.2344056328908	7.863063534174951	7.825373098223078	5.757175938428595	5.024612059610424	6.829043925905026	7.625440594710686	6.992126975939472	6.731086098118556	7.185647997078922	5.97233403419557	4.633173631348114	7.64707610094797	6.981303414501593	
P25100	8.114212190637756	10.015998823781986	9.418394131589402	6.5234645643281155	7.917707252688005	7.522934051023567	0.0	7.1674527261610805	7.805771682789897	7.3646310939372865	7.890768127247284	7.992140500854575	9.235584857197326	7.923909905260916	7.6702602389530385	8.439140408889598	7.520808114875454	8.428141108671076	10.66076564280164	7.432674494109506	9.139870284630883	7.776637240037576	12.090401266194744	7.824846867322758	7.182763340421366	10.17385902909461	7.141242657876547	7.209674500932388	10.447095823834276	8.318291690956835	10.075893467542274	9.877087053955062	9.05213335884998	9.13431248901501	7.916537748602918	5.386972831803947	10.58320154345914	8.142577634110337	8.16438921951023	8.716386608358073	8.23166701134358	7.3449699329603915	8.535515631538347	7.774414155477259	8.301930489813543	8.740611256355182	7.75355385298602	8.391988594200441	8.114879727688487	9.013945633979658	9.583866726774222	8.185684055733311	8.314249348123052	8.53460112474302	8.246102160669883	8.91420092103876	7.813667883508439	7.593728082790608	8.395866894375462	7.297193305771708	7.743273576814927	7.222784878594861	8.465408337459909	9.30670112486076	7.662409087631112	7.903709660311408	7.701959987376409	8.329718004852097	6.942011989873386	9.426146953206358	7.637152037956394	7.585817209710665	8.561022286885803	8.725510193759682	6.832812022514537	10.620465557991427	8.175245744001206	6.531527193913351	8.419783671933025	8.198245297629002	7.189188165416758	8.965149809352805	6.098046754249161	7.6768300748910745	7.600855459069354	8.319278871032193	9.101947265948992	8.36985501500105	7.948368430723487	8.359174334101159	7.776431738446307	6.420601622466545	8.436950451896857	7.967313367462312	
P18089	8.696279391185398	9.912946457905118	9.697176420917327	6.716729856453842	8.577691496065862	7.697212053025608	7.1674527261610805	0.0	7.1174969061963695	5.80601800856165	8.841076927713459	8.24695940301993	9.685447802186097	8.683235321569995	8.457907861421663	8.821194145885562	8.323133858784537	8.317374630279607	10.64321252537345	7.776516355482235	9.444542467766407	7.984909728405698	12.109356678290204	7.814248525165855	7.609640135925256	10.709338197749684	7.909139425053192	8.075166563404686	10.507389962558742	8.985957218541422	9.895846309109293	10.573076586407051	9.606252807485394	9.734478623863614	8.288285675597773	6.024926343951091	11.052666832880082	8.992981130425733	7.413164355638976	8.364972670898958	8.678394800645755	8.809153212253307	8.654003625061526	8.374366619481707	8.414706218483838	9.292577669844563	8.877487990551579	9.254396125901566	8.611476043571914	10.180943850963997	10.132693645845977	8.858361242441543	8.796036626053485	9.628090902231968	9.617165910207927	9.610440616973356	8.50279463783499	5.698601370339059	8.709870342611397	8.506021192408186	8.664521530352483	8.086088539397503	8.596945996811032	9.43830913576907	7.752478086283604	8.448162120559722	7.926477136095157	9.047989408467556	7.861713460538274	9.086039952747644	8.606469644902157	7.863601544510171	9.599721217612412	9.246172544199501	7.53091295162905	10.918356060178326	8.416450895721841	7.423709766810529	9.308729386200657	8.849778165434815	8.321334416586723	9.236300238221963	6.835666177095852	7.935459268166481	7.988255937201934	8.902877213802146	9.10790839413985	8.59672030022751	8.007477289448316	9.003793293380452	8.550227086556418	7.1481757150034095	9.292154312443717	8.353696834859607	
P13945	8.272388364612713	9.777338673569506	9.553989127719396	6.102983506783975	8.645273549465983	7.735840891605128	7.805771682789897	7.1174969061963695	0.0	7.000448152867402	8.537187708113345	8.221726581642917	9.186314383748075	8.38497882444936	7.947131849522591	9.056165941016955	8.496316822203813	8.515129487943222	10.891347606399204	7.343241496920256	9.191521543369767	7.299410245797139	12.322867092762687	8.024383402059383	7.48417510191899	10.580512147588028	7.434611969035122	7.934470961429421	10.611938182935477	8.261715150587039	10.264700856450085	10.16390212375928	9.267381127170271	9.600534402203456	7.913983839793276	6.426123468050262	10.415891170466468	8.741815379268973	6.704917750121126	8.42085489006141	7.992313948420112	8.48058988344978	8.061810160200926	8.414926015364875	8.366926641079585	9.225020981070076	8.394202201362754	9.116068001289847	8.838273691531123	9.776696225632415	9.780902629524851	8.576573453171063	8.119888164532709	9.061174646333992	9.109999863244454	9.26807964229593	7.8717140833285795	7.626201665214113	8.86695828926007	8.079232311254355	8.658753647016598	7.888243997153313	8.492543887618458	9.751279802234182	7.981610753343544	8.488596162497496	8.362232486755172	8.479268041413077	7.769068491713255	9.221080972299967	7.973441123070708	7.8957109759572655	9.208684206077091	9.041126414169891	7.550194488712063	10.723439888570217	8.343961130866699	7.084118003326969	9.379949698717214	8.525013476295303	7.955148007455601	8.687952199351713	7.016934011377063	8.135507280952341	8.233494271664911	8.500640572409042	9.086401044313684	8.433345980073387	8.063069301042997	8.693928134393895	8.167662214921407	7.100207867800726	9.530220041695975	8.53199894273529	
P08913	8.46379392160765	9.730665749032053	9.290549223822197	6.707012049564151	7.848980660652456	7.464780209642269	7.3646310939372865	5.80601800856165	7.000448152867402	0.0	8.815688814777927	8.360855417633168	9.400075847180823	8.206254828039242	8.285427225081563	8.741892804783237	7.932323265077985	8.405017960997203	10.775679579485187	7.827561040321603	9.257814358471068	7.627183480958685	12.420956288141642	7.837896764786356	7.277789182504709	10.513404265738048	7.88958262435251	7.766725804589858	10.612401738216422	8.711340275134482	10.093588727237332	10.176449452910001	9.280579764276299	9.576739914851714	7.962133451789417	5.89179937236615	11.051370888993677	8.847318127419166	7.604970030877388	8.0796584250632	8.666537586287571	8.732810601061807	8.540524143674986	8.140798699692386	8.18068366887646	9.316247404958508	8.62310316148816	9.132787460535583	8.405106805786795	9.783945264995548	9.249165071662734	8.992291247242482	8.77527181036557	9.253174819193548	9.296046596119634	9.414694608129755	8.27109896278797	5.795778110543073	8.503331326592935	8.493722750078213	8.470213958468328	7.614676095104747	8.402157598776723	9.737811898890264	7.791412077162684	8.213384852420052	7.619204990368147	8.859934588000765	7.623008916613256	9.306266738297806	8.51954123648765	7.749549478675539	9.50372040911108	9.135803777126622	7.266837951519701	11.001822150783715	8.370387605311711	7.223625925223522	9.163299244187229	8.592927181883681	8.250108409646304	9.118252317548833	7.106017619183545	7.824382264681328	7.697983499842599	8.86986617979123	8.982150677436683	8.23790715034541	7.908579976979603	8.802918335972574	8.25424833143638	6.958118305235045	9.02891125108125	7.8395882891234505	
