	Q9NPC1	P25024	P41145	P43115	O00222	P43116	P30542	P35372	P28221	P08173	P47898	P43088	P21728	P08100	Q9H3N8	P25021	P18825	P30872	P21731	P47900	P30874	P28223	P37288	Q15077	Q9NS75	P51582	P28335	Q14833	P41595	Q14831	Q15722	Q9H244	P34995	P35368	P21918	P24530	P14416	Q9Y5N1	P25101	P11229	P20309	P48039	O60883	P30518	Q9Y271	Q99677	P30939	P41143	P34981	P32238	P13945	P28222	Q13639	P30556	P0DMS8	P43119	Q15391	Q8NFJ5	P29275	P29274	Q13258	P35367	P32239	P25100	P35346	P43657	P08588	P08908	Q13255	Q5T6X5	P28566	P41231	Q9UBS5	P08912	Q14416	O15303	P08913	P35462	P32745	O95665	Q8TDS4	P25105	P35348	P07550	P21554	P18089	Q14832	P21917	P34969	Q96G91	P51681	P50406	P08172	P41594
Q9NPC1	1.0	0.125	0.09836065573770492	0.11666666666666667	0.11842105263157894	0.10606060606060606	0.12121212121212122	0.1016949152542373	0.16216216216216217	0.10256410256410256	0.10526315789473684	0.136986301369863	0.1016949152542373	0.08163265306122448	0.18604651162790697	0.18309859154929578	0.1282051282051282	0.14473684210526316	0.16326530612244897	0.1791044776119403	0.07692307692307693	0.12162162162162163	0.14666666666666667	0.19696969696969696	0.1518987341772152	0.1935483870967742	0.12698412698412698	0.09230769230769231	0.13253012048192772	0.11666666666666667	0.2909090909090909	0.1527777777777778	0.17857142857142858	0.1206896551724138	0.09859154929577464	0.13333333333333333	0.09090909090909091	0.07272727272727272	0.140625	0.07272727272727272	0.14285714285714285	0.19047619047619047	0.1875	0.08196721311475409	0.2028985507246377	0.17567567567567569	0.17307692307692307	0.15	0.1896551724137931	0.19444444444444445	0.1267605633802817	0.10810810810810811	0.13095238095238096	0.17647058823529413	0.13793103448275862	0.10344827586206896	0.22058823529411764	0.1794871794871795	0.2	0.18309859154929578	0.16666666666666666	0.18666666666666668	0.11666666666666667	0.12698412698412698	0.1791044776119403	0.16417910447761194	0.08823529411764706	0.078125	0.12280701754385964	0.1875	0.14516129032258066	0.1694915254237288	0.125	0.1527777777777778	0.11864406779661017	0.09859154929577464	0.10810810810810811	0.10606060606060606	0.10810810810810811	0.15	0.11428571428571428	0.2361111111111111	0.14473684210526316	0.10909090909090909	0.13114754098360656	0.10810810810810811	0.14285714285714285	0.15	0.15	0.14492753623188406	0.18181818181818182	0.1375	0.0784313725490196	0.08771929824561403	
P25024	0.125	1.0	0.2413793103448276	0.2	0.10204081632653061	0.16666666666666666	0.16216216216216217	0.25925925925925924	0.12244897959183673	0.12244897959183673	0.23076923076923078	0.15555555555555556	0.1724137931034483	0.2222222222222222	0.12698412698412698	0.17777777777777778	0.16326530612244897	0.16666666666666666	0.23809523809523808	0.23076923076923078	0.21875	0.13043478260869565	0.1702127659574468	0.2	0.15384615384615385	0.2647058823529412	0.17647058823529413	0.14285714285714285	0.10526315789473684	0.16129032258064516	0.25	0.18181818181818182	0.16666666666666666	0.1724137931034483	0.09302325581395349	0.15625	0.16	0.21739130434782608	0.13513513513513514	0.21739130434782608	0.13953488372093023	0.1891891891891892	0.15384615384615385	0.34615384615384615	0.20930232558139536	0.14285714285714285	0.25	0.22580645161290322	0.22580645161290322	0.1702127659574468	0.13953488372093023	0.13333333333333333	0.12280701754385964	0.20833333333333334	0.11475409836065574	0.13793103448275862	0.18181818181818182	0.08928571428571429	0.28125	0.2619047619047619	0.28	0.11538461538461539	0.2413793103448276	0.17647058823529413	0.17073170731707318	0.14634146341463414	0.16216216216216217	0.15151515151515152	0.17857142857142858	0.12280701754385964	0.17647058823529413	0.3103448275862069	0.28	0.13043478260869565	0.25	0.14634146341463414	0.13333333333333333	0.16666666666666666	0.1590909090909091	0.1875	0.11904761904761904	0.20833333333333334	0.14285714285714285	0.2	0.22580645161290322	0.13333333333333333	0.17142857142857143	0.10909090909090909	0.1875	0.17073170731707318	0.3076923076923077	0.1111111111111111	0.14285714285714285	0.19230769230769232	
P41145	0.09836065573770492	0.2413793103448276	1.0	0.25	0.1836734693877551	0.15	0.175	0.35714285714285715	0.2826086956521739	0.20408163265306123	0.38461538461538464	0.14285714285714285	0.26666666666666666	0.23809523809523808	0.13636363636363635	0.2127659574468085	0.17307692307692307	0.2	0.2	0.15555555555555556	0.22857142857142856	0.21739130434782608	0.1346153846153846	0.18181818181818182	0.10344827586206896	0.175	0.29411764705882354	0.2571428571428571	0.17543859649122806	0.25	0.2222222222222222	0.19148936170212766	0.11428571428571428	0.22580645161290322	0.1590909090909091	0.1388888888888889	0.2692307692307692	0.3333333333333333	0.1794871794871795	0.28	0.20454545454545456	0.2	0.13953488372093023	0.18181818181818182	0.16666666666666666	0.15384615384615385	0.25925925925925924	0.4482758620689655	0.23529411764705882	0.18	0.15217391304347827	0.27906976744186046	0.21428571428571427	0.17857142857142858	0.07462686567164178	0.1935483870967742	0.19148936170212766	0.06557377049180328	0.21621621621621623	0.2391304347826087	0.2413793103448276	0.14814814814814814	0.2903225806451613	0.2571428571428571	0.23809523809523808	0.13333333333333333	0.23684210526315788	0.23529411764705882	0.27586206896551724	0.13333333333333333	0.29411764705882354	0.16666666666666666	0.3333333333333333	0.16666666666666666	0.25806451612903225	0.1590909090909091	0.1956521739130435	0.21052631578947367	0.27906976744186046	0.2	0.13333333333333333	0.16981132075471697	0.1320754716981132	0.25925925925925924	0.3125	0.1702127659574468	0.21621621621621623	0.16071428571428573	0.2727272727272727	0.15555555555555556	0.1875	0.20754716981132076	0.21739130434782608	0.2962962962962963	
P43115	0.11666666666666667	0.2	0.25	1.0	0.11538461538461539	0.24324324324324326	0.20512820512820512	0.26666666666666666	0.20408163265306123	0.20408163265306123	0.2413793103448276	0.2727272727272727	0.15151515151515152	0.23809523809523808	0.15384615384615385	0.16326530612244897	0.1509433962264151	0.25	0.25	0.20930232558139536	0.22857142857142856	0.16666666666666666	0.18	0.20930232558139536	0.16363636363636364	0.14634146341463414	0.2222222222222222	0.15789473684210525	0.21818181818181817	0.17647058823529413	0.15789473684210525	0.21739130434782608	0.25806451612903225	0.22580645161290322	0.13333333333333333	0.17142857142857143	0.17857142857142858	0.28	0.1794871794871795	0.18518518518518517	0.20454545454545456	0.2631578947368421	0.1951219512195122	0.21875	0.16666666666666666	0.15384615384615385	0.21428571428571427	0.3125	0.23529411764705882	0.1568627450980392	0.20454545454545456	0.2222222222222222	0.1724137931034483	0.32	0.125	0.1935483870967742	0.12	0.1016949152542373	0.21621621621621623	0.2127659574468085	0.2413793103448276	0.16981132075471697	0.21212121212121213	0.2571428571428571	0.20930232558139536	0.1590909090909091	0.175	0.2	0.15625	0.1724137931034483	0.29411764705882354	0.2	0.2413793103448276	0.21739130434782608	0.21875	0.18604651162790697	0.1956521739130435	0.21052631578947367	0.2222222222222222	0.2	0.1590909090909091	0.14814814814814814	0.15384615384615385	0.3076923076923077	0.2	0.1702127659574468	0.21621621621621623	0.1206896551724138	0.2	0.15555555555555556	0.1875	0.16363636363636364	0.21739130434782608	0.20689655172413793	
O00222	0.11842105263157894	0.10204081632653061	0.1836734693877551	0.11538461538461539	1.0	0.16363636363636364	0.08333333333333333	0.19148936170212766	0.18461538461538463	0.203125	0.22727272727272727	0.12121212121212122	0.19148936170212766	0.1	0.1625	0.11940298507462686	0.19696969696969696	0.18181818181818182	0.11627906976744186	0.12903225806451613	0.19607843137254902	0.2542372881355932	0.16666666666666666	0.12903225806451613	0.1388888888888889	0.16071428571428573	0.24	0.21568627450980393	0.14864864864864866	0.3181818181818182	0.12727272727272726	0.12121212121212122	0.05555555555555555	0.12	0.3018867924528302	0.18	0.21428571428571427	0.19047619047619047	0.18518518518518517	0.19047619047619047	0.16393442622950818	0.15789473684210525	0.17543859649122806	0.14	0.15625	0.13043478260869565	0.15555555555555556	0.17647058823529413	0.15384615384615385	0.1323529411764706	0.16393442622950818	0.21666666666666667	0.14666666666666667	0.0851063829787234	0.08433734939759036	0.1702127659574468	0.13846153846153847	0.12162162162162163	0.14545454545454545	0.11940298507462686	0.17391304347826086	0.14285714285714285	0.20833333333333334	0.19230769230769232	0.16666666666666666	0.11290322580645161	0.18181818181818182	0.15384615384615385	0.25	0.14666666666666667	0.19230769230769232	0.15384615384615385	0.2	0.1935483870967742	0.2391304347826087	0.3269230769230769	0.1774193548387097	0.30612244897959184	0.140625	0.17647058823529413	0.1896551724137931	0.17647058823529413	0.16417910447761194	0.15555555555555556	0.2	0.15873015873015872	0.23529411764705882	0.12162162162162163	0.2	0.09375	0.09803921568627451	0.15492957746478872	0.12195121951219512	0.23255813953488372	
P43116	0.10606060606060606	0.16666666666666666	0.15	0.24324324324324326	0.16363636363636364	1.0	0.15217391304347827	0.15789473684210525	0.16071428571428573	0.14035087719298245	0.16666666666666666	0.21568627450980393	0.1282051282051282	0.14285714285714285	0.1095890410958904	0.18867924528301888	0.09836065573770492	0.2	0.2	0.16	0.13953488372093023	0.12727272727272726	0.14035087719298245	0.20833333333333334	0.1864406779661017	0.17777777777777778	0.13636363636363635	0.1111111111111111	0.140625	0.1794871794871795	0.19047619047619047	0.12727272727272726	0.18421052631578946	0.1282051282051282	0.11764705882352941	0.11904761904761904	0.11428571428571428	0.15151515151515152	0.13043478260869565	0.15151515151515152	0.20408163265306123	0.2	0.1702127659574468	0.15384615384615385	0.16981132075471697	0.15789473684210525	0.25	0.17073170731707318	0.2	0.14035087719298245	0.1568627450980392	0.12962962962962962	0.1746031746031746	0.21875	0.09859154929577464	0.19444444444444445	0.19230769230769232	0.09230769230769231	0.24390243902439024	0.18867924528301888	0.23529411764705882	0.13333333333333333	0.1794871794871795	0.19047619047619047	0.20833333333333334	0.1875	0.10416666666666667	0.14285714285714285	0.16216216216216217	0.1935483870967742	0.21951219512195122	0.23076923076923078	0.16666666666666666	0.2653061224489796	0.125	0.14	0.12962962962962962	0.15555555555555556	0.24489795918367346	0.23076923076923078	0.1875	0.15254237288135594	0.11864406779661017	0.17647058823529413	0.14285714285714285	0.10909090909090909	0.1590909090909091	0.12698412698412698	0.14285714285714285	0.11538461538461539	0.15789473684210525	0.20689655172413793	0.0967741935483871	0.1388888888888889	
P30542	0.12121212121212122	0.16216216216216217	0.175	0.20512820512820512	0.08333333333333333	0.15217391304347827	1.0	0.18421052631578946	0.2	0.15789473684210525	0.19444444444444445	0.125	0.21621621621621623	0.2222222222222222	0.18840579710144928	0.16363636363636364	0.21428571428571427	0.19642857142857142	0.1935483870967742	0.1568627450980392	0.13636363636363635	0.18867924528301888	0.11864406779661017	0.1346153846153846	0.109375	0.14893617021276595	0.21428571428571427	0.13333333333333333	0.15625	0.11904761904761904	0.13333333333333333	0.18867924528301888	0.12195121951219512	0.2857142857142857	0.13725490196078433	0.09090909090909091	0.21212121212121213	0.21875	0.1276595744680851	0.18181818181818182	0.17647058823529413	0.1702127659574468	0.16666666666666666	0.12195121951219512	0.14545454545454545	0.15517241379310345	0.20588235294117646	0.225	0.225	0.15789473684210525	0.15384615384615385	0.16981132075471697	0.171875	0.17647058823529413	0.14492753623188406	0.1891891891891892	0.14545454545454545	0.14285714285714285	0.23809523809523808	0.2549019607843137	0.19444444444444445	0.15	0.175	0.21428571428571427	0.20408163265306123	0.13725490196078433	0.17391304347826086	0.225	0.15789473684210525	0.13636363636363635	0.275	0.13953488372093023	0.22857142857142856	0.16666666666666666	0.1794871794871795	0.13725490196078433	0.21568627450980393	0.20454545454545456	0.14814814814814814	0.1951219512195122	0.11538461538461539	0.15	0.17543859649122806	0.20588235294117646	0.2564102564102564	0.16981132075471697	0.20930232558139536	0.16129032258064516	0.225	0.1568627450980392	0.2857142857142857	0.12698412698412698	0.16666666666666666	0.23529411764705882	
P35372	0.1016949152542373	0.25925925925925924	0.35714285714285715	0.26666666666666666	0.19148936170212766	0.15789473684210525	0.18421052631578946	1.0	0.29545454545454547	0.16326530612244897	0.36	0.22727272727272727	0.2413793103448276	0.2631578947368421	0.140625	0.1956521739130435	0.2553191489361702	0.23404255319148937	0.2727272727272727	0.19047619047619047	0.24242424242424243	0.35	0.14	0.19047619047619047	0.14814814814814814	0.18421052631578946	0.3548387096774194	0.23529411764705882	0.22641509433962265	0.26666666666666666	0.16666666666666666	0.17391304347826086	0.15625	0.2857142857142857	0.1951219512195122	0.21875	0.4090909090909091	0.36363636363636365	0.2571428571428571	0.36363636363636365	0.21428571428571427	0.21052631578947367	0.175	0.23333333333333334	0.2	0.1836734693877551	0.28	0.3793103448275862	0.25	0.2127659574468085	0.21428571428571427	0.2926829268292683	0.15789473684210525	0.24	0.12903225806451613	0.16666666666666666	0.14893617021276595	0.08620689655172414	0.22857142857142856	0.25	0.21428571428571427	0.1320754716981132	0.26666666666666666	0.3125	0.28205128205128205	0.16666666666666666	0.3235294117647059	0.3333333333333333	0.25	0.17857142857142858	0.2727272727272727	0.21212121212121213	0.36	0.22727272727272727	0.27586206896551724	0.1951219512195122	0.358974358974359	0.29411764705882354	0.23255813953488372	0.17647058823529413	0.16666666666666666	0.15384615384615385	0.20833333333333334	0.3333333333333333	0.3333333333333333	0.2619047619047619	0.19444444444444445	0.16666666666666666	0.3333333333333333	0.21951219512195122	0.2413793103448276	0.14814814814814814	0.23809523809523808	0.375	
P28221	0.16216216216216217	0.12244897959183673	0.2826086956521739	0.20408163265306123	0.18461538461538463	0.16071428571428573	0.2	0.29545454545454547	1.0	0.2	0.2222222222222222	0.171875	0.1875	0.125	0.175	0.20634920634920634	0.17647058823529413	0.1791044776119403	0.11363636363636363	0.12698412698412698	0.14814814814814814	0.25	0.13043478260869565	0.22413793103448276	0.1527777777777778	0.15789473684210525	0.26	0.16666666666666666	0.2835820895522388	0.22916666666666666	0.10526315789473684	0.15384615384615385	0.11538461538461539	0.1875	0.20689655172413793	0.1111111111111111	0.20930232558139536	0.21428571428571427	0.14035087719298245	0.18604651162790697	0.18032786885245902	0.24074074074074073	0.1724137931034483	0.16	0.15384615384615385	0.14492753623188406	0.2926829268292683	0.2978723404255319	0.19607843137254902	0.2	0.16129032258064516	0.34545454545454546	0.20833333333333334	0.18181818181818182	0.12345679012345678	0.14285714285714285	0.15384615384615385	0.13513513513513514	0.23076923076923078	0.2459016393442623	0.14583333333333334	0.15714285714285714	0.18	0.21153846153846154	0.24561403508771928	0.12903225806451613	0.24528301886792453	0.24489795918367346	0.16666666666666666	0.20833333333333334	0.3125	0.1509433962264151	0.25	0.19047619047619047	0.20833333333333334	0.14754098360655737	0.2542372881355932	0.25	0.1935483870967742	0.17307692307692307	0.16666666666666666	0.14084507042253522	0.19696969696969696	0.17777777777777778	0.17307692307692307	0.23333333333333334	0.18518518518518517	0.18309859154929578	0.22	0.12698412698412698	0.14	0.18571428571428572	0.11904761904761904	0.2	
P08173	0.10256410256410256	0.12244897959183673	0.20408163265306123	0.20408163265306123	0.203125	0.14035087719298245	0.15789473684210525	0.16326530612244897	0.2	1.0	0.1956521739130435	0.11940298507462686	0.1875	0.125	0.16049382716049382	0.13432835820895522	0.17647058823529413	0.1791044776119403	0.08888888888888889	0.16393442622950818	0.19230769230769232	0.171875	0.13043478260869565	0.12698412698412698	0.136986301369863	0.15789473684210525	0.16666666666666666	0.16666666666666666	0.16216216216216217	0.18	0.10526315789473684	0.13636363636363635	0.07407407407407407	0.14	0.22807017543859648	0.09090909090909091	0.18181818181818182	0.21428571428571427	0.1016949152542373	0.1590909090909091	0.2413793103448276	0.21818181818181817	0.19298245614035087	0.11538461538461539	0.13636363636363635	0.12857142857142856	0.1276595744680851	0.17307692307692307	0.17307692307692307	0.14705882352941177	0.14285714285714285	0.21311475409836064	0.20833333333333334	0.15555555555555556	0.10975609756097561	0.21739130434782608	0.10294117647058823	0.09090909090909091	0.16363636363636364	0.1875	0.1702127659574468	0.208955223880597	0.18	0.21153846153846154	0.22413793103448276	0.09375	0.15789473684210525	0.22	0.16666666666666666	0.14473684210526316	0.26	0.12962962962962962	0.25	0.29310344827586204	0.20833333333333334	0.14754098360655737	0.15625	0.25	0.21311475409836064	0.1509433962264151	0.14754098360655737	0.17391304347826086	0.16176470588235295	0.17777777777777778	0.19607843137254902	0.15625	0.18518518518518517	0.16666666666666666	0.12962962962962962	0.109375	0.09615384615384616	0.12162162162162163	0.14634146341463414	0.17391304347826086	
