	P08912	P30518	P08588	P08100	Q8NFJ5	P51681	Q9UBS5	P29274	P30556	P28335	P35372	P32745	P08172	P32239	P34969	Q9NS75	P47900	P20309	P51582	P43119	Q9H3N8	P25021	P43088	P08173	P21554	P18825	P28566	P21728	P30874	P30872	Q15077	P11229	O15303	P08908	P18089	Q5T6X5	P30542	Q9Y5N1	P28222	P0DMS8	Q13255	P32238	Q14831	P35346	Q9H244	P37288	P25101	Q9Y271	O95665	Q14833	P34981	P25100	Q14416	Q99677	O00222	P35367	P08913	P24530	Q14832	P30939	P41143	P41145	P21918	P35368	P28221	P13945	P25024	P41595	P21917	P35462	P48039	P41231	P29275	P47898	Q15391	P43657	Q13639	P14416	P41594	P35348	O60883	Q8TDS4	Q9NPC1	P07550	Q13258	P43115	P25105	P21731	Q15722	P28223	P43116	P34995	P50406	Q96G91
P08912	0.0	131.33242061181227	145.82524038510746	125.67679683499591	166.69115887978114	134.80565959436353	118.23917592962971	135.91530057473574	115.97979519271757	128.25201394443866	127.69325256708544	145.14197609602707	94.39417178794974	113.73764629033394	128.1878897312854	141.43098944498342	140.99573496752419	86.19607538549462	132.43135623598937	125.00556131795747	153.6086762638297	124.67696979097673	132.46829856111435	119.88952766638249	139.91984736647282	154.30866778071504	123.21352733374806	119.32863198441919	127.02183741662884	145.2966499433387	132.3692345903837	98.17638736587833	128.93128171382705	137.1278355410177	152.82087791562662	156.67629775300156	137.41910254879622	116.04436340762186	135.93132497975603	178.1590542323829	123.7686928671319	126.92232963163406	119.10968605434755	136.4489216217189	143.96132978159585	130.96315891720587	137.03102570341434	134.9832869131933	127.27298070088727	130.94550336709653	118.28480301566015	129.08520385191514	119.30826369085116	145.73509392898995	144.10993685631547	118.3252210370265	146.52153033670038	125.97022995819862	128.85595527640544	109.30281521142751	123.28820933413226	123.18379545249627	138.7969720728579	122.8422684071993	131.09072364977328	142.53703539946582	128.22734522994142	147.55220075754914	161.94505669907085	133.99080615804996	128.74436109088128	127.83478840714088	124.88902685663197	130.17354681907455	132.9587033498683	130.25848213897552	147.00001167232404	129.57780962385004	116.53130412081373	137.55886655999348	141.57532595598605	150.67111807246692	162.4304111803649	118.6465869814856	120.85616543568904	122.70905755239073	148.27634686557576	108.87625058944104	122.73976539708383	134.8953399823513	126.01098349620588	120.2928751296131	135.0568534246413	155.81481419270858	
P30518	131.33242061181227	0.0	130.46805361416773	97.40132319801342	160.54733380133985	111.95850462169619	110.26642307732254	135.8338329125545	105.2716982793645	123.63939451816259	120.8237326623057	132.27899037953466	94.63674295938108	116.818939440127	114.97983667525114	148.632422431343	134.57915073045297	120.68582616711501	127.36649189406307	108.59942260454409	149.7003726598923	119.2146012900339	139.1448871177854	136.57008524559205	117.38327090801613	146.32428638875717	125.65052687708521	109.96862981497543	122.9894969362067	137.80500974837923	136.78375758661423	106.47680856953957	135.0904529102845	126.41814989682462	137.05024955098634	155.92761880619219	119.27430951118004	113.24556588535779	128.55638286384055	171.27605401919573	115.37838737241691	129.8873450717074	121.49639873101842	133.6703853883082	128.79901947724284	139.04963705525734	127.65302323322976	133.44938592484687	125.27894833800383	124.2197551838326	121.93002086547494	126.21990005118278	123.21069192304276	148.7689240454347	134.93438779813005	137.3861496844911	140.49666555813747	119.62891285093792	123.44314256246435	109.11852097151859	119.48232107789954	123.78699286296614	127.2809669689741	123.59102876335965	138.06424389930908	131.83948230574606	114.50708676519571	143.4883377488586	152.58367398622795	127.31005870742956	130.9242264762288	119.92795349028893	121.45001259382116	119.79771582456306	133.2661535460502	134.5317216180847	149.8814083855832	109.63461097306572	110.82944177373429	134.45770576113136	141.37364615994738	147.8850056755473	163.07917181152152	99.74938665836817	111.59435600682627	115.7785225280677	145.91220645589055	104.28204115235712	125.31854021140316	129.03373938339064	123.47806301392848	126.13944364961935	143.38278249761788	150.45537990733283	
P08588	145.82524038510746	130.46805361416773	0.0	126.59132786980626	168.62950500837178	127.855054079002	120.76078026558389	135.24634461829555	116.28107449910021	129.41456479832414	119.18527700964478	142.88332923929556	110.32505414824118	133.17604112872505	118.42344363464508	152.5776390307583	145.70604387458297	130.72230203580693	141.4365697373578	121.4760242557677	156.79777751173242	128.20586820389144	142.1304819516081	144.26293616040493	121.60306300893717	114.00944927459932	127.32932361689745	117.7339781995106	131.09156174879172	144.57246387345367	143.54224627270014	117.39821617520647	146.59835869984818	128.5640879721759	110.81533098878572	166.47227955426206	130.07902433365234	120.026509153191	122.53703197001596	182.1272946409881	133.85878803316155	141.6218359352497	137.31879551624297	135.72960562069784	136.3926499838126	149.6573052269814	127.54699244865333	142.8008054664533	132.66009460223722	146.0649669511622	126.72218773695931	118.02986027496081	134.15680277856882	157.610597816034	147.28227056880132	141.45596273682895	106.84654025200871	132.09336814006383	132.27760045262403	114.00579248728172	117.88460167500307	122.36358108965214	127.45513321805629	102.53081881202525	127.92767620712402	100.10939897529897	131.09501356756664	145.64780443932978	160.24198101094225	134.58455978441634	134.3611830251466	133.20551556083956	120.14913430062006	126.35600231200806	138.4280859140854	146.40961230095127	131.75791624913109	119.01722623527166	128.05448829132365	111.09778982659918	151.12163584362133	151.81199595166254	169.1483219038637	80.79597217778792	123.17536402840051	115.35672987278667	151.18491836151225	109.28564205326256	137.72980291921704	133.18518548071734	129.04600474293693	125.7120516540308	143.57192728781956	161.74914378588437	
P08100	125.67679683499591	97.40132319801342	126.59132786980626	0.0	146.58054418532265	96.5711068602177	93.9849543355158	112.45729297857179	94.86439143944153	108.9109420636305	102.66248809957324	109.21981006956048	80.74439591504779	102.7310219476567	103.6384808518269	140.1383289832811	119.46244655499322	107.95080066924129	122.00782973695459	91.47346128963545	144.79564836477948	116.75114129203575	128.6010652628247	120.42675666817377	105.08812264193693	138.20449667362118	110.99962990298081	97.11995703707362	101.79126457394887	119.3143162383567	123.48214899448067	92.43404171634029	118.91435157668457	113.11055486421537	132.2895723563779	152.72565862602642	105.17015058137622	96.9555927392721	118.81270706940995	162.0570840775108	99.6657070466681	117.94724436123943	106.72178326614812	110.7580996208344	124.17137898243527	128.97684973748255	109.50296963103028	122.13669350570854	105.70467001981888	114.06475868104462	102.77559846863005	112.62151024924242	105.63452847974986	144.35391072960192	131.59608648480935	124.73824224786222	133.19632710764563	102.14411021110573	109.45281885789154	92.79174341785983	101.66830283306626	102.77852813929348	115.93422625425592	109.39066058636672	122.82879908745963	126.14447815386666	106.64464882629545	142.80458405354148	148.1478933584367	114.64221356258349	109.70006794857181	114.92794720698294	104.25015811032063	101.98663668122754	121.31907806093659	123.52191335210955	141.2084102622248	95.95997342574265	98.8529979944069	124.00750908154441	122.92691510097211	134.20553713295521	147.36587378793774	92.52870801983954	102.65426997737814	104.0030828403178	129.80192066387826	87.76303099454526	113.24555268344557	116.77347901455505	115.93553500288544	110.88154806449165	124.22627647846093	134.02803656939795	
Q8NFJ5	166.69115887978114	160.54733380133985	168.62950500837178	146.58054418532265	0.0	153.41655248822644	143.3262093787198	153.10113035573158	156.13005636096932	151.9509112369269	153.35217350290623	161.66981826309348	134.04467898624716	144.8927612353582	147.65759200250614	170.14198476428282	163.7965226690285	152.7995172283263	157.8235811837949	140.8581261881045	176.46545975096524	166.50257192717982	155.97165756573668	171.0828516848851	158.14042874595907	168.39389353769366	151.7215595607413	149.68106989050284	153.11462864856003	160.99966846511234	159.34290901693748	142.83593002476846	170.19511703430908	163.21166392623854	161.78126532476745	178.21531247044913	157.09753945289413	145.66803771568811	160.26650715630967	199.60716194470297	149.23349634115584	155.62468084110878	156.91081594879506	162.81349909637356	163.11523308846517	175.01151089702034	151.13359500584193	162.95463795453543	149.20576425100444	163.12410970895144	147.49610061269777	163.0226707825277	151.52438567514764	175.46515371801797	169.6652829409577	157.0642981013516	164.00441668683197	151.08782462366798	153.41904751618858	137.110537336368	155.96178506570868	154.48925099059124	168.3521440360346	151.2584214422095	155.60170333873248	166.05986653268337	153.92164369986858	176.6947993603535	181.47286790268845	163.71014296042267	153.77134378167102	153.02768156555248	149.7655190549558	150.70118158234982	152.94782497693086	151.89098468923476	186.9325650409446	148.9871698684874	150.87438911836944	167.4699135866249	163.85276397224516	163.98168159788474	172.74581293656956	150.7677046864992	148.24677292158594	151.11502458632458	161.94036241725553	142.85130914958427	154.81465704420407	170.05594394134823	154.19230562017765	149.22372223739512	175.72862373152748	176.2357762727188	
P51681	134.80565959436353	111.95850462169619	127.855054079002	96.5711068602177	153.41655248822644	0.0	101.91263431304833	118.88298748235684	99.84414095245302	113.28356312168762	110.9161196622299	126.4964773763786	90.26624311279738	110.36700373748317	109.45919930489617	142.00626940911752	124.60677184909582	119.2958708848455	122.60811769030988	99.89069493679563	143.55297271395102	122.12911066765082	135.02307208644925	132.0481161212083	108.53280116665701	143.1167140515754	111.64665091363713	103.03197000082582	115.50518139830092	130.1321860969765	130.58859824604588	100.66323660322814	128.43458358274074	117.3954330652341	132.36153803099296	158.39242193172686	109.10457996017067	99.50704686701647	120.1334473072784	164.80413341938402	105.48647499573417	127.16180937981699	115.02034950460074	126.23528589581838	116.5918357084447	136.6141280788579	114.95466258772649	126.45921888755402	108.89019981404999	122.32360708156193	105.38697451933695	125.91984497931116	113.0616590642021	142.98956189409364	138.394321187865	130.73166073282482	132.93629224982578	109.44403042680642	112.03853110328782	98.33768287215207	107.87121149082668	106.80255711034988	124.33671334461542	115.09095241027535	127.43151026772102	120.46175306430086	87.1753852077527	147.981327152811	152.84452618667274	124.30459843378048	116.66336892260006	114.80315992684336	108.49758451350499	110.17841282155132	120.2877033771365	125.09892185719218	152.6708278968581	106.07679151574848	102.5737309694232	125.93318610975984	128.0846539302729	130.74608178064227	149.74378162517678	99.23005412623752	102.83760676527163	111.05784989206586	122.5639166837791	92.57040715991752	115.63937450067897	115.70032651384827	115.9119683286408	118.69707801868208	140.25503213051707	143.42713894566987	
Q9UBS5	118.23917592962971	110.26642307732254	120.76078026558389	93.9849543355158	143.3262093787198	101.91263431304833	0.0	116.59499737230362	101.62442716158694	104.26776122133015	103.97481646534288	107.77360718464479	74.15768967906479	98.46114510978805	105.1699150459317	136.37541010134737	126.07764504704392	100.28655666590203	119.05098848644411	100.1745328308316	142.45136981987162	110.38497638449189	122.18109050276689	115.6918372491491	98.71660858516407	132.49543497915147	93.00548012315994	88.3247784730629	98.29020926379599	114.10349935741397	122.7254134673858	84.74416709734942	112.6469907828141	104.34622027927253	122.68969296579598	144.0035496793571	108.36702973477077	80.81854397142888	109.2027404641849	160.65630310637061	94.83475984475808	117.15281418379163	92.6950817789184	108.12344264716376	123.25396865533548	121.09997675695922	116.27753580367425	120.03114608733449	102.8294718550751	105.81753148573625	105.49670217999665	119.91429616597452	88.35060620412696	140.1714213505038	120.47560846916167	119.1299534595455	125.72529094706988	114.19960746467405	93.80454538069898	81.14310366149584	94.30074540287023	89.46129289802047	114.27941191080026	109.49326429780922	104.52128691540565	125.40085594152333	108.0130161488778	138.86501510551898	142.94190190001973	109.36189921508776	108.57036349212285	107.8382692176383	103.21199754491681	97.69567726529203	108.07225693343207	118.57981952972477	139.81919726799242	97.68862839764915	86.50131157002761	125.76128464675276	121.27369165542768	133.63867748569464	147.0846693640924	94.26233990601031	101.1158459855942	95.38554856699193	130.01055616833037	85.85733950510621	112.71813356164785	113.62049636716256	105.01938849344151	108.44395256746793	120.50886736594839	139.29649699100992	
P29274	135.91530057473574	135.8338329125545	135.24634461829555	112.45729297857179	153.10113035573158	118.88298748235684	116.59499737230362	0.0	118.35300983535126	120.56735220400151	119.59891759697348	129.20423926244257	103.6503518249956	120.65240084182005	118.72640875252546	145.1619136260415	129.4567432446638	127.55378279899014	133.06789640465286	115.2653418322443	155.5865122686373	119.33266180651844	144.0838554984075	141.99316257506143	117.49022630155378	138.3405591638293	119.41638393327594	108.20112663356122	119.1942824574071	129.53778066742234	130.18992990563856	113.50902935847989	141.97035175276687	126.48569748051523	132.6760971888143	158.75668743054848	113.2286389140063	107.56448248398374	124.31701423227787	177.3493968146795	120.1070186822908	136.85913289152086	126.14591231307713	125.12010843044845	129.57090581415105	150.9010152510018	128.6681985046016	131.57485838135472	123.61088140989887	133.66614890833443	116.20866013421619	126.39310979517904	120.66793290880742	155.6152595456224	151.8651997273555	134.63000655034557	131.4279176716227	123.19153307260422	124.35476015415043	106.49744025622203	111.34405976475682	115.61080711209797	131.23634622368263	120.59642712897039	115.66069072374376	130.9518937136745	116.84181503462605	160.34412441181485	157.38054423916037	128.2554152167868	124.04034171492094	125.4105029629427	91.1659052768955	120.33577107655583	123.48303344991291	130.18269539624453	150.48825651261723	113.46029882511357	115.14740878742305	134.6856613836717	134.36196403962094	137.4966328755254	155.92636868404225	109.33202462014742	111.53800818737363	120.03468639147468	150.3013382703066	106.065621236281	129.5458416655165	131.60589472437277	126.01503635221161	121.68424334807787	136.59816704306286	147.5821366617456	
P30556	115.97979519271757	105.2716982793645	116.28107449910021	94.86439143944153	156.13005636096932	99.84414095245302	101.62442716158694	118.35300983535126	0.0	116.69618468347471	111.41671667085029	117.06186904880451	77.85130510962335	105.97142543981317	106.3993229023472	136.17496029965696	126.45553327980451	108.52326878771419	121.56905781221576	99.05742887576343	139.29859999881592	113.84123991892557	118.9416111674509	125.57105789228808	111.47002081912069	131.8727000715444	113.17633150279289	94.81197151786182	110.20274144940777	128.42213692551013	121.29542221006704	87.6457465227868	130.1474598624627	115.95488071117143	120.474076547398	146.19784476526547	112.76696486101719	99.12208976739203	121.31637054297607	158.5608981679252	109.49980536301155	122.2698543210281	114.04548243206227	117.41025510203326	123.03950277765398	127.6154635452549	109.73108081507962	121.53475975809852	115.80527871387312	121.88833075169532	103.17177943429851	107.72242086671031	115.237199327501	138.3426837179577	140.0641781867016	119.44393893389497	122.7239800952375	104.39487738789467	117.15753481956199	99.09089297598985	101.26529269712046	104.00704275324824	119.45479489391437	101.21069842603174	120.0729089776869	118.04109847708605	99.63617695379071	140.5793142678449	146.2318796859763	118.47517948690802	114.34498477698071	113.20534447772661	105.29036013339646	111.52083965594647	117.6170805580332	122.00317659357097	139.97748600650812	103.18272887700005	97.37193671587738	116.80815081985202	130.0469118297333	131.69748694403097	151.53758550668135	81.94663230259903	95.37374748260481	98.75237128697336	134.63714869820978	79.90442216099473	108.44017194146	117.79552685294766	111.1306132869795	101.5619737302186	134.27106110716704	137.02111857174896	
P28335	128.25201394443866	123.63939451816259	129.41456479832414	108.9109420636305	151.9509112369269	113.28356312168762	104.26776122133015	120.56735220400151	116.69618468347471	0.0	109.44506668683607	130.77333461184753	89.92979827424278	107.46149833546951	98.05167160343262	143.71497014324996	129.41146806860343	113.80244079331169	138.73540654033422	110.84911698190263	155.7631965377368	124.82117967799422	132.41405244771158	128.79490051581524	110.97831373523513	134.19637537316885	107.79204725567251	97.66810551472008	117.13677076337626	127.4012271220563	142.4354572154698	95.96437241396052	134.24967720994027	107.65143361852097	130.26380991531187	153.0198482547421	113.86276360350894	98.84414397049113	112.09550401580054	171.2874279920652	103.78801571042277	126.08273209712934	113.40865490928991	125.92905131640146	133.5562007216795	134.9164164797985	122.34777825814672	130.55748978670454	111.45517531764926	116.63014654091967	109.18770487014262	121.8852662186764	107.35648229141952	143.72682990937028	131.17016892973334	125.8138825429487	132.95975137420464	117.62011927216372	105.86336885055061	94.80843905142683	108.6078122172039	111.03632536766236	118.06095645466121	108.89652563721756	111.38400270085549	124.80884900642559	120.6928575768834	135.27769202692434	149.33544658697792	118.06836597889196	119.85862776188878	127.12715293717338	111.41313642961904	105.14175747259287	124.56548307213234	130.82845904340502	140.46673047245713	105.95369016000768	93.28223982886993	119.63060289190616	134.99565212847665	140.10980363143608	153.14637773146387	108.44714303791989	110.1208331771777	113.73974140512291	140.83434031822253	99.66539984027622	120.29991048986267	104.06822719622869	123.20587299962062	123.34313755109906	133.99377310089767	145.47817684907932	
