	Q15391	P35462	P08588	Q14416	P28222	P30939	P28566	P21917	P25021	P28223	P21728	P25024	Q15077	P43119	P21731	P25105	Q14831	P30542	O60883	P43657	P08912	P25100	P48039	Q13258	P14416	P24530	P35372	P43116	P43088	Q9H3N8	P29274	P47900	P41231	P43115	P41145	P08172	P11229	P34995	Q9UBS5	P18825	P18089	P32745	Q8NFJ5	P30874	P47898	P25101	P32239	P35346	P08913	P0DMS8	Q9Y271	Q99677	P37288	P51582	O15303	Q5T6X5	Q14832	Q14833	Q13255	P35368	P20309	P30872	P34969	Q9H244	P35348	P41594	P07550	P35367	Q9NPC1	P50406	P08908	Q15722	P28221	P13945	P34981	P29275	P08173	P30556	Q9Y5N1	P32238	Q13639	P51681	O00222	P21918	P28335	Q9NS75	P41595	P30518	Q8TDS4	P08100	Q96G91	P41143	O95665	P21554
Q15391	1.0	0.28704645405205526	0.2828378479327043	0.289266279690192	0.2863338403353769	0.4401374530405651	0.3135033538803267	0.315551452412029	0.3628669858667325	0.2526596092374756	0.33696394383717265	0.4070392299759054	0.4828261287500537	0.3103607371372715	0.4112244465945051	0.36487992207551045	0.2952701622043612	0.32705030179446004	0.30540276143210093	0.3219845127534212	0.32782907903362424	0.315534656999527	0.3576047351350431	0.3747079056534145	0.2831256668981122	0.3161350353645343	0.3234154664712657	0.35610600451212526	0.3147038110919018	0.3831908038853752	0.36975617425020424	0.4000832766752541	0.46463316631982754	0.35552922574843915	0.3569416092343378	0.4263361986184181	0.35797897389791977	0.3754649406102882	0.38099150639158597	0.311083298547635	0.3078728245115761	0.24167398501636866	0.3187957499404664	0.26163905744609206	0.29328187044691106	0.2898894648641833	0.30077429496056907	0.27895186349641543	0.31324655123514156	0.35738124448684616	0.37686402991005635	0.3630786574160225	0.2901559609440586	0.5108952894728545	0.2826622365481858	0.31140704631170163	0.2688304087342849	0.31443247848328415	0.2758666514625594	0.36111009969922203	0.3563408059636319	0.2525281984440719	0.26649850090728777	0.48743651428695334	0.31688936276970286	0.27903333819284226	0.320745247115061	0.40048145270428404	0.39287559218985857	0.2940811103025731	0.28021878518908316	0.41574847895326483	0.36767682772791277	0.3100328168601301	0.3546549398485238	0.36654945262133476	0.3031806550248566	0.2819878521463705	0.36381858353777685	0.3345187473700437	0.2775426608769662	0.34746355992518635	0.23939730055479244	0.28142582213521644	0.306845791490771	0.3591731064611313	0.2603916216236852	0.2746206826608163	0.37624055403282425	0.2703882706243579	0.2866852799136884	0.38063853836863076	0.3037594541169196	0.2507408185645716	
P35462	0.28704645405205526	1.0	0.33660303357108823	0.4949125601379218	0.5238795578039789	0.4556060226081033	0.4423404404890349	0.33538780735706186	0.3889980612269144	0.458614336205944	0.7102119535933921	0.26293045769622714	0.2330232196217121	0.30006054126631676	0.40091100748661623	0.14853123912214633	0.4340677598706588	0.3165185379753094	0.3248905591986443	0.2269958207115828	0.37489568527347295	0.41189357385277625	0.34234915869369265	0.2599381767473645	0.6188920755215808	0.3162453015700468	0.48120689060535504	0.27602274397145854	0.27817289031688347	0.33382338244520826	0.38023496343957947	0.2722596899866439	0.2608056808081088	0.41618847529197284	0.483930836994781	0.5254810086026988	0.4613091171980296	0.3363763530914007	0.47482934160385526	0.4726992982289141	0.4321901727797125	0.3746178852973229	0.16100582587373946	0.4845857129804378	0.46351934364773223	0.30007662045074424	0.39382707512524506	0.4527635930674348	0.48104334936073945	0.2708204797535554	0.26854979240033744	0.17008571895706706	0.2771960252344987	0.2567897459509806	0.37495834165311825	0.29605022843850226	0.39763955786506194	0.4210224548412469	0.4200713391862454	0.4386670716928166	0.371317869148152	0.4117014881111912	0.4614119697623691	0.3049787235886178	0.3715418474157372	0.4711309381042559	0.4037172271420307	0.37271041017679085	0.2523671424701326	0.38475985786974237	0.48605084454133507	0.30019689509488207	0.5094387838313388	0.3691923839619802	0.3245007059279786	0.39117029463726827	0.4446547455136944	0.36100298981412327	0.4505849954536284	0.31350955473505293	0.38107166054598174	0.24077733962901643	0.4615701363519029	0.6939052094468425	0.39882992231234154	0.24785470571599916	0.35745623116816055	0.3403703670061175	0.2681905700990213	0.3641924503486351	0.23874724214974696	0.4642772065781458	0.37394270598202917	0.41534960188828496	
P08588	0.2828378479327043	0.33660303357108823	1.0	0.30203894308609336	0.3822424544971963	0.36738154152354274	0.3418617231066887	0.2906603585981232	0.3659154080188944	0.32986509017458077	0.41363109328616837	0.28736775813378357	0.27848749782781745	0.28935016105285183	0.43308718078970354	0.2352194622097314	0.26563776755359714	0.31136149249151235	0.1873991026358462	0.22942006062765138	0.29445436188863083	0.40870218860247026	0.30352056271620265	0.36938098322450447	0.3560410008473784	0.27535769734835247	0.4032695738669501	0.3586437271055596	0.2658637558242243	0.2577291414104776	0.3417624325885915	0.30205180467458137	0.3333801149210805	0.2901724796892783	0.4091884372564818	0.4088039375867049	0.35189579589290126	0.3896234726220261	0.35490051467480266	0.5306700265559666	0.5685166432591453	0.26431981116577874	0.2021311505553176	0.30771181117121044	0.2990758681583828	0.3137685398356306	0.26886612555522255	0.32417329485537555	0.5297735425476778	0.23264768208691533	0.28041661862544626	0.18300477058668685	0.18921377931871008	0.23002893542205405	0.24359440276007988	0.2621844034814762	0.3236335225875063	0.22720467718225512	0.2459007352336502	0.565137205256304	0.3279671636473383	0.2735195145201855	0.43543415602610414	0.3422096614593353	0.540808235665893	0.28706402491174554	0.7061839315368755	0.3076543923894802	0.23061016898033462	0.3668902051063321	0.37577061698291436	0.2591857257237061	0.4245422844204435	0.6251087340205309	0.31537172969378846	0.40578830686247663	0.2442130627470858	0.403277151305359	0.36508426039133174	0.25865623418460437	0.47743645935574824	0.27573521970045856	0.2559860863753048	0.42066128273368564	0.366065779298803	0.3218428874780309	0.3739846273370755	0.36392927501225847	0.19108239933996396	0.2592413537973738	0.20532993963741375	0.4325952399350304	0.26808375529467454	0.38456998121266545	
Q14416	0.289266279690192	0.4949125601379218	0.30203894308609336	0.9999999999999999	0.49343438872011924	0.5083628406676685	0.5430989010461749	0.3268730881446671	0.31538201103475033	0.47230670376285105	0.5348858707664964	0.22766155685601286	0.22749337899627825	0.32590214770276976	0.39005437905416573	0.2910233167857771	0.6813783289067517	0.3924185610281427	0.4531430812709994	0.2673356493522358	0.41798421619223053	0.3793253405615771	0.44810606673924713	0.2945229010404904	0.48815422173098977	0.30051341816824784	0.3993842974032914	0.2713646649508101	0.23250009921877635	0.3319427776688333	0.3594484793277962	0.3269580929447139	0.33769259146847	0.3240564586260816	0.41754519337410967	0.5435000790316633	0.5129676326416943	0.2660714696922606	0.5575575843584402	0.41480099094650413	0.4347876148318467	0.3470765985649077	0.23483581713985568	0.4468007732344599	0.44020636758598947	0.2671968747238672	0.4020765062052828	0.39092063336189764	0.42471466165913585	0.3251288738618506	0.2980366460486895	0.24808244904550397	0.35299926400525206	0.3282815881283666	0.6205262392676842	0.29774232797416506	0.6863754082314653	0.6928390654757333	0.612543653767403	0.42711681008783364	0.42626982731704666	0.42314208511995244	0.44000910814195454	0.27183660105764385	0.4104917698253072	0.6405377922360945	0.2879766897817798	0.4096246448225427	0.2830047134096005	0.3480352926656525	0.47697397470119995	0.27863555101076415	0.5462807314417311	0.3568401416725353	0.3917325838111567	0.3415666897627158	0.43038994054383184	0.2524413312910978	0.5488589306404795	0.2971945187205174	0.26321668249866276	0.26765992683017914	0.5391943404768482	0.45805727836108506	0.4632186298632892	0.3007583457072202	0.3632853149322859	0.29808848054677745	0.2717641353231195	0.339148019552061	0.23689066480698917	0.4529119056774623	0.4198078043462458	0.4523974171442766	
P28222	0.2863338403353769	0.5238795578039789	0.3822424544971963	0.49343438872011924	0.9999999999999999	0.5241545420392141	0.543748378536477	0.3628108973118751	0.3709733119583086	0.4692606606319731	0.5221651415723176	0.29696426544884225	0.21246564134268667	0.32022413627080015	0.39555370521512834	0.25937129071292087	0.42854152983496785	0.3660604064214963	0.31924449897104273	0.27029114027924145	0.38087921199648556	0.41595806732180063	0.370220779801942	0.306381398381271	0.44481083944875827	0.2668202143360594	0.40903809380012013	0.3325474425889403	0.3268417179864345	0.310860940283121	0.40319630333904277	0.2773636142505903	0.2524517068532013	0.41448249950143534	0.49868926900994515	0.5373502793605155	0.4227059179855641	0.35621023458894735	0.44203149526913055	0.4508066255857122	0.4922256025004162	0.3715143453134242	0.19974838428699115	0.4027814854350755	0.43206149757363765	0.2755507180709112	0.3574590495084593	0.4308695620426277	0.46933941766514575	0.26104690951423826	0.2760284192138428	0.2569169022534219	0.37006289826063765	0.28966403407468744	0.34246193935447766	0.27648034212810074	0.426935417405755	0.4208404695628927	0.35435024973074714	0.44735231906719564	0.36067498230736106	0.39988637045106534	0.5194995452776007	0.265150989504394	0.4204962607722455	0.3927134640025396	0.42783976572199556	0.3763197207993957	0.23572707347596428	0.42553435393765066	0.47928908885585264	0.33455584140181804	0.6115472622404154	0.4265386204465888	0.3295558111719332	0.3700480954797998	0.3619918090430765	0.32595496604562957	0.5168536080032062	0.3050355802406034	0.40916745791630976	0.2855922851610556	0.3765948716568469	0.5028215657399664	0.47564016459209724	0.28978858818128633	0.4052006018949986	0.3056227443757862	0.31539050753609077	0.3436761547549404	0.2370843117387609	0.4969893170703658	0.354394246173298	0.44803697422025535	
P30939	0.4401374530405651	0.4556060226081033	0.36738154152354274	0.5083628406676685	0.5241545420392141	1.0	0.5390845993711058	0.39083705695390014	0.4162899423880373	0.4004025799386049	0.4322382023418556	0.3611518985933	0.34405481505449464	0.3168218490706229	0.5254336391593037	0.29783314655714366	0.5161041562372124	0.41492498486329804	0.408022825153857	0.36623226956041394	0.4586302864987804	0.43479653747964986	0.42934864003431294	0.3964341062982608	0.427843415237513	0.32017331243968117	0.4722669394815543	0.4273146687268978	0.3828991807256919	0.4334759937655007	0.3882383364316487	0.36121600848988694	0.3736925951374767	0.4607454325572084	0.4879619596522229	0.6329669102086298	0.4629266898847284	0.43931281428924285	0.5304347146123016	0.4538324765631349	0.4381867848872051	0.47636243526963773	0.3668503906986162	0.4566291572810215	0.5014011512896579	0.34022328110496003	0.397438264248549	0.4463141901863863	0.4510579661500773	0.3289679058678686	0.36629464245112936	0.3068244391340348	0.3857723253553039	0.38529555883586486	0.4615704023974287	0.3480009460343688	0.42780660299648954	0.438610394024358	0.3896677428332524	0.47175891948836857	0.42697578643025663	0.4743903137361758	0.44297545703188207	0.3344765759363114	0.44064316005911086	0.4094116371527179	0.39431264150475454	0.4337185774590453	0.3985977660236102	0.5025168024659841	0.44097312396180866	0.420283274347329	0.6386689220114822	0.3677638747041411	0.4341022329542159	0.408359611891814	0.44813688308294036	0.30038086725305085	0.5332080471593736	0.40220248595682007	0.36775313557521033	0.31874255923609063	0.36323461678097896	0.3834310013308181	0.4444196949029363	0.3635771003308681	0.45915851415690745	0.35398550498751435	0.41318470299393584	0.3751882235567335	0.29327298942901114	0.49108627929444604	0.39601453280975984	0.41351059241208066	
P28566	0.3135033538803267	0.4423404404890349	0.3418617231066887	0.5430989010461749	0.543748378536477	0.5390845993711058	1.0	0.36610879696194615	0.33127480534618964	0.4860501248400111	0.5385198482038953	0.31811743803931525	0.2251180424895644	0.32093329127169695	0.3638998913476686	0.214567954542276	0.5191947379921346	0.43000434969042395	0.40830540491462364	0.32102360362342836	0.3925748064194858	0.399398488142645	0.3820236089950334	0.3211745867843415	0.4558671025558221	0.2966671878977745	0.37041124227942734	0.31839404111371683	0.3099809604911568	0.3431902232213184	0.34997059773190453	0.24034115452596796	0.25535558001470215	0.30965419990864174	0.4319447102168493	0.5706538332767233	0.5339325992785757	0.3029699241568217	0.512024636021107	0.43414264115830514	0.43257732494573076	0.4189082846573163	0.23875473355515367	0.5000997907435136	0.5526403452923245	0.24794247326784596	0.4786731665047324	0.4356328700320955	0.44942571201374704	0.26189660747572824	0.23495585724615642	0.21991836302161308	0.3462766011412572	0.32004984281885823	0.43286073619899723	0.29833824060561404	0.49047779306549905	0.536284771611123	0.4808895063458355	0.4398434299180204	0.4420624928181372	0.4261395861292705	0.3800267513598359	0.28684243327011794	0.40094670958288725	0.5063750017113109	0.34512304479408157	0.3609405193450387	0.24989928647374302	0.3995883998949955	0.5915214228936071	0.29521418603540556	0.5968024508287857	0.3487011240001797	0.43439574793824376	0.2975076984237417	0.45342203354223803	0.26897480844465027	0.6671504595302882	0.36478896597170785	0.4100507859808688	0.28884208620489665	0.4036408380925128	0.42858579989171486	0.4430190602962359	0.263770253597573	0.4072992003355109	0.2772249476430602	0.3007756631471051	0.3143621813824891	0.23208477701056293	0.45928942295500863	0.496715948809942	0.4750419316082448	
P21917	0.315551452412029	0.33538780735706186	0.2906603585981232	0.3268730881446671	0.3628108973118751	0.39083705695390014	0.36610879696194615	1.0	0.2970756531723411	0.34109757606751945	0.3782622579453109	0.25168275017506053	0.28626562896307195	0.24046830369055947	0.31070113524259146	0.2477547932260125	0.32255948775102056	0.2803331715633077	0.20400130526708463	0.2901937639179023	0.3245938052681361	0.28329795929994717	0.23262058047208045	0.29739162451204604	0.3318353169097759	0.2676659868417849	0.3217216897998151	0.3008247132081352	0.2870700963081635	0.2914396634444008	0.2913719487887928	0.26622218086853056	0.2670389257034284	0.3133834044670439	0.33293270855984636	0.3896702201980064	0.4154953843613247	0.3355605030978534	0.348147481856399	0.31286030947092625	0.34014955861470786	0.3126187537927739	0.234785017424108	0.3339826637874871	0.35804900452224053	0.28294954226752966	0.29125848060728476	0.3020259618625872	0.30864664278671183	0.5116047836513211	0.2598691152513696	0.1726055085110989	0.27772674369611805	0.28710871592592224	0.3242984790648511	0.23694829955150662	0.31019895161412764	0.3388558892548718	0.33306412638085386	0.31498072671619	0.3329039412377367	0.32205060990765433	0.2740178426896105	0.28807066639076345	0.2905644401022328	0.345648440118406	0.33181098989919905	0.3636600651236239	0.2707054597511815	0.30699589498000984	0.3651543818501163	0.29814163869839266	0.3594230598947631	0.27969458487406396	0.2776486080696246	0.3113929613260641	0.3765112185417868	0.2841407526666656	0.4199112415245966	0.2748334466887533	0.32645613766657755	0.24657672178839973	0.24717478299042123	0.3359800600576962	0.33104542304535234	0.29308406110017293	0.30764921304313986	0.29337583949654605	0.27095427873411543	0.3057839504686122	0.5010219901897235	0.2758925785284378	0.30648944685647606	0.2864247212756996	
P25021	0.3628669858667325	0.3889980612269144	0.3659154080188944	0.31538201103475033	0.3709733119583086	0.4162899423880373	0.33127480534618964	0.2970756531723411	1.0	0.33403527413794054	0.4174982396333575	0.3743594358929626	0.3450833109506363	0.35925024690874674	0.4287091755852249	0.2929365847431339	0.2685258654352274	0.3285109853143967	0.24075807473097083	0.29047292855502793	0.39462499498664616	0.3326976663841528	0.3719807204067161	0.4431453556863291	0.3256518051171623	0.2822689368334329	0.38228504639417826	0.3920256446165024	0.3291141796691375	0.3709991551556312	0.41196366657122685	0.29446567661624035	0.37890583182076704	0.30855566101248105	0.3983791041955795	0.4288292861634619	0.43315028998510147	0.3599327032139674	0.37005527716991216	0.29522281624192415	0.3477201284474485	0.2735713671549421	0.17321211548860904	0.335888302183572	0.32947151773028577	0.2691888323487183	0.380707018490408	0.3468950252265677	0.3270617651158169	0.20251861334636914	0.4334405837287435	0.3298313194181285	0.2982717291733558	0.38557719777665445	0.2800436441382662	0.33743142542823323	0.2842369929970705	0.2645292563317837	0.3304391729506503	0.36257185294955263	0.4016990437310591	0.333569649082598	0.3798425813219415	0.3550256947920043	0.31968269039332675	0.3154559542823533	0.44105652343098967	0.41901165595365797	0.33672249712865976	0.40418791835070206	0.279890657418273	0.38014730513518163	0.38153884281598455	0.40605820114896807	0.38537777452537986	0.4491987102902229	0.34938701454990073	0.3359280254968624	0.40158024039013845	0.333504288484971	0.44949790340071694	0.33423237265130645	0.20289767388302765	0.389060542163455	0.31262375122365904	0.33531259439109173	0.3399098454722883	0.4141065727956895	0.3615670863244271	0.33254777273837344	0.2245547834087438	0.39438337771691073	0.33117269752673195	0.31639368847872634	
P28223	0.2526596092374756	0.458614336205944	0.32986509017458077	0.47230670376285105	0.4692606606319731	0.4004025799386049	0.4860501248400111	0.34109757606751945	0.33403527413794054	1.0	0.5510342175021705	0.26747840058133054	0.20990148095508016	0.3363368828596609	0.41945095222448536	0.2677352821595905	0.3811620244844577	0.31035860570502605	0.27963767537559997	0.2492023350898417	0.384093677578672	0.360766054935761	0.2978198004319607	0.32340501595977145	0.45427117151968033	0.3705101755602173	0.41527288508469073	0.28012533068466017	0.3030189591648589	0.2952396691909503	0.3533436434328543	0.2220124072611318	0.23561980179736364	0.36648134478148375	0.4551405157598105	0.47033410363690115	0.5220328963664388	0.31989089995908365	0.41413577073963886	0.34935144060162804	0.40545837500306203	0.31398217723166544	0.15779984866334323	0.3771197250722671	0.3060334581417949	0.30711427207647424	0.41918372718396574	0.31757073670753233	0.43547547745927156	0.20169448397573433	0.3254302849530627	0.23900301112993255	0.36143410218551864	0.20464326222253168	0.33428025408043077	0.24665456382505524	0.3946157560134109	0.396696579819019	0.48164677911400056	0.4556284732135027	0.3881001091530335	0.3850549899815983	0.4988936664106881	0.2939814276402547	0.4378138325942555	0.5232649392795937	0.3789958055960182	0.3378613555492306	0.2819850638485979	0.34225017965527554	0.4449905714969388	0.30277625964283206	0.4626304510983733	0.3909495719342757	0.3853261590813792	0.3449680334887804	0.37572249656017453	0.3581935183668665	0.46169056074547277	0.3538341270729505	0.37915088834293575	0.327708768603056	0.3149815194571132	0.48265265943271984	0.49395384383106666	0.2530111872707551	0.36254419084472367	0.3041697273110427	0.23924675975049536	0.3268340200811081	0.25069254186124934	0.4510247141861638	0.3400212332587885	0.3684537598264679	
